Frame,Visibility,X,Y,Hit,Reason
0,1,999,620,0,
1,1,1004,608,0,
2,1,1011,590,0,
3,1,1023,572,0,
4,1,1027,555,0,
5,1,1035,532,0,
6,1,1042,517,0,
7,1,1042,502,0,
8,1,1050,491,0,
9,1,1053,487,0,
10,1,1057,483,0,
11,1,1061,480,0,
12,1,1061,476,0,
13,1,1068,476,0,
14,1,1072,476,0,
15,1,1076,480,0,
16,1,1076,487,0,
17,1,1087,495,0,
18,1,1087,502,0,
19,1,1091,513,0,
20,1,1095,525,1,Ypeak+Ramp
21,1,1098,540,0,
22,1,1117,517,0,
23,1,1128,476,0,
24,1,1151,450,0,
25,1,1166,423,0,
26,1,1177,405,0,
27,1,1192,390,0,
28,1,1203,375,0,
29,1,1215,367,0,
30,1,1222,360,0,
31,1,1233,356,0,
32,1,1241,351,0,
33,1,1252,351,0,
34,1,1256,356,0,
35,1,1267,360,0,
36,1,1271,367,0,
37,1,1278,375,0,
38,1,1286,386,0,
39,1,1293,397,0,
40,1,1297,411,0,
41,1,1305,427,0,
42,1,1308,450,0,
43,1,1312,465,0,
44,1,1320,487,0,
45,1,1323,510,0,
46,1,1321,527,0,
47,1,1319,534,0,
48,1,1310,521,1,Ypeak+Ramp
49,1,1308,480,0,
50,1,1290,360,0,
51,1,1267,251,0,
52,1,1256,172,0,
53,1,1245,108,0,
54,1,1233,60,0,
55,1,1226,18,0,
56,0,0,0,0,
57,0,0,0,0,
58,0,0,0,0,
59,0,0,0,0,
60,0,0,0,0,
61,0,0,0,0,
62,0,0,0,0,
63,0,0,0,0,
64,0,0,0,0,
65,0,0,0,0,
66,0,0,0,0,
67,0,0,0,0,
68,0,0,0,0,
69,0,0,0,0,
70,0,0,0,0,
71,0,0,0,0,
72,0,0,0,0,
73,0,0,0,0,
74,0,0,0,0,
75,0,0,0,0,
76,0,0,0,0,
77,0,0,0,0,
78,0,0,0,0,
79,1,1155,6,0,
80,1,1155,30,0,
81,1,1155,48,0,
82,1,1151,67,0,
83,1,1151,90,0,
84,1,1151,111,0,
85,1,1151,135,1,Accel+Ramp
86,1,1151,157,0,
87,1,1083,236,0,
88,1,1035,292,0,
89,1,992,337,0,
90,1,960,382,0,
91,1,930,416,0,
92,1,907,450,0,
93,1,885,480,0,
94,1,862,510,0,
95,1,843,540,0,
96,1,825,570,0,
97,1,806,600,0,
98,1,795,628,0,
99,1,780,660,0,
100,1,765,682,1,Ypeak
101,1,766,655,0,
102,1,753,607,0,
103,1,746,576,0,
104,1,746,547,0,
105,1,735,525,0,
106,1,731,502,0,
107,1,727,487,0,
108,1,723,476,0,
109,1,720,465,0,
110,1,720,457,0,
111,1,716,450,0,
112,1,716,450,0,
113,1,712,450,0,
114,1,712,450,0,
115,1,708,450,0,
116,1,708,453,0,
117,1,705,457,0,
118,1,705,465,0,
119,1,705,476,0,
120,1,705,491,0,
121,1,705,502,0,
122,1,705,517,0,
123,1,705,528,0,
124,1,705,547,0,
125,1,701,562,0,
126,1,705,577,1,Ypeak+Ramp
127,1,690,540,0,
128,1,682,495,0,
129,1,675,453,0,
130,1,667,408,0,
131,1,663,382,0,
132,1,656,356,0,
133,1,652,333,0,
134,1,645,315,0,
135,1,641,302,0,
136,1,637,292,0,
137,1,633,281,0,
138,1,630,273,0,
139,1,626,270,0,
140,1,622,266,0,
141,1,618,266,0,
142,1,611,266,0,
143,1,611,270,0,
144,1,607,276,0,
145,1,600,285,0,
146,1,596,296,0,
147,1,592,311,0,
148,1,592,322,0,
149,1,585,341,0,
150,1,585,360,0,
151,1,581,382,0,
152,1,577,405,0,
153,1,573,423,0,
154,1,570,450,0,
155,1,559,469,0,
156,1,571,482,0,
157,1,574,496,0,
158,1,589,502,0,
159,1,573,509,0,
160,1,555,625,0,
161,1,551,660,0,
162,1,551,686,1,Ypeak+Ramp
163,1,560,572,0,
164,1,579,440,0,
165,1,592,351,0,
166,1,596,273,0,
167,1,600,217,0,
168,1,607,172,0,
