Frame,Visibility,X,Y,Hit,Reason
0,1,937,483,0,
1,1,937,483,0,
2,1,938,483,0,
3,1,928,478,0,
4,1,920,475,0,
5,1,911,462,0,
6,1,900,457,0,
7,1,891,456,0,
8,1,896,457,0,
9,1,892,457,0,
10,1,885,465,0,
11,1,881,468,0,
12,1,877,476,0,
13,1,877,483,0,
14,1,870,498,0,
15,1,863,508,0,
16,1,904,473,0,
17,1,930,453,0,
18,1,952,435,0,
19,1,975,420,0,
20,1,990,411,0,
21,1,1005,401,0,
22,1,1020,397,0,
23,1,1031,393,0,
24,1,1042,393,0,
25,1,1057,397,0,
26,1,1065,397,0,
27,1,1076,405,0,
28,1,1087,411,0,
29,1,1095,420,0,
30,1,1106,431,0,
31,1,1113,442,0,
32,1,1121,457,0,
33,1,1128,476,0,
34,1,1136,495,0,
35,1,1143,513,0,
36,1,1151,532,0,
37,1,1153,490,0,
38,1,1147,390,0,
39,1,1143,315,0,
40,1,1140,247,0,
41,1,1140,198,0,
42,1,1136,161,0,
43,1,1136,131,0,
44,1,1132,108,0,
45,1,1132,90,0,
46,1,1132,75,0,
47,1,1132,60,0,
48,1,1132,52,0,
49,1,1132,45,0,
50,1,1132,41,0,
51,1,1132,41,0,
52,1,1132,37,0,
53,1,1132,41,0,
54,1,1132,45,0,
55,1,1132,52,0,
56,1,1132,55,0,
57,1,1132,62,0,
58,1,1132,75,0,
59,1,1132,86,0,
60,1,1132,96,0,
61,1,1132,111,0,
62,1,1132,123,0,
63,1,1136,142,1,Ramp
64,1,1136,157,0,
65,1,1158,228,0,
66,1,1178,322,0,
67,1,1201,401,0,
68,1,1226,465,0,
69,1,1241,517,0,
70,1,1252,562,0,
71,1,1263,600,0,
72,1,1275,645,0,
73,1,1282,682,0,
74,1,1290,720,0,
75,1,1297,757,0,
76,1,1305,795,0,
77,1,1308,817,0,
78,1,1306,807,1,Ypeak+Ramp
79,1,1302,789,0,
80,1,1271,630,0,
81,1,1260,588,0,
82,1,1252,555,0,
83,1,1245,525,0,
84,1,1241,506,0,
85,1,1237,487,0,
86,1,1233,468,0,
87,1,1230,453,0,
88,1,1217,442,0,
89,1,1212,427,0,
90,1,1195,422,0,
91,1,1193,419,0,
92,1,1207,432,0,
93,1,1204,416,0,
94,1,1177,475,0,
95,1,1212,438,0,
96,1,1158,446,0,
97,1,1182,468,0,
98,1,1183,480,0,
99,1,1189,481,0,
100,1,1189,486,0,
101,1,1191,499,0,
102,1,1192,510,0,
103,1,1192,521,0,
104,1,1152,495,0,
105,1,1111,469,0,
106,1,1076,450,0,
107,1,1046,435,0,
108,1,1020,420,0,
109,1,997,411,0,
110,1,975,405,0,
111,1,956,405,0,
112,1,937,401,0,
113,1,918,401,0,
114,1,900,405,0,
115,1,885,408,0,
116,1,870,416,0,
117,1,855,423,0,
118,1,840,435,0,
119,1,825,442,0,
120,1,813,457,0,
121,1,806,465,0,
122,1,794,478,0,
123,1,786,491,0,
124,1,780,497,0,
125,1,779,504,0,
126,1,778,505,0,
127,1,801,493,0,
128,1,701,498,0,
129,1,706,441,0,
130,1,705,382,0,
131,1,701,325,0,
132,1,701,281,0,
133,1,697,247,0,
134,1,697,217,0,
135,1,697,195,0,
136,1,697,180,0,
137,1,697,165,0,
138,1,697,153,0,
139,1,697,146,0,
140,1,697,138,0,
141,1,697,138,0,
142,1,697,135,0,
143,1,697,135,0,
144,1,701,138,0,
145,1,701,142,0,
146,1,701,150,0,
147,1,705,157,0,
148,1,705,165,0,
149,1,705,172,0,
150,1,708,187,0,
151,1,708,198,1,Accel+Ramp
152,1,712,210,0,
153,1,780,281,0,
154,1,840,345,0,
155,1,888,390,0,
156,1,926,427,0,
157,1,960,465,0,
158,1,992,502,0,
159,1,1020,532,0,
160,1,1042,562,0,
161,1,1065,596,0,
162,1,1087,625,0,
163,1,1106,656,0,
164,1,1121,686,0,
165,1,1136,716,0,
166,1,1151,746,0,
167,1,1166,775,1,Ypeak
168,1,1182,765,0,
169,1,1174,695,0,
170,1,1181,648,0,
171,1,1181,611,0,
172,1,1185,581,0,
173,1,1188,551,0,
174,1,1188,525,0,
175,1,1192,506,0,
176,1,1192,487,0,
177,1,1192,472,0,
178,1,1192,460,0,
179,1,1196,450,0,
180,1,1196,446,0,
181,1,1200,437,0,
182,1,1200,437,0,
183,1,1200,437,0,
184,1,1200,437,0,
185,1,1200,442,0,
186,1,1203,446,0,
187,1,1207,450,0,
188,1,1207,457,0,
189,1,1207,468,0,
190,1,1211,480,0,
191,1,1211,495,0,
192,1,1211,506,0,
193,1,1215,521,0,
194,1,1177,495,0,
195,1,1136,460,0,
196,1,1102,435,0,
197,1,1072,411,0,
198,1,1042,397,0,
199,1,1020,382,0,
200,1,997,375,0,
201,1,977,367,0,
202,1,960,360,0,
203,1,937,360,0,
204,1,922,360,0,
205,1,903,360,0,
206,1,888,362,0,
207,1,873,371,0,
208,1,855,377,0,
209,1,840,390,0,
210,1,825,401,0,
211,1,813,411,0,
212,1,802,427,0,
213,1,787,442,0,
214,1,780,454,0,
215,1,776,465,0,
216,1,768,473,0,
217,1,764,484,0,
218,1,761,491,0,
219,1,770,493,0,
220,1,778,493,0,
221,1,784,480,0,
222,1,799,471,0,
223,1,782,452,0,
224,1,682,371,0,
225,1,682,285,0,
226,1,678,221,0,
227,1,678,175,0,
228,1,678,138,0,
229,1,678,108,0,
230,1,678,82,0,
231,1,678,67,0,
232,1,678,48,0,
233,1,678,37,0,
234,1,682,30,0,
235,1,682,18,0,
236,1,682,15,0,
237,1,682,10,0,
238,1,682,10,0,
239,1,682,15,0,
240,1,686,15,0,
241,1,690,21,0,
242,1,690,26,0,
243,1,690,33,0,
244,1,693,45,0,
245,1,693,52,0,
246,1,697,67,0,
247,1,697,78,0,
248,1,701,93,0,
249,1,701,111,0,
250,1,705,127,0,
251,1,705,142,0,
252,1,708,161,0,
253,1,708,180,0,
254,1,712,198,0,
255,1,712,195,0,
256,1,716,183,0,
257,1,716,180,0,
258,1,716,175,0,
259,1,720,175,0,
260,1,720,180,0,
261,1,720,183,0,
262,1,720,187,0,
263,1,720,191,0,
264,1,720,198,0,
265,1,720,210,0,
266,1,720,221,0,
267,1,716,232,0,
268,1,716,247,0,
269,1,716,262,0,
270,1,716,276,0,
271,1,716,300,0,
272,1,712,318,0,
273,1,712,341,0,
274,1,712,362,0,
275,1,712,390,0,
276,1,708,416,0,
277,1,708,435,0,
278,1,708,446,0,
279,1,699,447,0,
280,1,701,371,0,
281,1,693,276,0,
282,1,690,213,0,
283,1,690,168,0,
284,1,686,131,0,
285,1,682,101,0,
286,1,682,82,0,
287,1,682,62,0,
288,1,682,48,0,
289,1,678,37,0,
290,1,678,30,0,
291,1,678,21,0,
292,1,678,21,0,
293,1,678,18,0,
294,1,678,21,0,
295,1,682,21,0,
296,1,682,26,0,
297,1,682,33,0,
298,1,682,41,0,
299,1,682,48,0,
300,1,682,60,0,
301,1,686,71,0,
302,1,686,82,0,
303,1,690,96,0,
304,1,690,111,0,
305,1,690,127,0,
306,1,690,146,0,
307,1,693,165,0,
308,1,697,180,0,
309,1,697,198,0,
310,1,697,217,0,
311,1,701,232,0,
312,1,712,210,0,
313,1,720,198,0,
314,1,723,195,0,
315,1,731,191,0,
316,1,735,187,0,
317,1,738,187,0,
318,1,742,191,0,
319,1,742,195,0,
320,1,746,202,0,
321,1,750,210,0,
322,1,750,217,0,
323,1,750,228,0,
324,1,750,240,0,
325,1,753,255,0,
326,1,757,270,0,
327,1,757,285,0,
328,1,757,302,0,
329,1,757,325,0,
330,1,757,348,0,
331,1,757,371,0,
332,1,757,397,0,
333,1,757,420,0,
334,1,757,441,0,
335,1,759,458,0,
