Frame,Visibility,X,Y,Hit,Reason
0,1,1035,453,0,
1,1,1038,450,1,serve
2,1,1042,442,0,
3,1,1042,442,0,
4,1,1042,437,0,
5,1,1050,442,0,
6,1,1050,446,0,
7,1,1053,450,0,
8,1,1057,457,0,
9,1,1057,465,0,
10,1,1057,472,0,
11,1,1057,476,0,
12,1,1021,443,0,
13,1,992,416,0,
14,1,970,397,0,
15,1,948,382,0,
16,1,930,367,0,
17,1,911,356,0,
18,1,892,348,0,
19,1,877,345,0,
20,1,862,345,0,
21,1,847,341,0,
22,1,832,345,0,
23,1,817,345,0,
24,1,802,351,0,
25,1,791,360,0,
26,1,776,367,0,
27,1,765,382,0,
28,1,753,393,0,
29,1,738,408,0,
30,1,727,423,0,
31,1,720,442,0,
