Frame,Visibility,X,Y,Hit,Reason
0,1,966,515,0,
1,1,971,529,0,
2,1,944,583,0,
3,1,970,598,0,
4,1,980,602,0,
5,1,976,602,1,serve+Ramp
6,1,974,592,0,
7,1,978,572,0,
8,1,970,551,0,
9,1,964,528,0,
10,1,960,510,0,
11,1,948,498,0,
12,1,937,487,0,
13,1,931,477,0,
14,1,926,472,0,
15,1,918,468,0,
16,1,859,453,0,
17,1,860,457,0,
18,1,866,465,0,
19,1,873,472,0,
20,1,881,480,1,Ypeak+Ramp
21,1,851,472,0,
22,1,843,476,0,
23,1,825,487,0,
24,1,810,495,0,
25,1,795,506,0,
26,1,783,517,0,
27,1,768,528,0,
28,1,757,542,0,
29,1,746,557,0,
30,1,738,570,0,
31,1,729,581,0,
32,1,727,382,0,
33,1,723,322,0,
34,1,720,273,0,
35,1,720,236,0,
36,1,716,205,0,
37,1,712,180,0,
38,1,712,157,0,
39,1,712,138,0,
40,1,708,123,0,
41,1,708,111,0,
42,1,708,105,0,
43,1,708,96,0,
44,1,708,93,0,
45,1,708,93,0,
46,1,708,93,0,
47,1,708,93,0,
48,1,708,96,0,
49,1,708,101,0,
50,1,708,108,0,
51,1,712,116,0,
52,1,712,123,0,
53,1,712,135,0,
54,1,712,150,0,
55,1,712,161,0,
56,1,716,175,0,
57,1,720,191,0,
58,1,720,210,0,
59,1,720,225,0,
60,1,720,242,0,
61,1,723,262,0,
62,1,723,281,0,
63,1,723,300,0,
64,1,720,325,0,
65,1,716,337,0,
66,1,708,348,0,
67,1,705,360,0,
68,1,701,371,0,
69,1,697,382,0,
70,1,693,397,0,
71,1,690,408,0,
72,1,686,423,0,
73,1,682,437,0,
74,1,682,453,0,
75,1,678,472,0,
76,1,675,487,0,
77,1,671,510,0,
78,1,667,528,0,
79,1,667,547,0,
80,1,663,573,0,
81,1,660,596,0,
82,1,660,618,0,
83,1,652,638,1,Ypeak
84,1,652,615,0,
85,1,656,577,0,
86,1,660,547,0,
87,1,667,521,0,
88,1,671,502,0,
89,1,671,487,0,
90,1,671,476,0,
91,1,671,468,0,
92,1,671,460,0,
93,1,675,457,0,
94,1,675,453,0,
95,1,675,450,0,
96,1,678,450,0,
97,1,682,457,0,
98,1,682,457,0,
99,1,682,465,0,
100,1,686,472,0,
101,1,686,480,0,
102,1,690,495,0,
103,1,690,506,0,
104,1,693,521,0,
105,1,693,532,0,
106,1,697,551,0,
107,1,697,557,1,Ypeak+Ramp
108,1,693,502,0,
109,1,686,457,0,
110,1,686,416,0,
111,1,682,386,0,
112,1,682,360,0,
113,1,678,337,0,
114,1,678,318,0,
115,1,675,302,0,
116,1,675,292,0,
117,1,675,281,0,
118,1,675,273,0,
119,1,671,266,0,
120,0,0,0,0,
121,0,0,0,0,
