Frame,Visibility,X,Y,Hit,Reason
0,1,902,305,0,
1,1,918,277,0,
2,1,917,263,0,
3,1,920,259,0,
4,1,909,253,0,
5,1,918,258,0,
6,1,917,259,0,
7,1,915,263,0,
8,1,920,257,0,
9,1,925,258,0,
10,1,909,269,0,
11,1,903,275,0,
12,1,906,290,0,
13,1,905,302,0,
14,1,905,313,0,
15,1,927,315,0,
16,1,902,305,0,
17,1,918,277,0,
18,1,917,263,0,
19,1,920,259,0,
20,1,909,253,0,
21,1,918,258,0,
22,1,917,259,0,
23,1,915,263,0,
24,1,920,257,0,
25,1,925,258,0,
26,1,909,269,0,
27,1,903,275,0,
28,1,906,290,0,
29,1,905,302,0,
30,1,905,313,0,
31,1,927,315,0,
32,1,902,305,0,
33,1,918,277,0,
34,1,917,263,0,
35,1,920,259,0,
36,1,909,253,0,
37,1,918,258,0,
38,1,917,259,0,
39,1,915,263,0,
40,1,920,257,0,
41,1,925,258,0,
42,1,909,269,0,
43,1,903,275,0,
44,1,906,290,0,
45,1,905,302,0,
46,1,905,313,0,
47,1,927,315,0,
48,1,936,469,0,
49,1,925,474,0,
50,1,936,484,0,
51,1,937,482,0,
52,1,944,487,0,
53,1,931,487,0,
54,1,928,483,0,
55,1,926,475,0,
56,1,926,472,0,
57,1,926,472,0,
58,1,922,468,0,
59,1,922,465,1,Ramp
60,1,915,460,0,
61,1,907,453,0,
62,1,900,446,0,
63,1,892,435,0,
64,1,885,435,0,
65,1,885,437,0,
66,1,877,442,0,
67,1,873,446,0,
68,1,870,450,0,
69,1,862,457,0,
70,1,858,468,0,
71,1,855,480,0,
72,1,851,495,0,
73,1,847,510,0,
74,1,843,525,0,
75,1,840,542,0,
76,1,836,562,1,Ypeak
77,1,817,547,0,
78,1,798,521,0,
79,1,791,502,0,
80,1,776,487,0,
81,1,757,472,0,
82,1,750,465,0,
83,1,742,453,0,
84,1,738,450,0,
85,1,731,446,0,
86,1,723,437,0,
87,1,716,437,0,
88,1,712,442,0,
89,1,705,450,0,
90,1,697,457,0,
91,1,690,465,0,
92,1,682,472,0,
93,1,678,483,0,
94,1,675,495,0,
95,1,671,510,1,Ypeak+Ramp
96,1,675,517,0,
97,1,723,457,0,
98,1,761,411,0,
99,1,795,377,0,
100,1,825,351,0,
101,1,851,322,0,
102,1,873,302,0,
103,1,900,288,0,
104,1,922,273,0,
105,1,941,262,0,
106,1,960,255,0,
107,1,977,247,0,
108,1,997,242,0,
109,1,1015,242,0,
110,1,1027,240,0,
111,1,1038,239,0,
112,1,1065,251,0,
