Frame,Visibility,X,Y,Hit,Reason
0,1,926,515,0,
1,1,948,435,0,
2,1,960,367,0,
3,1,967,315,0,
4,1,977,270,0,
5,1,985,236,0,
6,1,992,202,0,
7,1,1000,180,0,
8,1,1007,157,0,
9,1,1012,138,0,
10,1,1020,123,0,
11,1,1022,111,0,
12,1,1027,101,0,
13,1,1035,93,0,
14,1,1038,90,0,
15,1,1042,82,0,
16,1,1050,82,0,
17,1,1053,86,0,
18,1,1057,86,0,
19,1,1057,90,0,
20,1,1065,96,0,
21,1,1068,105,0,
22,1,1072,111,0,
23,1,1076,123,0,
24,1,1080,135,0,
25,1,1080,150,0,
26,1,1087,165,0,
27,1,1087,180,0,
28,1,1091,195,0,
29,1,1095,210,0,
30,1,1117,247,0,
31,1,1140,273,0,
32,1,1155,296,0,
33,1,1173,315,0,
34,1,1188,337,0,
35,1,1200,356,0,
36,1,1211,375,0,
37,1,1218,397,0,
38,1,1230,420,0,
39,1,1237,437,0,
40,1,1245,457,0,
41,1,1252,487,0,
42,1,1260,513,0,
43,1,1267,536,0,
44,1,1275,562,0,
45,1,1278,585,0,
46,1,1281,614,0,
47,1,1286,645,0,
48,1,1290,675,0,
49,1,1297,695,1,Ypeak
50,1,1290,682,0,
51,1,1281,624,0,
52,1,1278,581,0,
53,1,1275,547,0,
54,1,1267,525,0,
55,1,1260,502,0,
56,1,1256,487,0,
57,1,1252,472,0,
58,1,1248,457,0,
59,1,1245,450,0,
60,1,1237,446,0,
61,1,1237,437,0,
62,1,1233,435,0,
63,1,1230,435,0,
64,1,1226,437,0,
65,1,1222,437,0,
66,1,1222,442,0,
67,1,1218,450,0,
68,1,1215,457,0,
69,1,1215,468,0,
70,1,1211,480,0,
71,1,1211,495,0,
72,1,1207,510,0,
73,1,1207,525,0,
74,1,1215,510,0,
75,1,1226,450,0,
76,1,1237,408,0,
77,1,1245,371,0,
78,1,1252,345,0,
79,1,1260,318,0,
80,1,1267,292,0,
81,1,1271,276,0,
82,1,1278,262,0,
83,1,1282,247,0,
84,1,1290,240,0,
85,1,1293,232,0,
86,1,1297,225,0,
87,1,1301,221,0,
88,1,1305,221,0,
89,1,1308,225,0,
90,1,1312,225,0,
91,1,1316,232,0,
92,1,1316,240,0,
93,1,1320,251,0,
94,1,1320,262,0,
95,1,1323,276,0,
96,1,1323,296,0,
97,1,1327,315,0,
98,1,1327,333,0,
99,1,1327,356,0,
100,1,1327,382,0,
101,1,1327,405,0,
102,1,1327,427,0,
103,1,1312,455,0,
104,1,1325,463,0,
105,1,1318,458,0,
106,1,1299,412,0,
107,1,1274,397,0,
108,1,1260,377,0,
109,1,1256,345,0,
110,1,1259,323,0,
111,1,1267,322,0,
112,1,1248,232,0,
113,1,1237,168,0,
114,1,1226,116,0,
115,1,1215,75,0,
116,1,1207,37,0,
117,1,1200,10,0,
118,0,0,0,0,
119,0,0,0,0,
120,0,0,0,0,
121,0,0,0,0,
122,0,0,0,0,
123,0,0,0,0,
124,0,0,0,0,
125,0,0,0,0,
126,0,0,0,0,
127,0,0,0,0,
128,0,0,0,0,
129,0,0,0,0,
130,0,0,0,0,
131,0,0,0,0,
132,0,0,0,0,
133,0,0,0,0,
134,0,0,0,0,
135,0,0,0,0,
136,1,1140,6,0,
137,1,1136,21,0,
138,1,1136,37,0,
139,1,1132,55,0,
140,1,1132,75,0,
141,1,1132,93,0,
142,1,1132,111,0,
143,1,1128,135,1,Accel+Ramp
144,1,1128,157,0,
145,1,1080,221,0,
146,1,1015,300,0,
147,1,970,356,0,
148,1,941,397,0,
149,1,911,435,0,
150,1,885,472,0,
151,1,862,506,0,
152,1,840,540,0,
153,1,821,570,0,
154,1,802,603,0,
155,1,783,637,0,
156,1,768,667,0,
157,1,753,697,0,
158,1,738,731,0,
159,1,728,751,1,Ypeak+Ramp
160,1,723,606,0,
161,1,720,562,0,
162,1,720,517,0,
163,1,716,487,0,
164,1,712,450,0,
165,1,712,423,0,
166,1,712,401,0,
167,1,712,386,0,
168,1,712,371,0,
169,1,712,360,0,
170,1,708,351,0,
171,1,708,345,0,
