Frame,Visibility,X,Y,Hit,Reason
0,1,902,305,0,
1,1,918,277,0,
2,1,917,263,0,
3,1,920,259,0,
4,1,909,253,0,
5,1,918,258,0,
6,1,917,259,0,
7,1,915,263,0,
8,1,920,257,0,
9,1,925,258,0,
10,1,909,269,0,
11,1,903,275,0,
12,1,906,290,0,
13,1,905,302,0,
14,1,905,313,0,
15,1,927,315,1,Ypeak+Ramp
16,1,902,305,0,
17,1,918,277,0,
18,1,917,263,0,
19,1,920,259,0,
20,1,909,253,0,
21,1,979,352,0,
22,1,985,370,0,
23,1,978,429,0,
24,1,930,516,0,
25,1,928,578,0,
26,1,921,581,1,Ypeak
27,1,941,558,0,
28,1,948,514,0,
29,1,963,455,0,
30,1,970,397,0,
31,1,985,348,0,
32,1,997,315,0,
33,1,1012,273,0,
34,1,1022,247,0,
35,1,1031,221,0,
36,1,1042,202,0,
37,1,1050,187,0,
38,1,1057,172,0,
39,1,1065,161,0,
40,1,1068,150,0,
41,1,1076,146,0,
42,1,1080,142,0,
43,1,1087,142,0,
44,1,1095,142,0,
45,1,1098,142,0,
46,1,1102,146,0,
47,1,1110,150,0,
48,1,1113,157,0,
49,1,1117,165,0,
50,1,1125,175,0,
51,1,1128,187,1,Ramp
52,1,1132,198,0,
53,1,1170,285,0,
54,1,1188,337,0,
55,1,1207,377,0,
56,1,1218,416,0,
57,1,1230,450,0,
58,1,1245,487,0,
59,1,1252,517,0,
60,1,1260,542,0,
61,1,1267,577,0,
62,1,1275,603,0,
63,1,1282,633,0,
64,1,1290,667,0,
65,1,1293,697,0,
66,1,1297,731,0,
67,1,1301,744,1,Ypeak
68,1,1292,680,0,
69,1,1285,613,0,
70,1,1275,566,0,
71,1,1267,528,0,
72,1,1260,502,0,
73,1,1260,480,0,
74,1,1252,460,0,
75,1,1252,442,0,
76,1,1248,431,0,
77,1,1245,420,0,
78,1,1245,411,0,
79,1,1241,408,0,
80,1,1237,405,0,
81,1,1233,405,0,
82,1,1233,405,0,
83,1,1230,408,0,
84,1,1230,411,0,
85,1,1230,420,0,
86,1,1226,427,0,
87,1,1226,435,0,
88,1,1226,446,1,Ypeak+Ramp
89,1,1222,457,0,
90,1,1196,442,0,
91,1,1162,401,0,
92,1,1128,375,0,
93,1,1102,351,0,
94,1,1080,337,0,
95,1,1057,318,0,
96,1,1035,311,0,
97,1,1015,300,0,
98,1,997,296,0,
99,1,977,292,0,
100,1,962,292,0,
101,1,948,292,0,
102,1,933,296,0,
103,1,918,300,0,
104,1,903,307,0,
105,1,892,315,0,
