Frame,Visibility,X,Y,Hit,Reason
0,1,1013,568,0,
1,1,1000,551,0,
2,1,973,559,0,
3,1,1002,567,0,
4,1,993,566,0,
5,1,995,574,1,serve+Ypeak+Ramp
6,1,985,581,0,
7,1,945,401,0,
8,1,956,345,0,
9,1,962,300,0,
10,1,970,262,0,
11,1,977,232,0,
12,1,985,205,0,
13,1,990,183,0,
14,1,997,165,0,
15,1,1000,150,0,
16,1,1005,138,0,
17,1,1012,131,0,
18,1,1015,120,0,
19,1,1020,116,0,
20,1,1022,111,0,
21,1,1027,111,0,
22,1,1031,111,0,
23,1,1035,116,0,
24,1,1038,120,0,
25,1,1042,127,0,
26,1,1046,135,0,
27,1,1050,142,0,
28,1,1050,153,0,
29,1,1053,165,0,
30,1,1057,180,1,Ypeak
31,1,1042,180,0,
32,1,1005,161,0,
33,1,977,150,0,
34,1,960,142,0,
35,1,937,138,0,
36,1,922,138,0,
37,1,907,138,0,
38,1,892,142,0,
39,1,881,142,0,
40,1,870,150,0,
41,1,855,157,0,
42,1,847,165,0,
43,1,836,175,0,
44,1,825,187,0,
45,1,817,202,0,
46,1,806,217,0,
47,1,798,236,0,
48,1,787,255,0,
49,1,780,273,0,
50,1,772,296,0,
51,1,765,318,0,
52,1,757,345,0,
53,1,750,371,0,
54,1,742,397,0,
55,1,738,423,0,
56,1,731,455,0,
57,1,729,483,1,Ypeak+Ramp
58,1,718,505,0,
59,1,751,447,0,
60,1,798,322,0,
61,1,832,240,0,
62,1,855,175,0,
63,1,873,131,0,
64,1,888,93,0,
65,1,903,62,0,
66,1,918,37,0,
67,1,930,18,0,
68,1,937,6,0,
69,0,0,0,0,
70,0,0,0,0,
71,0,0,0,0,
72,0,0,0,0,
73,0,0,0,0,
74,0,0,0,0,
75,0,0,0,0,
76,0,0,0,0,
77,0,0,0,0,
78,0,0,0,0,
79,0,0,0,0,
80,1,1015,6,0,
81,1,1020,15,0,
82,1,1022,30,0,
83,1,1027,41,0,
84,1,1035,60,0,
85,1,1035,75,0,
86,1,1042,90,0,
87,1,1042,108,0,
88,1,1046,127,0,
89,1,1050,142,0,
90,1,1053,165,0,
91,1,1057,183,0,
92,1,1065,195,1,Ypeak
93,1,1080,146,0,
94,1,1091,120,0,
95,1,1098,96,0,
96,1,1106,82,0,
97,1,1113,71,0,
98,1,1117,60,0,
99,1,1125,52,0,
100,1,1128,48,0,
101,1,1136,48,0,
102,1,1140,48,0,
103,1,1143,48,0,
104,1,1147,52,0,
105,1,1147,60,0,
106,1,1151,67,0,
107,1,1155,78,0,
108,1,1155,90,0,
109,1,1158,105,0,
110,1,1162,120,0,
111,1,1162,138,0,
112,1,1162,157,0,
113,1,1162,180,0,
114,1,1162,198,0,
115,1,1166,225,0,
116,1,1166,247,0,
117,1,1166,273,0,
118,1,1166,296,0,
119,1,1166,330,0,
120,1,1166,360,0,
121,1,1166,390,0,
122,1,1166,420,0,
123,1,1166,439,0,
124,1,1170,457,0,
125,1,1170,483,0,
126,1,1169,504,0,
127,1,1167,514,1,Ypeak
128,1,1175,468,0,
129,1,1177,450,0,
130,1,1177,435,0,
131,1,1177,420,0,
132,1,1177,408,0,
133,1,1177,401,0,
134,1,1177,397,0,
135,1,1177,397,0,
136,1,1181,397,0,
137,1,1181,397,0,
138,1,1181,401,0,
139,1,1181,408,0,
140,1,1181,416,0,
141,1,1181,423,0,
142,1,1185,435,0,
143,1,1181,442,0,
144,1,1173,450,0,
145,1,1132,446,0,
146,1,1099,431,0,
147,1,1072,420,0,
148,1,1046,420,0,
149,1,1015,420,0,
150,1,990,420,0,
151,1,967,423,0,
152,1,948,427,0,
153,1,926,435,0,
154,1,907,442,0,
155,1,885,450,0,
156,1,870,460,0,
157,1,851,472,0,
158,1,832,487,0,
159,1,817,502,0,
160,1,798,521,0,
161,1,783,540,0,
162,1,768,557,0,
163,1,753,577,0,
164,1,742,603,0,
165,1,727,622,0,
166,1,926,416,0,
167,1,915,423,0,
168,1,817,465,0,
169,1,851,405,0,
170,1,877,360,0,
171,1,900,322,0,
172,1,922,288,0,
173,1,937,262,0,
174,1,956,240,0,
175,1,970,221,0,
176,1,985,202,0,
177,1,997,191,0,
178,1,1012,180,0,
179,1,1020,175,0,
180,1,1031,168,0,
181,1,1042,165,0,
182,1,1053,165,0,
183,1,1061,165,0,
