Frame,Visibility,X,Y,Hit,Reason
0,1,1014,593,0,
1,1,1005,585,0,
2,1,995,564,0,
3,1,977,547,0,
4,1,970,525,0,
5,1,962,513,0,
6,1,953,498,0,
7,1,945,487,0,
8,1,932,478,0,
9,1,917,477,0,
10,1,913,463,0,
11,1,908,455,0,
12,1,902,445,0,
13,1,907,436,0,
14,1,939,497,0,
15,1,942,469,0,
16,1,885,489,0,
17,1,888,498,0,
18,1,892,506,0,
19,1,888,517,0,
20,1,885,525,0,
21,1,862,495,0,
22,1,851,472,0,
23,1,836,435,0,
24,1,821,450,0,
25,1,810,442,0,
26,1,798,435,0,
27,1,787,431,0,
28,1,780,431,0,
29,1,768,431,0,
30,1,761,435,0,
31,1,750,437,0,
32,1,742,446,0,
33,1,735,457,0,
34,1,727,465,0,
35,1,720,480,0,
36,1,712,491,0,
37,1,705,510,0,
38,1,697,525,0,
39,1,690,542,0,
40,1,686,566,0,
41,1,680,589,0,
42,1,702,625,0,
43,1,687,645,0,
44,1,672,675,0,
45,1,663,667,0,
46,1,802,411,0,
47,1,840,345,0,
48,1,870,292,0,
49,1,892,255,0,
50,1,915,221,0,
51,1,933,195,0,
52,1,952,172,0,
53,1,962,157,0,
54,1,975,142,0,
55,1,990,131,0,
56,1,1000,123,0,
57,1,1012,120,0,
58,1,1020,116,0,
59,1,1031,111,0,
60,1,1038,111,0,
61,1,1050,120,0,
62,1,1057,120,0,
63,1,1065,127,0,
64,1,1072,135,0,
65,1,1080,142,0,
66,1,1083,153,0,
67,1,1091,165,0,
68,1,1098,175,0,
69,1,1102,191,1,Accel+Ramp
70,1,1110,202,0,
71,1,1069,258,0,
72,1,1027,315,0,
73,1,997,356,0,
74,1,970,393,0,
75,1,952,423,0,
76,1,933,453,0,
77,1,915,487,0,
78,1,900,517,0,
79,1,885,547,0,
80,1,870,577,0,
81,1,855,603,0,
82,1,843,633,0,
83,1,832,667,0,
84,1,821,697,0,
85,1,810,727,0,
86,1,815,735,1,Ypeak
87,1,822,662,0,
88,1,843,607,0,
89,1,843,607,0,
90,1,862,542,0,
91,1,870,517,0,
92,1,881,498,0,
93,1,888,480,0,
94,1,896,465,0,
95,1,900,457,0,
96,1,907,450,0,
97,1,915,442,0,
98,1,918,435,0,
99,1,922,435,0,
100,1,930,435,0,
101,1,937,435,0,
102,1,941,437,0,
103,1,945,442,0,
104,1,952,450,0,
105,1,956,457,0,
106,1,960,468,0,
107,1,962,480,0,
108,1,962,480,0,
109,1,973,486,0,
110,1,979,495,0,
111,1,990,502,0,
112,1,987,459,0,
113,1,973,445,0,
114,1,987,406,0,
115,1,974,398,0,
116,1,979,409,0,
117,1,981,417,0,
118,1,984,424,0,
119,1,986,431,0,
120,1,990,442,0,
121,1,990,453,0,
122,1,990,465,0,
123,1,990,476,0,
124,1,990,487,0,
125,1,990,506,0,
126,1,985,521,0,
127,1,985,540,0,
128,1,990,557,0,
129,1,990,577,0,
130,1,972,527,0,
131,1,955,437,0,
132,1,941,371,0,
133,1,926,315,0,
134,1,915,270,0,
135,1,903,232,0,
136,1,892,198,0,
137,1,885,172,0,
138,1,877,146,0,
139,1,870,123,0,
140,1,866,108,0,
141,1,858,90,0,
142,1,855,78,0,
143,1,847,67,0,
144,1,843,60,0,
145,1,840,55,0,
146,1,832,52,0,
147,1,828,48,0,
148,1,825,48,0,
149,1,825,52,0,
150,1,821,55,0,
151,1,817,60,0,
152,1,813,67,0,
153,1,813,78,0,
154,1,810,86,0,
155,1,810,96,0,
156,1,806,111,0,
157,1,806,127,0,
158,1,802,142,0,
159,1,802,157,0,
160,1,802,175,0,
161,1,802,195,0,
162,1,802,213,0,
163,1,798,232,0,
164,1,798,255,0,
165,1,795,270,0,
166,1,813,375,0,
167,1,787,202,0,
168,1,780,187,0,
169,1,780,172,0,
170,1,776,157,0,
171,1,772,150,0,
172,1,768,146,0,
173,1,768,142,0,
174,1,765,142,0,
175,1,761,142,0,
176,1,761,146,0,
177,1,757,150,0,
178,1,757,157,0,
179,1,753,165,0,
180,1,750,172,0,
181,1,750,187,0,
182,1,746,198,0,
183,1,742,217,0,
184,1,738,232,0,
185,1,738,251,0,
186,1,735,273,0,
187,1,735,292,0,
188,1,731,315,0,
189,1,727,341,0,
190,1,727,367,0,
191,1,723,397,0,
192,1,720,423,0,
193,1,749,430,0,
194,1,809,441,0,
195,1,873,450,0,
196,1,934,445,0,
197,1,977,446,0,
198,1,1005,453,0,
199,1,1031,457,0,
200,1,1057,457,0,
201,1,1076,465,0,
202,1,1091,468,0,
203,1,1106,476,0,
204,1,1121,480,0,
205,1,1128,491,0,
206,1,1143,502,0,
207,1,1155,513,1,Ypeak
208,1,1158,457,0,
209,1,1158,435,0,
210,1,1158,427,0,
211,1,1162,416,0,
212,1,1170,408,0,
213,1,1170,401,0,
214,1,1173,397,0,
215,1,1177,393,0,
216,1,1177,393,0,
217,1,1181,397,0,
218,1,1181,397,0,
219,1,1185,405,0,
220,1,1185,411,0,
221,1,1185,420,0,
222,1,1188,431,0,
223,1,1188,442,0,
224,1,1188,457,0,
225,1,1188,472,0,
226,1,1188,491,0,
227,1,1188,510,0,
228,1,1188,528,0,
229,1,1188,551,0,
230,1,1188,573,0,
231,1,1188,596,0,
232,1,1185,615,0,
233,1,1136,517,0,
234,1,1086,423,0,
235,1,1046,351,0,
236,1,1022,307,0,
237,1,992,258,0,
238,1,975,225,0,
239,1,952,195,0,
240,1,937,172,0,
241,1,922,150,0,
242,1,907,135,0,
243,1,896,120,0,
244,1,885,108,0,
245,1,873,96,0,
246,1,862,90,0,
247,1,855,86,0,
248,1,843,82,0,
249,1,836,82,0,
250,1,828,86,0,
251,1,821,90,0,
252,1,817,93,0,
253,1,810,96,0,
254,1,802,105,0,
255,1,798,116,0,
256,1,791,127,0,
257,1,787,138,0,
258,1,783,150,0,
259,1,780,165,0,
260,1,776,180,0,
261,1,772,195,0,
262,1,768,217,0,
263,1,768,232,0,
264,1,765,247,0,
265,1,757,281,0,
266,1,746,307,0,
267,1,735,330,0,
268,1,723,351,0,
269,1,716,375,0,
270,1,708,393,0,
271,1,705,411,0,
272,1,697,431,0,
273,1,690,450,0,
274,1,686,472,0,
