Frame,Visibility,X,Y,Hit,Reason
0,1,1068,360,0,
1,1,1083,341,0,
2,1,1098,330,0,
3,1,1110,318,0,
4,1,1121,311,0,
5,1,1132,307,0,
6,1,1143,300,0,
7,1,1155,300,0,
8,1,1162,302,0,
9,1,1170,307,0,
10,1,1177,315,0,
11,1,1185,322,0,
12,1,1192,330,0,
13,1,1200,341,0,
14,1,1207,356,0,
15,1,1211,371,0,
16,1,1215,390,0,
17,1,1222,408,0,
18,1,1226,423,0,
19,1,1239,443,0,
20,1,1243,460,0,
21,1,1250,495,0,
22,1,1252,533,1,Ypeak+Ramp
23,1,1220,507,0,
24,1,1136,401,0,
25,1,1076,315,0,
26,1,1035,255,0,
27,1,990,202,0,
28,1,962,165,0,
29,1,937,135,0,
30,1,915,108,0,
31,1,896,90,0,
32,1,877,75,0,
33,1,866,62,0,
34,1,851,52,0,
35,1,840,48,0,
36,1,828,45,0,
37,1,817,41,0,
38,1,810,41,0,
39,1,802,45,0,
40,1,791,48,0,
41,1,783,52,0,
42,1,780,60,0,
43,1,772,67,0,
44,1,765,78,0,
45,1,761,90,0,
46,1,757,101,0,
47,1,750,111,0,
48,1,750,127,0,
49,1,742,142,0,
50,1,742,161,0,
51,1,738,180,0,
52,1,735,195,0,
53,1,731,217,0,
54,1,727,232,1,Accel
55,1,727,255,0,
56,1,757,292,0,
57,1,787,322,0,
58,1,802,345,0,
59,1,825,367,0,
60,1,843,390,0,
61,1,858,416,0,
62,1,873,431,0,
63,1,885,450,0,
64,1,896,480,0,
65,1,911,502,0,
66,1,915,510,0,
67,1,922,536,0,
68,1,933,557,0,
69,1,941,581,0,
70,1,948,607,0,
71,1,944,623,1,Ypeak
72,1,919,590,0,
73,1,891,555,0,
74,1,881,532,0,
75,1,863,506,0,
76,1,851,487,0,
77,1,840,480,0,
78,1,825,468,0,
79,1,810,465,0,
80,1,798,457,0,
81,1,791,453,0,
82,1,783,450,0,
83,1,772,450,0,
84,1,765,453,0,
85,1,753,457,0,
86,1,750,465,0,
87,1,742,468,0,
88,1,735,480,0,
89,1,727,491,0,
90,1,720,502,0,
91,1,716,517,0,
92,1,712,532,0,
93,1,705,542,0,
94,1,705,562,1,Ypeak
95,1,701,562,0,
96,1,690,536,0,
97,1,693,513,0,
98,1,693,495,0,
99,1,697,491,0,
100,1,693,472,0,
101,1,693,465,0,
102,1,697,453,0,
103,1,697,446,0,
104,1,697,446,0,
105,1,697,446,0,
106,1,697,450,0,
107,1,697,450,0,
108,1,693,457,0,
109,1,693,465,0,
110,1,693,472,0,
111,1,697,487,0,
112,1,697,487,0,
113,1,697,498,0,
114,1,697,510,0,
115,1,697,521,0,
116,1,697,536,0,
117,1,697,551,0,
118,1,697,570,0,
119,1,697,585,0,
120,1,697,607,0,
121,1,701,630,1,Ypeak
122,1,723,618,0,
123,1,761,577,0,
124,1,791,543,0,
125,1,821,517,0,
126,1,847,502,0,
127,1,862,491,0,
128,1,873,483,0,
129,1,881,491,0,
130,1,888,495,0,
131,1,896,502,0,
132,1,900,510,0,
133,1,907,521,0,
134,1,915,532,0,
135,1,922,542,1,Ypeak+Ramp
136,1,961,517,0,
137,1,988,518,0,
138,1,1015,532,0,
139,1,1025,541,0,
140,1,1038,555,0,
141,1,1053,570,0,
142,1,975,667,0,
143,1,975,690,0,
144,1,982,675,0,
145,1,985,675,0,
146,1,982,671,0,
147,1,982,667,0,
148,1,982,662,0,
149,1,985,662,0,
150,1,985,667,0,
151,1,985,667,0,
152,1,990,675,0,
153,1,990,682,0,
154,1,992,692,0,
155,1,997,692,0,
156,1,1000,692,0,
157,1,1005,697,0,
158,1,1005,697,0,
159,1,1007,697,0,
160,1,1007,697,0,
161,1,1007,697,0,
162,1,1007,697,0,
163,1,1005,701,0,
164,1,1005,701,0,
165,1,1005,701,0,
166,1,1005,701,0,
167,1,1005,701,0,
168,1,1005,701,0,
169,1,1005,701,0,
