Frame,Visibility,X,Y,Hit,Reason
0,1,720,292,0,
1,1,723,300,0,
2,1,727,311,0,
3,1,731,318,0,
4,1,735,330,0,
5,1,735,341,0,
6,1,738,356,0,
7,1,742,367,0,
8,1,742,382,0,
9,1,746,397,0,
10,1,750,416,0,
11,1,750,435,0,
12,1,750,453,0,
13,1,750,472,0,
14,1,753,495,0,
15,1,753,517,0,
16,1,753,542,0,
17,1,753,566,0,
18,1,757,592,0,
19,1,757,618,0,
20,1,757,645,0,
21,1,757,675,0,
22,1,747,691,0,
23,1,742,566,0,
24,1,731,491,0,
25,1,720,420,0,
26,1,716,371,0,
27,1,708,330,0,
28,1,705,292,0,
29,1,701,262,0,
30,1,697,236,0,
31,1,690,213,0,
32,1,690,195,0,
33,1,686,180,0,
34,1,682,168,0,
35,1,678,157,0,
36,1,675,150,0,
37,1,675,146,0,
38,1,675,142,0,
39,1,671,138,0,
40,1,671,138,0,
41,1,667,142,0,
42,1,667,146,0,
43,1,667,150,0,
44,1,667,157,0,
45,1,667,165,0,
46,1,667,175,0,
47,1,667,187,0,
48,1,667,202,0,
49,1,667,213,0,
50,1,667,228,0,
51,1,667,242,0,
52,1,667,262,0,
53,1,667,276,0,
54,1,667,300,0,
55,1,667,315,0,
56,1,667,337,0,
57,1,667,367,0,
58,1,667,390,0,
59,1,667,408,0,
60,1,667,423,0,
61,1,667,442,0,
62,1,667,457,0,
63,1,667,476,0,
64,1,667,495,0,
65,1,667,510,0,
66,1,663,532,0,
67,1,663,551,0,
68,1,663,573,0,
69,1,663,596,0,
70,1,663,615,0,
71,1,660,640,0,
72,1,660,667,0,
73,1,660,690,0,
74,1,660,720,0,
75,1,656,742,1,Ypeak+Ramp
76,1,647,735,0,
77,1,665,705,0,
78,1,672,679,0,
79,1,667,704,0,
80,1,671,562,0,
81,1,675,540,0,
82,1,678,517,0,
83,1,682,502,0,
84,1,682,487,0,
85,1,686,476,0,
86,1,690,465,0,
87,1,693,460,0,
88,1,697,457,0,
89,1,697,457,0,
90,1,701,457,0,
91,1,701,457,0,
92,1,705,460,0,
93,1,705,465,0,
94,1,708,472,0,
95,1,712,480,0,
96,1,712,495,1,Ypeak+Ramp
97,1,727,498,0,
98,1,783,472,0,
99,1,825,450,0,
100,1,858,435,0,
101,1,892,423,0,
102,1,918,411,0,
103,1,945,405,0,
104,1,970,401,0,
105,1,992,397,0,
106,1,1012,397,0,
107,1,1035,401,0,
108,1,1053,405,0,
109,1,1068,411,0,
110,1,1087,420,0,
111,1,1102,427,0,
112,1,1117,435,0,
113,1,1136,453,0,
114,1,1147,465,0,
115,1,1162,487,0,
116,1,1177,506,0,
117,1,1188,525,0,
118,1,1203,547,0,
119,1,1211,570,0,
120,1,1218,590,0,
121,1,1224,613,0,
122,1,1233,635,0,
123,1,1237,648,1,Ypeak
124,1,1240,637,0,
125,1,1237,598,0,
126,1,1241,573,0,
127,1,1237,547,0,
128,1,1233,525,0,
129,1,1230,510,0,
130,1,1230,495,0,
131,1,1226,487,0,
132,1,1226,483,0,
133,1,1222,480,0,
134,1,1222,476,0,
135,1,1222,476,0,
136,1,1222,476,0,
137,1,1222,483,0,
138,1,1222,495,0,
139,1,1222,502,0,
140,1,1222,510,0,
141,1,1222,521,0,
142,1,1218,532,0,
143,1,1218,547,0,
144,1,1218,562,0,
145,1,1218,573,0,
146,1,1179,534,0,
147,1,1143,499,0,
148,1,1106,468,0,
149,1,1072,442,0,
150,1,1042,423,0,
151,1,1020,411,0,
152,1,997,397,0,
153,1,975,390,0,
154,1,952,382,0,
155,1,933,382,0,
156,1,915,377,0,
157,1,896,377,0,
158,1,881,382,0,
159,1,862,386,0,
160,1,847,393,0,
161,1,832,405,0,
162,1,817,411,0,
163,1,802,423,0,
164,1,787,435,0,
165,1,776,453,0,
166,1,765,468,0,
167,1,750,491,0,
168,1,738,507,0,
169,1,732,523,0,
170,1,729,522,0,
171,1,742,523,0,
172,1,752,518,0,
173,1,760,493,0,
174,1,755,481,0,
175,1,744,461,0,
176,1,886,480,0,
177,1,866,472,0,
178,1,933,466,0,
179,1,952,464,0,
180,1,984,455,0,
181,1,1005,453,0,
182,1,1027,450,0,
183,1,1050,446,0,
184,1,1068,446,0,
185,1,1083,446,0,
186,1,1098,450,0,
187,1,1113,453,0,
188,1,1128,457,0,
189,1,1140,465,0,
190,1,1155,476,0,
191,1,1167,486,0,
192,1,1177,498,0,
193,1,1185,513,0,
194,1,1196,528,0,
195,1,1203,540,0,
196,1,1211,557,0,
197,1,1218,573,0,
198,1,1226,588,1,Ypeak
199,1,1237,555,0,
200,1,1237,528,0,
201,1,1237,510,0,
202,1,1236,486,0,
203,1,1237,468,0,
204,1,1237,460,0,
205,1,1237,453,0,
206,1,1237,450,0,
207,1,1237,442,0,
208,1,1237,435,0,
209,1,1237,435,0,
210,1,1237,435,0,
211,1,1237,435,0,
212,1,1241,442,0,
213,1,1241,450,0,
214,1,1241,457,0,
215,1,1241,465,0,
216,1,1237,480,0,
217,1,1237,495,0,
218,1,1237,510,0,
219,1,1237,525,0,
220,1,1237,542,0,
221,1,1233,562,0,
222,1,1233,585,0,
223,1,1233,607,1,Ypeak
224,1,1233,600,0,
225,1,1230,487,0,
226,1,1226,401,0,
227,1,1222,341,0,
228,1,1218,292,0,
229,1,1215,247,0,
230,1,1215,213,0,
231,1,1215,180,0,
232,1,1211,153,0,
233,1,1211,131,0,
234,1,1207,111,0,
235,1,1207,96,0,
236,1,1207,82,0,
237,1,1207,71,0,
238,1,1207,60,0,
239,1,1203,52,0,
240,1,1203,48,0,
241,1,1203,45,0,
242,1,1203,45,0,
243,1,1203,45,0,
244,1,1200,48,0,
245,1,1200,52,0,
246,1,1200,60,0,
247,1,1203,67,0,
248,1,1200,75,0,
249,1,1203,90,0,
250,1,1203,101,0,
251,1,1203,111,0,
252,1,1200,127,0,
253,1,1200,146,0,
254,1,1200,161,0,
255,1,1203,180,0,
256,1,1200,198,0,
257,1,1203,217,0,
258,1,1203,236,0,
259,1,1203,258,0,
260,1,1203,276,0,
261,1,1211,288,1,Ypeak
262,1,1211,281,0,
263,1,1215,276,0,
264,1,1222,270,0,
265,1,1226,270,0,
266,1,1226,270,0,
267,1,1230,273,0,
268,1,1233,276,0,
269,1,1237,285,0,
270,1,1237,292,0,
271,1,1241,300,0,
272,1,1241,311,0,
273,1,1245,322,0,
274,1,1245,337,0,
275,1,1245,351,0,
276,1,1248,367,0,
277,1,1248,390,0,
278,1,1252,408,0,
279,1,1252,427,0,
280,1,1252,450,0,
281,1,1252,472,0,
282,1,1256,495,0,
283,1,1252,521,0,
284,1,1256,547,0,
285,1,1256,573,0,
286,1,1256,600,0,
287,1,1256,625,1,Ypeak
288,1,1256,603,0,
289,1,1252,562,0,
290,1,1252,536,0,
291,1,1252,517,0,
292,1,1248,502,0,
293,1,1248,483,0,
294,1,1252,472,0,
295,1,1248,460,0,
296,1,1252,457,0,
297,1,1252,453,0,
298,1,1256,450,0,
299,1,1256,450,0,
300,1,1256,450,0,
301,1,1260,453,0,
302,1,1256,457,0,
303,1,1256,460,0,
304,1,1256,472,0,
305,1,1256,480,0,
306,1,1256,491,0,
307,1,1260,502,0,
308,1,1252,517,0,
309,1,1256,536,0,
310,1,1256,551,0,
311,1,1256,570,1,Ypeak
312,1,1256,566,0,
313,1,1256,547,0,
314,1,1256,528,0,
315,1,1252,510,0,
316,1,1248,495,0,
317,1,1248,491,0,
318,1,1241,472,0,
319,1,1237,465,0,
320,1,1237,457,0,
321,1,1237,457,0,
322,1,1237,457,0,
323,1,1237,457,0,
324,1,1237,460,0,
325,1,1237,465,0,
326,1,1237,472,0,
327,1,1237,480,0,
328,1,1237,491,0,
329,1,1233,502,0,
330,1,1233,517,0,
331,1,1230,532,0,
332,1,1230,551,0,
333,1,1230,570,1,Ypeak+Ramp
334,1,1207,555,0,
335,1,1162,457,0,
336,1,1117,382,0,
337,1,1083,330,0,
338,1,1057,285,0,
339,1,1035,255,0,
340,1,1007,217,0,
341,1,985,187,0,
342,1,967,165,0,
343,1,952,142,0,
344,1,933,127,0,
345,1,918,111,0,
346,1,903,101,0,
347,1,888,93,0,
348,1,877,86,0,
349,1,866,82,0,
350,1,855,78,0,
351,1,843,78,0,
352,1,832,78,0,
353,1,825,82,0,
354,1,817,86,0,
355,1,806,93,0,
356,1,798,101,0,
357,1,791,108,0,
358,1,783,120,0,
359,1,780,135,0,
360,1,772,146,0,
361,1,765,161,0,
362,1,761,175,0,
363,1,757,195,0,
364,1,750,210,0,
365,1,746,228,0,
366,1,742,247,0,
367,1,738,270,1,Ypeak
368,1,731,266,0,
369,1,727,232,0,
370,1,723,210,0,
371,1,720,191,0,
372,1,716,180,0,
373,1,712,168,0,
374,1,712,161,0,
375,1,708,157,0,
376,1,705,153,0,
377,1,705,153,0,
378,1,701,157,0,
379,1,701,161,0,
380,1,697,165,0,
381,1,693,172,0,
382,1,693,183,0,
383,1,690,195,0,
384,1,686,210,0,
385,1,686,225,0,
386,1,682,240,0,
387,1,678,262,0,
388,1,675,276,0,
389,1,675,300,0,
390,1,671,322,0,
391,1,667,348,0,
392,1,663,375,0,
393,1,663,405,0,
394,1,660,427,0,
395,1,654,440,0,
396,1,657,452,0,
397,1,669,461,0,
398,1,670,480,1,Ypeak+Ramp
399,1,662,494,0,
400,1,645,427,0,
401,1,645,330,0,
402,1,641,255,0,
403,1,637,202,0,
404,1,637,161,0,
405,1,637,127,0,
406,0,0,0,0,
407,0,0,0,0,
408,0,0,0,0,
409,1,633,48,0,
410,1,633,37,0,
411,1,633,26,0,
412,1,633,21,0,
413,1,637,18,0,
