Frame,Visibility,X,Y,Hit,Reason
0,1,902,305,0,
1,1,918,277,0,
2,1,917,263,0,
3,1,920,259,0,
4,1,1035,424,0,
5,1,1053,456,0,
6,1,1043,511,0,
7,1,993,588,0,
8,1,999,617,0,
9,1,1008,619,1,Ypeak+Ramp
10,1,1010,612,0,
11,1,1006,599,0,
12,1,1017,571,0,
13,1,1020,551,0,
14,1,1027,525,0,
15,1,1031,506,0,
16,1,1041,469,0,
17,1,1046,463,0,
18,1,1047,457,0,
19,1,1046,451,0,
20,1,1050,453,0,
21,1,1050,453,0,
22,1,1050,453,0,
23,1,1057,457,0,
24,1,1057,457,0,
25,1,1057,460,0,
26,1,1061,468,0,
27,1,1061,476,0,
28,1,1050,472,0,
29,1,1035,450,0,
30,1,1015,423,0,
31,1,997,411,0,
32,1,982,397,0,
33,1,962,386,0,
34,1,945,375,0,
35,1,930,371,0,
36,1,918,367,0,
37,1,903,367,0,
38,1,892,371,0,
39,1,881,371,0,
40,1,866,377,0,
41,1,855,382,0,
42,1,847,393,0,
43,1,832,405,0,
44,1,825,416,0,
45,1,813,427,0,
46,1,802,442,0,
47,1,795,460,0,
48,1,737,555,0,
49,1,753,547,0,
50,1,735,521,0,
51,1,740,503,0,
52,1,743,482,0,
53,1,742,468,0,
54,1,742,450,0,
55,1,738,437,0,
56,1,735,427,0,
57,1,735,423,0,
58,1,735,420,0,
59,1,735,420,0,
60,1,735,420,0,
61,1,735,423,0,
62,1,735,427,0,
63,1,768,390,0,
64,1,802,371,0,
65,1,828,348,0,
66,1,851,337,0,
67,1,873,325,0,
68,1,892,318,0,
69,1,911,315,0,
70,1,926,311,0,
71,1,941,311,0,
72,1,952,311,0,
73,1,967,315,0,
74,1,977,322,0,
75,1,990,325,0,
76,1,1000,337,0,
77,1,1007,348,0,
78,1,1020,360,0,
79,1,1027,375,0,
80,1,1035,393,0,
81,1,1042,411,0,
82,1,1050,427,0,
83,1,1061,450,0,
84,1,1070,469,0,
85,1,1086,474,0,
86,1,1091,451,0,
87,1,1110,435,0,
88,1,1117,420,0,
89,1,1125,411,0,
90,1,1128,405,0,
91,1,1136,405,0,
92,1,1140,405,0,
93,1,1143,405,0,
94,1,1147,408,0,
95,1,1151,411,0,
96,1,1155,416,0,
97,1,1155,423,0,
98,1,1125,397,0,
99,1,1095,362,0,
100,1,1068,333,0,
101,1,1042,311,0,
102,1,1015,292,0,
103,1,997,273,0,
104,1,977,262,0,
105,1,962,255,0,
106,1,948,247,0,
107,1,933,242,0,
108,1,918,242,0,
109,1,907,247,0,
