frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,1039.15,379.90,1140.63,577.31,1084.11,395.70,0.7369,1088.93,391.85,0.7577,1081.70,391.37,0.7740,1095.67,393.78,0.8061,1076.88,393.78,0.7416,1105.80,413.54,0.6926,1065.31,406.79,0.7516,1131.82,431.37,0.8134,1049.89,426.55,0.7313,1111.58,451.13,0.7069,1043.62,445.35,0.7370,1095.67,467.52,0.6148,1077.36,467.04,0.6372,1088.44,509.45,0.7073,1080.73,508.49,0.6611,1090.37,557.17,0.7269,1096.16,523.91,0.6246
0,bottom,0,903.60,580.77,1012.57,833.61,955.00,601.02,0.7143,956.23,596.70,0.5188,956.23,597.31,0.6302,940.18,601.02,0.6346,956.85,602.87,0.7278,925.99,618.92,0.7372,964.88,629.41,0.6973,909.32,618.92,0.7720,991.42,638.67,0.6798,927.22,614.60,0.5413,1003.76,630.03,0.7478,926.60,697.93,0.6582,947.59,701.02,0.6691,938.33,736.82,0.6027,951.91,754.72,0.7199,940.18,778.79,0.6919,927.22,804.72,0.7715
1,top,1,1039.41,379.64,1140.40,575.68,1084.64,395.82,0.7572,1088.95,391.99,0.7693,1081.29,391.51,0.7769,1095.17,393.91,0.8106,1076.51,393.43,0.7543,1105.70,413.53,0.6903,1065.50,407.31,0.7466,1131.55,431.72,0.8117,1050.18,426.93,0.7638,1110.97,451.34,0.7124,1043.00,447.03,0.7409,1096.13,468.57,0.6115,1077.46,468.09,0.6333,1089.43,510.21,0.7043,1081.77,509.73,0.6459,1090.86,557.11,0.7165,1097.09,525.05,0.6251
1,bottom,0,908.82,579.79,1014.60,833.78,955.51,600.13,0.7480,956.75,595.79,0.5511,956.75,597.03,0.6721,940.63,600.75,0.6480,957.37,601.99,0.7399,926.98,618.73,0.7555,964.81,629.90,0.6741,915.20,620.59,0.7415,992.71,636.72,0.7478,932.57,613.77,0.5179,1004.50,621.83,0.8249,927.60,698.73,0.6814,948.07,702.45,0.7037,938.77,738.41,0.6143,951.79,755.16,0.7426,939.39,779.34,0.6957,926.36,805.38,0.7654
2,top,1,1039.42,380.05,1138.99,575.18,1084.44,396.15,0.7553,1088.73,392.81,0.7591,1081.11,391.86,0.7559,1095.40,394.72,0.7767,1076.34,393.77,0.7202,1105.40,414.25,0.6752,1064.43,409.01,0.7193,1129.70,432.83,0.7810,1051.09,429.02,0.7618,1111.12,453.79,0.7034,1043.47,451.89,0.7369,1097.30,469.04,0.5651,1077.30,469.04,0.5863,1092.54,510.96,0.6693,1083.49,510.48,0.6181,1092.06,556.22,0.7095,1098.73,525.73,0.6206
2,bottom,0,908.72,578.44,1012.49,834.45,956.23,598.94,0.7474,957.48,594.57,0.5475,956.86,595.19,0.6703,940.61,598.94,0.6365,957.48,600.82,0.7278,928.11,616.44,0.7714,964.98,628.94,0.6848,916.86,625.82,0.7122,993.11,637.07,0.7738,934.36,618.32,0.4896,1004.36,618.32,0.8255,927.48,698.32,0.6907,948.73,701.44,0.7031,938.11,738.95,0.6197,951.23,754.57,0.7371,939.36,779.57,0.6947,925.61,805.20,0.7642
3,top,1,1039.38,382.58,1137.98,575.95,1084.90,397.60,0.7638,1089.15,394.29,0.7736,1081.60,393.82,0.7556,1095.76,396.65,0.7698,1076.40,395.71,0.7413,1105.67,415.54,0.6806,1063.19,410.81,0.7351,1128.80,433.95,0.7734,1050.91,432.53,0.7596,1111.81,456.61,0.6978,1044.30,454.72,0.7399,1098.12,470.30,0.5615,1078.29,472.18,0.5742,1095.76,508.06,0.6946,1085.85,510.42,0.5897,1094.82,553.38,0.6917,1098.59,526.47,0.6261
3,bottom,0,907.85,577.13,1010.39,833.78,955.99,597.68,0.7271,957.24,593.92,0.5445,956.61,594.55,0.6431,941.58,598.31,0.6441,958.49,600.19,0.7298,929.05,617.11,0.7862,966.01,628.39,0.7061,917.14,630.27,0.6831,992.96,639.04,0.8090,929.05,624.00,0.4790,1001.73,620.87,0.8680,927.79,697.31,0.7012,947.84,701.07,0.6989,937.82,739.29,0.6188,950.98,755.59,0.7483,939.07,779.40,0.6974,924.66,806.97,0.7754
4,top,1,1039.72,385.31,1135.59,576.60,1085.32,399.69,0.7818,1089.99,395.96,0.7902,1082.05,395.49,0.7540,1096.06,398.29,0.7939,1076.92,397.82,0.7368,1106.34,418.37,0.6802,1062.44,414.64,0.7316,1128.75,437.99,0.7747,1050.30,436.12,0.7708,1112.88,459.94,0.6950,1045.16,463.67,0.7347,1098.86,474.41,0.5853,1078.78,476.75,0.5959,1098.40,511.31,0.6959,1090.46,513.64,0.5857,1099.33,552.87,0.6992,1101.67,526.72,0.5824
4,bottom,0,907.05,577.02,1008.04,833.24,956.29,596.91,0.7420,958.17,592.53,0.5569,956.92,593.16,0.6241,943.78,597.53,0.6639,960.05,599.41,0.7367,930.65,618.18,0.7767,968.80,629.44,0.7395,916.88,636.94,0.7233,994.45,643.20,0.8214,931.27,628.81,0.4928,1000.08,623.81,0.8532,927.52,697.62,0.6971,948.16,701.37,0.6975,938.15,740.16,0.6083,949.41,756.42,0.7431,939.40,780.82,0.6916,923.14,808.34,0.7710
5,top,1,1040.70,384.25,1137.06,575.22,1087.02,400.01,0.8045,1091.21,397.21,0.7969,1083.29,396.28,0.7637,1097.27,400.48,0.8080,1077.69,399.08,0.7725,1107.53,420.53,0.6979,1062.77,416.33,0.7579,1128.98,440.57,0.7824,1052.05,437.31,0.7289,1115.45,462.48,0.7100,1047.85,462.95,0.7269,1098.67,475.54,0.6208,1078.62,478.80,0.6315,1100.54,512.84,0.6682,1090.28,514.70,0.5768,1106.60,550.60,0.6420,1096.81,527.76,0.5735
5,bottom,0,906.36,576.04,1002.47,833.14,955.04,596.00,0.7718,958.18,591.61,0.5903,956.30,592.24,0.6105,945.00,597.26,0.7203,961.94,598.52,0.7633,931.19,619.86,0.7716,970.73,629.27,0.7579,917.38,646.22,0.7871,994.58,649.98,0.8105,934.33,639.31,0.5346,998.35,629.90,0.8334,928.68,697.06,0.7006,947.51,700.83,0.7010,940.60,741.00,0.5554,948.14,757.32,0.7305,939.35,780.54,0.6960,920.52,810.04,0.7678
6,top,0,1044.77,386.06,1136.72,569.63,1088.95,400.76,0.8336,1092.98,397.63,0.8236,1085.36,397.18,0.7887,1098.81,401.21,0.8205,1079.09,399.87,0.8096,1108.67,421.83,0.6985,1062.51,418.24,0.7479,1127.94,442.89,0.7772,1053.10,443.34,0.7073,1121.22,465.30,0.6889,1049.06,471.13,0.6941,1097.46,475.61,0.5977,1075.95,477.40,0.6044,1101.50,517.29,0.6455,1082.67,512.36,0.5418,1115.39,551.35,0.6472,1096.57,525.80,0.6308
6,bottom,1,905.16,576.89,1001.51,832.78,957.09,596.14,0.7986,960.21,592.39,0.6121,958.34,592.39,0.6101,946.47,598.01,0.7258,963.34,599.26,0.7641,932.10,621.12,0.7736,972.08,631.75,0.7524,920.23,656.11,0.7463,992.70,658.61,0.7874,937.72,651.11,0.4677,995.82,639.24,0.7970,928.98,696.72,0.7007,947.72,701.09,0.6899,945.22,742.32,0.5260,946.47,758.56,0.7138,940.22,781.05,0.6895,918.98,812.29,0.7578
7,top,1,1046.38,385.76,1136.79,571.37,1090.23,401.53,0.8463,1094.76,398.35,0.8244,1086.60,397.45,0.8004,1100.19,402.43,0.8173,1080.26,400.62,0.7877,1109.71,422.82,0.6975,1062.58,419.65,0.7325,1127.38,445.48,0.7719,1053.52,445.94,0.7105,1123.76,470.86,0.7109,1050.35,474.48,0.6999,1096.12,480.38,0.6008,1073.91,480.83,0.6170,1102.46,524.33,0.6638,1073.01,521.61,0.5537,1122.40,552.88,0.7021,1091.58,523.88,0.5662
7,bottom,0,903.77,577.27,1002.34,832.91,959.92,597.11,0.7819,962.42,593.37,0.6055,960.55,593.37,0.5820,949.31,598.99,0.7078,964.91,600.23,0.7392,933.71,623.95,0.7631,973.65,633.94,0.7507,921.23,658.90,0.7194,991.75,665.77,0.7657,926.22,670.76,0.5029,993.62,647.67,0.7466,929.34,698.85,0.6993,947.44,702.59,0.6799,947.44,740.66,0.5331,944.94,760.01,0.7049,939.95,781.23,0.7004,918.10,814.31,0.7480
8,top,1,1046.51,388.30,1136.72,570.97,1090.28,403.82,0.8394,1094.74,400.70,0.7984,1086.71,399.81,0.8006,1100.53,404.71,0.7754,1080.02,403.38,0.7612,1110.35,425.67,0.6859,1062.18,422.55,0.7124,1126.40,448.42,0.7489,1052.37,451.10,0.6786,1125.06,476.52,0.6772,1051.03,480.53,0.6027,1094.29,483.65,0.6104,1070.21,484.10,0.6198,1100.53,526.47,0.6383,1067.53,526.02,0.5802,1123.28,555.01,0.6613,1085.82,524.24,0.5489
8,bottom,0,904.05,577.87,1005.05,833.06,964.52,598.93,0.7681,965.77,595.19,0.5838,965.77,595.19,0.6078,952.06,600.18,0.7199,968.26,602.05,0.7498,935.86,626.97,0.7936,978.23,636.94,0.7692,922.78,663.10,0.7619,990.69,669.95,0.7405,925.27,683.04,0.5178,990.69,663.72,0.4821,929.63,701.11,0.7144,946.45,704.84,0.6833,952.06,741.60,0.5716,945.21,761.54,0.7110,941.47,783.34,0.7069,917.79,813.87,0.7368
9,top,1,1042.46,392.12,1135.53,570.79,1089.00,406.87,0.7958,1093.36,403.38,0.7545,1085.51,402.94,0.7766,1099.03,406.87,0.7731,1078.96,406.00,0.7491,1109.93,429.55,0.6917,1061.95,425.62,0.7088,1124.33,452.67,0.7390,1049.74,453.54,0.7001,1125.64,477.97,0.6577,1047.99,482.33,0.6226,1092.92,485.82,0.6122,1068.06,484.51,0.6114,1101.65,529.00,0.6056,1057.59,530.75,0.7131,1123.02,554.74,0.6789,1078.53,527.26,0.5997
9,bottom,0,905.34,580.83,1005.17,833.59,966.98,602.92,0.7988,967.60,598.60,0.5939,970.06,599.22,0.6134,955.25,604.16,0.7545,972.53,606.01,0.7802,937.98,630.07,0.8129,981.17,640.57,0.8188,923.78,666.48,0.7834,991.05,675.74,0.7902,922.55,693.02,0.6062,988.58,674.50,0.5160,927.49,702.89,0.7158,946.00,707.83,0.7027,956.49,739.92,0.6052,946.62,762.75,0.6971,947.85,783.73,0.7012,918.23,813.97,0.7171
10,top,1,1038.92,395.37,1136.37,572.18,1086.78,409.96,0.8011,1091.10,406.51,0.7633,1082.90,406.08,0.7696,1096.28,410.39,0.7612,1075.99,409.10,0.7698,1106.20,431.11,0.6816,1059.15,428.95,0.6871,1120.45,454.42,0.7338,1046.20,456.15,0.6947,1125.20,477.73,0.6848,1044.91,482.05,0.6252,1091.10,486.79,0.5916,1064.77,484.20,0.5845,1104.05,529.10,0.5957,1049.66,526.94,0.6859,1123.04,553.70,0.6604,1071.67,533.84,0.6163
10,bottom,0,905.96,584.14,1004.41,833.17,972.21,605.29,0.7987,972.21,602.25,0.6254,974.03,601.65,0.6524,959.44,607.73,0.7565,975.86,608.94,0.7541,940.59,632.05,0.8001,984.37,644.21,0.8153,924.78,669.13,0.7460,990.45,678.86,0.7481,921.14,697.10,0.6091,995.31,697.10,0.6075,926.61,702.57,0.7268,944.85,707.44,0.6998,960.05,740.27,0.6506,951.54,763.37,0.6939,950.32,786.48,0.7741,918.70,813.23,0.7399
11,top,1,1032.92,397.97,1135.11,577.76,1083.13,412.81,0.7911,1087.52,409.30,0.7515,1079.18,408.86,0.7457,1092.35,413.25,0.7200,1071.72,411.93,0.7304,1102.01,433.00,0.6910,1055.48,431.68,0.7015,1115.62,455.38,0.7042,1039.24,459.33,0.7247,1123.95,476.45,0.6965,1040.12,483.91,0.6675,1088.84,485.67,0.5683,1061.63,483.48,0.5484,1105.08,528.25,0.5781,1042.31,521.66,0.6783,1122.64,553.26,0.6866,1059.43,548.88,0.6894
11,bottom,0,906.72,586.39,1012.49,833.39,974.68,609.18,0.8387,974.68,605.56,0.6275,977.09,605.56,0.6197,963.22,610.99,0.7916,980.10,612.80,0.7388,942.72,634.51,0.7855,986.74,646.57,0.8286,924.02,670.09,0.8028,989.15,685.16,0.7899,915.58,700.84,0.7693,999.40,711.70,0.7641,926.43,703.26,0.7389,946.33,708.08,0.7028,961.41,744.26,0.6425,957.19,764.77,0.6969,956.59,788.89,0.7853,921.61,809.99,0.7543
12,top,0,1022.82,399.47,1135.73,586.50,1078.36,415.36,0.8120,1082.01,412.16,0.7776,1074.25,411.25,0.7572,1086.58,415.82,0.7059,1066.49,414.90,0.7362,1095.71,434.99,0.6935,1050.05,434.99,0.7176,1108.95,455.54,0.6740,1033.61,460.11,0.7342,1120.83,477.46,0.7009,1035.44,483.40,0.6922,1083.84,487.51,0.5775,1055.98,485.68,0.5743,1103.47,527.69,0.5935,1035.44,517.19,0.6737,1121.28,553.26,0.7040,1041.83,561.02,0.6979
12,bottom,1,898.85,591.27,1019.11,833.61,979.69,612.45,0.7528,978.50,608.90,0.6170,981.46,608.90,0.6396,967.26,614.22,0.7314,982.65,616.00,0.7261,945.96,637.89,0.7597,987.97,649.72,0.8073,922.89,672.20,0.7910,987.38,688.18,0.7919,908.10,702.97,0.8573,1000.99,720.72,0.7693,927.62,707.70,0.7129,946.56,712.44,0.6862,963.12,749.71,0.5484,964.90,766.28,0.6970,958.98,795.27,0.7110,926.44,807.10,0.7119
13,top,0,1009.27,402.28,1135.25,587.51,1071.35,417.57,0.7983,1075.88,414.40,0.7717,1067.74,413.50,0.7548,1080.85,418.02,0.7291,1060.50,416.21,0.7546,1088.99,437.01,0.6798,1044.22,437.01,0.7147,1103.91,458.27,0.6874,1027.94,461.43,0.7315,1118.38,478.16,0.6898,1032.01,484.04,0.6689,1077.68,488.56,0.5774,1050.55,486.76,0.5876,1100.75,527.00,0.5955,1030.20,517.96,0.6793,1120.19,552.78,0.7391,1025.68,567.25,0.7639
13,bottom,1,891.12,595.30,1017.05,835.55,982.24,615.71,0.8127,983.41,612.78,0.5817,982.82,612.19,0.6747,970.51,618.05,0.7066,985.17,618.64,0.7977,947.04,640.34,0.7374,989.28,652.66,0.8179,921.24,672.60,0.7518,984.58,691.96,0.8239,900.71,700.76,0.8492,999.83,723.64,0.7878,927.69,709.56,0.6721,946.46,713.66,0.6702,962.29,750.03,0.5257,973.44,765.87,0.7219,959.36,795.78,0.6736,934.14,806.34,0.6256
14,top,0,993.56,403.96,1134.90,591.14,1064.69,419.34,0.8236,1068.83,416.12,0.7802,1061.01,415.20,0.7587,1073.89,420.26,0.7537,1053.65,417.96,0.7656,1081.25,439.12,0.6918,1037.55,439.58,0.7166,1096.90,460.28,0.6828,1021.44,462.58,0.7544,1114.84,479.15,0.6825,1026.04,481.45,0.7227,1071.13,491.11,0.6072,1043.53,490.19,0.6288,1097.36,529.30,0.6364,1024.66,522.39,0.6947,1118.98,552.76,0.7317,1011.32,572.08,0.7874
14,bottom,4,883.80,598.38,1014.23,833.49,986.90,618.35,0.8217,988.62,616.06,0.6364,986.90,615.48,0.6487,973.70,620.65,0.7488,987.47,622.37,0.7874,950.74,642.46,0.7377,989.20,656.24,0.8250,920.32,671.74,0.7480,983.46,695.85,0.8071,895.63,698.72,0.8737,998.38,726.27,0.7954,928.35,710.77,0.6690,945.57,715.94,0.6711,962.22,752.10,0.5310,978.86,766.45,0.7784,961.07,796.30,0.6391,942.70,808.93,0.6566
15,top,0,987.33,407.95,1134.91,596.67,1057.76,422.56,0.8027,1061.60,419.20,0.7432,1053.92,418.72,0.7232,1065.93,423.52,0.7084,1046.23,421.60,0.8016,1073.13,442.74,0.6923,1030.86,441.78,0.7304,1089.47,462.92,0.6352,1014.52,463.40,0.7368,1110.61,478.77,0.6432,1022.69,479.73,0.6856,1061.60,494.14,0.6119,1034.22,493.18,0.6748,1089.47,529.69,0.5984,1018.37,529.21,0.6960,1115.41,552.27,0.7247,1002.99,576.29,0.7642
15,bottom,4,918.28,601.89,1012.58,843.30,987.82,621.22,0.7865,986.65,618.27,0.5530,990.18,618.86,0.6259,974.86,622.99,0.7407,991.36,625.93,0.7398,951.87,644.80,0.6838,991.36,657.76,0.7627,921.22,670.73,0.7344,983.11,696.66,0.7841,894.11,696.07,0.8599,997.25,729.08,0.7260,927.71,711.40,0.7063,945.39,715.52,0.6476,961.30,749.70,0.6016,980.16,765.03,0.7100,961.30,796.86,0.6804,957.18,813.95,0.7337
16,top,0,989.04,411.61,1133.49,593.03,1049.98,426.61,0.7845,1053.27,423.32,0.7133,1045.74,422.85,0.7186,1057.50,428.02,0.7156,1038.22,426.14,0.8209,1062.67,446.36,0.7263,1023.64,446.36,0.7809,1080.07,466.11,0.6134,1008.13,466.58,0.7602,1107.34,479.28,0.6494,1017.06,481.16,0.6942,1053.27,498.09,0.6578,1025.99,497.15,0.7348,1082.42,532.88,0.6098,1012.36,534.76,0.7453,1111.57,554.51,0.7391,999.19,585.55,0.7493
16,bottom,3,917.03,604.06,1010.17,849.49,991.16,624.32,0.7964,991.16,620.72,0.5266,992.96,621.32,0.6845,976.18,626.11,0.7240,992.36,627.91,0.7981,952.81,645.89,0.6995,993.56,660.87,0.7902,921.06,671.65,0.7509,985.17,698.62,0.7921,894.69,696.22,0.8659,995.95,733.37,0.7307,926.45,712.40,0.7041,945.02,717.79,0.6525,960.00,750.15,0.6108,977.98,767.52,0.7519,958.80,797.48,0.7310,967.19,825.64,0.7766
17,top,0,985.96,416.20,1129.02,600.45,1041.19,431.95,0.8047,1044.45,428.23,0.7456,1037.46,428.23,0.7500,1048.18,432.88,0.6943,1029.08,431.02,0.8336,1052.37,450.58,0.7417,1014.65,453.37,0.8537,1071.46,466.88,0.6030,1006.26,482.71,0.7393,1103.13,477.59,0.5878,1036.53,488.77,0.4706,1043.98,499.94,0.6945,1016.51,499.94,0.7431,1074.25,536.73,0.5744,1006.73,536.27,0.7468,1103.59,558.15,0.6646,996.95,589.35,0.7756
17,bottom,5,917.09,604.46,1006.77,848.88,991.77,625.82,0.8080,992.36,622.84,0.5455,993.56,623.44,0.6813,978.64,627.02,0.7266,993.56,630.00,0.7944,952.98,646.71,0.7147,994.75,663.42,0.8095,921.35,672.97,0.7363,988.19,702.20,0.7781,894.50,697.43,0.8566,995.94,739.20,0.7411,925.53,712.95,0.7013,945.82,719.51,0.6512,958.35,750.54,0.6085,977.45,767.25,0.7501,958.95,797.68,0.7308,966.11,825.73,0.7602
18,top,0,986.50,420.32,1117.44,604.01,1033.58,436.82,0.8379,1037.17,433.24,0.7787,1030.00,433.24,0.7692,1039.86,436.38,0.6864,1021.03,435.93,0.8237,1043.45,454.31,0.7312,1008.92,456.11,0.8745,1063.63,466.87,0.5960,999.05,483.02,0.7975,1095.47,474.05,0.6787,1021.92,488.85,0.6719,1036.27,502.75,0.7014,1007.12,503.20,0.7549,1064.98,542.21,0.6163,1002.64,537.28,0.7255,1089.19,559.70,0.6019,997.26,591.55,0.7880
18,bottom,4,876.77,608.36,1006.03,850.27,992.78,630.10,0.7977,992.78,627.14,0.5269,995.73,627.73,0.6234,980.38,630.69,0.8029,995.14,634.23,0.7827,954.39,649.59,0.7268,995.73,667.30,0.8461,920.14,676.16,0.7468,991.60,707.46,0.7641,894.74,702.15,0.8275,998.10,744.08,0.7650,924.86,712.19,0.6725,944.94,718.69,0.6458,954.98,748.81,0.5997,979.79,767.11,0.8156,956.76,796.64,0.7470,967.98,825.58,0.8106
19,top,0,985.84,410.38,1103.61,603.27,1027.30,437.13,0.8161,1030.60,432.89,0.7695,1023.53,432.89,0.7613,1033.90,436.65,0.6694,1013.65,435.24,0.8571,1034.84,454.08,0.7101,1000.93,459.26,0.8118,1056.03,464.44,0.5839,992.45,484.22,0.6221,1086.64,469.62,0.6082,994.34,489.40,0.4531,1027.30,506.35,0.6997,1001.40,505.88,0.7305,1055.56,543.55,0.5614,1001.40,534.14,0.7145,1073.92,559.10,0.5371,997.16,590.18,0.7687
19,bottom,1,914.83,612.25,1007.43,850.20,991.92,634.21,0.8100,992.50,631.31,0.5046,993.66,631.89,0.6203,978.55,635.37,0.7574,995.98,638.86,0.8301,954.74,653.38,0.7179,996.56,671.39,0.8364,921.04,680.11,0.7711,994.82,714.38,0.7373,896.06,707.41,0.8475,1002.37,749.24,0.7325,922.79,713.22,0.7352,944.28,720.19,0.6649,953.57,748.07,0.6220,981.46,767.82,0.7514,953.57,795.13,0.7389,970.42,825.92,0.7903
20,top,1,979.50,420.51,1091.92,607.61,1020.63,436.86,0.8175,1023.37,433.21,0.7872,1016.52,433.67,0.7917,1027.03,437.32,0.6513,1007.84,436.86,0.8620,1028.85,453.31,0.7094,995.05,460.16,0.8158,1049.41,463.81,0.5589,982.72,486.20,0.6801,1079.10,469.75,0.6318,985.00,510.41,0.5156,1021.09,507.21,0.6782,996.42,507.21,0.7128,1049.41,546.95,0.5639,1000.53,534.62,0.7100,1059.92,561.11,0.5533,996.42,589.89,0.7840
20,bottom,0,881.81,618.31,1014.01,850.13,994.88,639.71,0.7524,994.88,636.88,0.4761,996.02,636.88,0.6052,980.17,640.27,0.7884,994.32,643.67,0.7514,955.27,658.38,0.7138,995.45,677.62,0.8364,920.74,687.25,0.7230,997.71,720.07,0.7353,895.84,712.15,0.8344,1007.33,754.59,0.7512,924.14,718.94,0.6744,943.38,725.16,0.6235,955.83,749.50,0.6043,982.43,771.01,0.7819,946.78,796.47,0.7709,975.64,827.04,0.8106
21,top,0,975.53,416.98,1089.53,608.51,1014.29,433.72,0.8517,1018.04,430.44,0.8526,1010.55,430.44,0.8248,1021.78,434.65,0.7261,1002.14,434.18,0.8559,1024.11,451.02,0.6956,989.04,458.50,0.7989,1043.75,462.71,0.5804,978.76,485.15,0.6547,1073.21,468.79,0.6442,1008.68,488.43,0.3579,1016.63,508.07,0.6881,991.38,509.00,0.7224,1042.82,546.88,0.6243,998.86,534.72,0.7065,1037.21,557.17,0.5012,996.06,588.96,0.7888
21,bottom,1,879.20,624.89,1020.19,856.76,994.98,646.29,0.7781,994.98,642.89,0.5140,995.55,643.46,0.6487,979.69,646.85,0.7740,993.85,650.25,0.7543,954.22,664.97,0.7156,994.98,684.22,0.8218,920.26,692.14,0.7595,1000.64,726.11,0.7466,893.08,714.22,0.8409,1014.23,761.20,0.7731,923.65,725.54,0.6817,942.90,731.77,0.6284,959.32,754.41,0.5801,983.66,775.36,0.7945,947.43,797.43,0.7867,983.09,834.23,0.8313
22,top,0,970.50,414.53,1086.24,609.05,1009.85,428.68,0.8538,1012.70,425.36,0.8460,1005.58,425.83,0.8087,1015.55,430.11,0.7136,997.03,429.63,0.8544,1019.35,446.73,0.7020,984.21,455.75,0.8063,1038.82,460.50,0.6166,971.39,482.82,0.6580,1068.74,468.10,0.6700,991.81,484.72,0.3545,1011.75,504.19,0.7102,987.53,506.56,0.7238,1037.87,547.88,0.7202,997.03,536.48,0.7134,1018.40,552.15,0.6049,995.61,589.67,0.7843
22,bottom,1,876.46,632.29,1029.25,858.28,995.34,655.35,0.8216,995.34,651.49,0.5462,995.89,652.04,0.7076,978.23,654.80,0.8022,994.23,659.21,0.7895,953.96,671.90,0.7008,992.03,692.87,0.8047,919.20,696.73,0.7664,1001.41,732.04,0.7314,889.95,718.80,0.8806,1015.20,760.73,0.7754,923.61,733.70,0.6978,943.47,739.22,0.6190,960.58,756.87,0.5279,986.51,780.60,0.8021,947.34,797.70,0.8261,982.65,836.87,0.8321
23,top,0,967.54,407.49,1082.71,610.53,1003.81,422.76,0.8679,1006.78,418.79,0.8316,999.35,419.29,0.8262,1010.75,424.25,0.7802,991.42,423.75,0.8605,1015.71,442.09,0.7189,978.03,450.52,0.8147,1036.03,457.95,0.6661,962.17,482.24,0.6788,1066.76,465.89,0.6808,953.25,517.93,0.6049,1007.77,499.59,0.7203,984.48,502.07,0.7469,1029.09,544.70,0.7254,995.38,536.77,0.7371,1004.80,549.16,0.6315,995.88,590.30,0.8060
23,bottom,5,869.33,637.49,1024.67,857.11,993.11,659.90,0.7850,993.11,655.61,0.4803,994.72,656.68,0.6227,977.56,659.36,0.8181,994.18,664.73,0.7616,952.36,675.99,0.7150,991.50,696.90,0.7970,918.04,699.04,0.7375,1002.23,736.58,0.7124,885.34,719.42,0.8092,1015.09,765.53,0.7866,922.87,738.72,0.6580,942.17,745.16,0.5781,959.87,758.02,0.4994,992.04,776.79,0.7862,947.00,799.31,0.7959,982.92,834.16,0.8569
24,top,0,943.99,401.55,1075.40,609.73,999.02,414.66,0.8693,1002.07,411.11,0.8441,994.45,410.60,0.8488,1005.63,416.70,0.7602,986.32,415.17,0.8542,1012.75,436.52,0.7430,971.07,441.09,0.7975,1032.57,454.31,0.6900,956.84,472.10,0.7246,1063.06,462.44,0.6850,948.20,507.67,0.6536,1003.09,495.98,0.6912,980.73,498.02,0.7116,1019.86,539.19,0.7275,990.89,534.61,0.7167,993.43,551.38,0.5528,994.45,589.50,0.7539
24,bottom,4,864.83,640.77,1019.57,855.45,991.99,663.73,0.7971,990.94,658.49,0.4597,994.61,660.06,0.6553,975.74,661.63,0.8263,992.52,666.87,0.7931,949.01,677.88,0.7135,991.47,700.94,0.7926,913.90,699.89,0.7408,1002.47,737.63,0.6812,880.88,720.33,0.7928,1011.38,766.98,0.7454,920.71,741.82,0.6416,939.58,747.59,0.5724,953.73,759.12,0.5112,995.66,773.27,0.7984,945.34,799.48,0.7797,984.65,829.88,0.7974
25,top,0,943.41,391.16,1069.56,603.27,994.06,406.59,0.8264,997.16,403.49,0.7911,989.91,402.97,0.8025,1001.31,408.15,0.7251,981.63,408.15,0.8327,1009.07,428.34,0.7271,964.54,433.52,0.7730,1028.75,449.57,0.7228,953.15,463.04,0.7452,1056.20,457.86,0.6708,946.93,493.59,0.6018,998.72,489.97,0.6675,975.41,492.04,0.6800,1011.66,534.50,0.7199,984.73,533.47,0.7420,981.63,560.39,0.7070,989.91,585.25,0.7387
