frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,929.47,370.75,1008.88,591.77,968.64,397.09,0.7970,972.95,392.77,0.8030,965.94,392.77,0.8344,983.20,391.69,0.8544,963.24,392.77,0.6961,996.15,412.19,0.7980,957.84,408.42,0.7841,1000.47,441.33,0.7513,941.12,428.92,0.7875,1001.55,466.69,0.7243,934.64,447.27,0.7624,984.28,476.41,0.6265,964.86,475.87,0.6338,979.43,519.58,0.7193,966.48,516.34,0.7053,974.57,564.36,0.7794,986.44,544.94,0.7160
0,bottom,0,757.81,570.75,844.46,840.26,810.35,594.31,0.7693,811.01,588.38,0.6000,812.32,589.04,0.6137,793.24,593.65,0.7710,814.30,596.28,0.7772,778.11,621.94,0.8274,822.85,633.13,0.8099,764.29,661.42,0.8356,828.11,676.55,0.8035,765.60,694.32,0.8502,837.33,709.45,0.7950,786.66,709.45,0.7073,807.72,710.77,0.6911,795.87,757.49,0.7142,805.74,763.41,0.7698,799.82,802.89,0.7413,789.29,822.63,0.7838
1,top,1,930.51,370.61,1008.55,591.72,968.99,397.49,0.8054,973.31,393.17,0.8109,966.29,393.17,0.8436,983.56,392.09,0.8630,963.59,392.63,0.7030,996.52,412.61,0.7968,958.19,408.29,0.7884,1000.84,440.14,0.7377,941.46,428.80,0.7931,1001.38,464.97,0.7223,934.98,448.24,0.7664,984.10,476.85,0.6318,964.67,476.31,0.6390,979.25,519.49,0.7189,966.29,516.80,0.7045,973.85,564.30,0.7823,986.26,544.33,0.7163
1,bottom,0,757.30,570.62,845.79,840.21,810.10,593.53,0.7631,810.10,588.26,0.6016,812.07,588.26,0.6114,794.30,593.53,0.7644,814.71,596.16,0.7701,778.51,622.49,0.8231,823.26,633.02,0.8071,764.03,661.32,0.8328,829.19,675.80,0.7968,764.69,694.23,0.8475,837.74,708.71,0.7892,786.40,709.37,0.7016,807.47,710.68,0.6890,796.94,756.76,0.6977,806.15,763.34,0.7566,799.57,802.83,0.7394,789.70,821.91,0.7806
2,top,1,930.46,370.62,1008.81,592.00,969.10,397.00,0.7857,973.96,392.67,0.7948,966.40,392.67,0.8231,984.23,391.59,0.8443,964.23,392.67,0.6904,996.66,412.13,0.7964,958.29,408.35,0.7958,1000.99,439.69,0.7317,942.07,428.34,0.7973,1001.53,464.02,0.7204,935.59,447.26,0.7689,983.69,476.99,0.6400,964.77,476.45,0.6479,978.83,519.69,0.7177,966.40,516.98,0.7014,973.96,564.55,0.7826,986.39,544.01,0.7239
2,bottom,0,756.94,570.53,847.37,840.09,810.71,593.44,0.7688,810.71,588.17,0.5976,812.03,588.83,0.6209,794.26,593.44,0.7656,814.66,596.07,0.7824,779.12,622.39,0.8260,823.87,632.92,0.8124,763.98,661.22,0.8371,829.79,675.70,0.8003,763.98,694.13,0.8519,838.35,707.95,0.7902,786.36,708.60,0.7051,807.42,709.92,0.6925,797.55,755.99,0.6925,806.10,763.23,0.7532,800.18,802.05,0.7414,789.65,822.45,0.7802
3,top,1,930.51,370.94,1008.84,591.88,969.14,396.18,0.7795,973.45,392.40,0.7930,966.44,391.86,0.8215,983.70,391.33,0.8310,964.28,391.86,0.6755,997.18,412.36,0.7987,958.35,408.59,0.7967,1000.96,439.87,0.7378,942.17,428.54,0.8019,1001.50,463.61,0.7192,935.69,446.88,0.7690,983.70,476.55,0.6443,964.82,476.01,0.6508,978.84,519.70,0.7229,966.44,517.55,0.7069,973.99,564.47,0.7825,985.86,543.98,0.7210
3,bottom,0,756.58,570.56,847.62,840.02,810.65,593.45,0.7654,810.65,588.19,0.5975,812.63,588.19,0.6105,794.87,593.45,0.7655,815.26,596.08,0.7837,779.08,621.74,0.8249,825.13,632.26,0.8152,763.29,660.55,0.8408,831.05,675.02,0.8050,762.63,694.10,0.8494,838.94,705.94,0.7946,786.31,709.23,0.7052,807.37,710.55,0.6969,798.81,755.28,0.6870,806.05,763.18,0.7493,799.47,801.99,0.7344,789.60,822.39,0.7759
4,top,1,930.52,371.34,1008.79,591.92,969.12,396.54,0.7938,973.42,392.77,0.8080,966.42,392.77,0.8347,983.66,391.70,0.8315,964.27,392.23,0.6872,996.58,412.16,0.7995,958.34,408.93,0.7974,1000.89,440.16,0.7412,942.73,428.85,0.8057,1000.89,463.86,0.7178,936.26,446.63,0.7729,983.66,476.78,0.6441,964.81,476.25,0.6499,978.81,519.87,0.7221,966.42,517.71,0.7078,973.96,564.57,0.7817,985.81,543.56,0.7148
4,bottom,0,754.98,570.72,849.04,840.20,811.22,592.95,0.7515,810.56,587.69,0.5958,812.53,588.35,0.6013,795.43,593.61,0.7541,815.82,595.59,0.7767,779.64,621.90,0.8186,825.69,631.77,0.8134,762.53,660.06,0.8433,831.61,673.88,0.8107,762.53,694.27,0.8517,840.17,704.80,0.7839,786.22,708.09,0.6983,806.61,709.40,0.6966,800.03,754.14,0.6787,805.30,762.70,0.7406,799.38,800.85,0.7372,790.16,822.57,0.7775
