frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,897.26,372.54,981.62,591.55,929.28,393.28,0.8079,933.03,389.00,0.8349,925.00,389.00,0.8474,939.44,390.07,0.8912,919.66,391.14,0.8364,953.34,409.32,0.7853,908.96,412.00,0.8271,964.04,434.45,0.7854,903.08,436.06,0.7615,973.13,458.52,0.7812,906.29,451.03,0.7951,942.65,475.09,0.6168,921.26,475.09,0.6347,944.79,520.01,0.6967,919.12,516.27,0.7479,944.25,565.99,0.7890,933.03,543.00,0.7865
0,bottom,0,994.14,571.62,1102.93,838.81,1050.49,590.40,0.7081,1049.84,585.84,0.5369,1051.79,585.84,0.5392,1040.05,593.01,0.7181,1058.32,591.71,0.7214,1024.40,622.37,0.7388,1073.97,621.71,0.7669,1000.26,651.72,0.8209,1092.89,658.90,0.7426,1019.83,667.38,0.6848,1094.85,669.99,0.6770,1034.83,700.64,0.6990,1060.27,701.95,0.6644,1042.01,750.22,0.7587,1059.62,759.35,0.7821,1041.36,799.14,0.7460,1049.18,820.02,0.7850
1,top,1,897.28,372.52,981.56,591.57,929.26,393.27,0.8125,933.00,388.99,0.8389,924.98,388.99,0.8535,939.42,390.06,0.8934,919.63,391.13,0.8398,953.32,409.31,0.7860,908.94,411.99,0.8280,963.49,434.45,0.7892,903.05,436.05,0.7665,973.11,457.98,0.7801,906.26,451.03,0.8067,943.16,475.63,0.6206,921.24,475.09,0.6378,944.77,520.55,0.7042,919.10,516.27,0.7475,944.23,566.01,0.7977,933.00,543.01,0.7880
1,bottom,0,992.74,571.79,1102.96,839.04,1050.46,591.23,0.6932,1049.81,586.66,0.5297,1051.76,586.66,0.5341,1039.37,593.84,0.7000,1056.98,592.54,0.7107,1023.71,621.90,0.7301,1073.29,621.90,0.7588,998.91,651.91,0.8146,1094.17,659.74,0.7670,1019.79,662.35,0.6397,1094.17,663.00,0.6440,1034.15,700.20,0.6824,1059.59,700.85,0.6592,1041.98,749.78,0.7468,1059.59,758.92,0.7746,1041.32,798.07,0.7336,1049.15,819.60,0.7877
2,top,1,897.31,372.60,981.44,592.11,928.66,392.86,0.8052,932.41,389.11,0.8262,924.91,389.11,0.8466,939.38,390.18,0.8845,919.55,391.25,0.8343,953.31,409.47,0.7841,908.83,411.62,0.8284,963.49,434.66,0.7848,902.93,436.27,0.7610,973.14,458.24,0.7770,906.69,451.27,0.7930,942.59,474.85,0.6158,921.69,474.85,0.6344,944.73,519.87,0.6987,919.01,516.12,0.7435,944.20,565.95,0.7962,932.95,543.45,0.7894
2,bottom,0,992.52,572.11,1101.68,839.39,1048.41,592.21,0.6849,1047.10,588.29,0.5207,1050.36,588.29,0.5213,1038.62,594.82,0.7101,1056.24,594.17,0.7110,1022.96,622.88,0.7335,1073.20,621.57,0.7594,997.51,651.59,0.8168,1094.74,657.46,0.7848,1019.04,660.07,0.6194,1091.47,654.20,0.5740,1033.40,698.57,0.6757,1058.19,699.22,0.6612,1041.88,748.82,0.7532,1059.50,757.95,0.7703,1041.23,798.41,0.7396,1049.06,819.29,0.7905
3,top,1,897.29,372.88,981.48,592.51,929.20,392.61,0.7968,932.95,388.85,0.8165,924.91,388.85,0.8361,938.85,390.46,0.8750,919.55,391.00,0.8369,952.79,409.23,0.7846,908.82,411.38,0.8321,963.51,434.43,0.7863,902.92,436.58,0.7607,973.17,458.03,0.7813,907.21,451.59,0.7932,943.14,474.65,0.6176,921.69,474.65,0.6369,944.75,519.69,0.6979,919.01,515.94,0.7416,944.75,566.34,0.8012,932.95,543.29,0.7935
3,bottom,0,990.45,574.26,1101.84,839.70,1046.14,593.57,0.7228,1046.14,589.69,0.5371,1047.44,589.04,0.5318,1037.72,596.17,0.7104,1054.57,594.87,0.7020,1022.17,624.03,0.7299,1072.07,620.79,0.7522,996.25,651.25,0.8220,1094.75,656.43,0.7955,1018.28,657.73,0.6177,1089.56,649.31,0.5610,1031.89,697.91,0.6758,1057.16,697.91,0.6629,1042.26,748.46,0.7373,1060.40,758.18,0.7516,1040.96,798.36,0.7226,1049.38,819.09,0.7825
4,top,1,897.34,373.28,981.16,592.42,929.08,392.97,0.7812,932.29,389.22,0.8081,924.80,388.69,0.8225,938.71,390.83,0.8692,919.45,390.83,0.8276,953.16,409.55,0.7840,908.75,411.69,0.8358,963.33,434.70,0.7922,903.40,436.84,0.7652,972.96,457.70,0.7786,906.61,451.28,0.8135,942.99,474.82,0.6278,921.59,474.82,0.6479,944.60,519.76,0.7046,918.92,516.02,0.7435,944.60,566.31,0.8009,932.83,543.31,0.7956
4,bottom,0,989.78,575.31,1102.01,840.47,1045.24,593.95,0.7599,1045.24,590.72,0.5441,1045.24,590.07,0.5353,1037.47,597.19,0.7249,1054.31,595.89,0.7081,1021.94,624.38,0.7367,1071.14,620.49,0.7545,995.40,651.57,0.8266,1095.09,654.80,0.8217,1018.70,657.39,0.6224,1086.03,644.45,0.5545,1031.00,696.88,0.6743,1056.25,696.88,0.6648,1042.65,748.67,0.7336,1061.43,758.38,0.7524,1041.36,799.81,0.7434,1051.07,817.29,0.7828
5,top,1,897.33,373.28,981.15,592.40,929.08,392.97,0.7796,932.29,389.23,0.8051,924.80,388.69,0.8209,938.71,390.83,0.8657,919.45,390.83,0.8273,953.15,409.55,0.7836,908.75,411.69,0.8349,963.31,434.70,0.7906,903.40,436.84,0.7637,972.94,457.70,0.7777,906.61,451.28,0.8108,942.99,474.82,0.6236,922.12,474.82,0.6434,944.59,519.75,0.7034,918.91,516.01,0.7419,944.59,566.29,0.8005,932.82,543.29,0.7956
5,bottom,0,986.91,576.27,1102.37,840.77,1044.00,594.22,0.7486,1044.64,591.64,0.5244,1044.00,590.99,0.5372,1036.90,597.45,0.7212,1053.04,596.16,0.7025,1022.04,624.57,0.7248,1070.47,620.05,0.7462,994.28,651.05,0.8274,1095.66,652.98,0.8339,1016.88,654.92,0.6058,1084.68,639.42,0.5588,1030.44,696.25,0.6594,1055.62,695.60,0.6631,1043.35,748.55,0.7293,1062.73,757.60,0.7556,1041.42,800.86,0.7585,1052.39,816.36,0.7834
6,top,1,897.36,373.53,981.15,592.28,928.58,393.18,0.7732,932.31,388.91,0.8026,924.84,388.91,0.8164,938.72,390.51,0.8744,919.50,391.04,0.8181,953.14,409.74,0.7853,908.82,411.87,0.8370,963.29,434.84,0.7940,902.94,436.44,0.7690,972.90,457.80,0.7808,906.68,451.39,0.8161,943.00,474.89,0.6253,922.17,474.89,0.6461,944.60,519.75,0.7059,918.96,516.02,0.7421,944.60,566.22,0.7978,932.85,543.79,0.7957
6,bottom,0,985.61,576.72,1102.91,841.86,1043.61,594.72,0.7603,1043.61,592.13,0.5184,1043.61,591.48,0.5401,1036.49,598.60,0.7276,1052.67,596.66,0.6997,1020.96,625.14,0.7300,1069.50,620.61,0.7475,993.12,650.38,0.8268,1095.40,651.68,0.8432,1017.07,654.27,0.6180,1081.80,635.50,0.5642,1030.67,696.34,0.6581,1055.91,695.70,0.6705,1043.61,748.13,0.7368,1063.68,757.84,0.7657,1041.02,801.85,0.7684,1053.32,816.09,0.7880
7,top,1,897.40,374.33,981.10,592.11,927.55,393.37,0.7366,931.28,389.11,0.7727,923.83,389.11,0.7851,938.19,390.18,0.8597,919.05,391.24,0.7801,952.54,409.32,0.7786,908.95,411.44,0.8371,963.18,434.30,0.7938,903.63,436.43,0.7661,972.75,457.70,0.7735,906.82,451.32,0.8109,942.97,474.71,0.6315,922.24,474.18,0.6524,944.57,519.37,0.7021,919.58,516.18,0.7321,944.57,565.63,0.7895,932.87,543.30,0.7891
7,bottom,0,985.33,577.11,1103.37,842.48,1043.05,595.77,0.7589,1043.05,592.53,0.5108,1043.70,591.88,0.5348,1035.93,599.01,0.7395,1052.12,597.06,0.7083,1021.03,625.57,0.7306,1068.97,620.39,0.7410,992.52,650.19,0.8340,1095.53,650.84,0.8416,1016.49,653.43,0.6161,1084.52,634.64,0.5750,1030.74,696.19,0.6636,1055.36,695.54,0.6744,1043.70,748.02,0.7424,1063.79,757.09,0.7583,1041.76,801.79,0.7687,1054.72,814.75,0.7965
8,top,1,897.45,374.59,981.02,591.98,927.56,393.59,0.7030,931.27,389.35,0.7499,923.84,389.35,0.7516,938.70,390.41,0.8501,919.60,390.94,0.7608,953.03,409.52,0.7764,908.98,411.64,0.8363,963.12,434.46,0.7924,903.67,436.58,0.7663,972.67,457.28,0.7735,906.86,451.44,0.8078,942.95,474.26,0.6335,922.25,474.26,0.6545,944.54,519.38,0.7018,919.07,515.66,0.7333,944.54,565.55,0.7871,932.86,543.79,0.7897
8,bottom,0,984.74,578.39,1103.22,838.79,1042.07,596.06,0.7710,1042.07,593.52,0.4924,1042.71,592.25,0.5274,1035.08,599.24,0.7320,1051.61,597.33,0.6947,1019.82,626.58,0.7352,1068.14,620.85,0.7493,991.85,650.74,0.8445,1096.11,650.10,0.8537,1015.37,653.91,0.6189,1087.21,634.84,0.5992,1029.99,696.51,0.6601,1055.42,695.24,0.6754,1043.98,748.01,0.7432,1064.33,757.54,0.7685,1042.07,800.78,0.7831,1055.42,813.49,0.8063
9,top,1,897.53,375.16,980.81,591.92,927.53,394.10,0.6869,931.23,389.87,0.7310,923.82,389.87,0.7337,938.64,390.93,0.8379,919.59,391.99,0.7557,952.93,409.45,0.7753,909.01,411.57,0.8327,962.98,434.32,0.7923,903.71,435.91,0.7684,972.51,457.61,0.7763,906.89,451.79,0.8080,942.87,474.54,0.6327,922.23,474.54,0.6505,944.46,519.52,0.7028,919.06,515.82,0.7307,944.46,565.56,0.7857,932.82,543.87,0.7896
9,bottom,0,983.73,578.01,1103.79,837.79,1041.86,596.91,0.7925,1041.86,593.74,0.5011,1042.49,593.11,0.5336,1034.88,599.45,0.7382,1051.37,598.18,0.6991,1019.66,627.36,0.7440,1067.23,621.01,0.7584,991.12,650.82,0.8485,1096.40,650.19,0.8566,1015.86,657.16,0.6254,1087.52,635.60,0.5948,1029.81,697.12,0.6688,1054.54,695.85,0.6852,1044.39,747.85,0.7556,1064.69,757.37,0.7659,1042.49,801.76,0.7905,1057.71,811.91,0.8059
10,top,0,897.50,375.87,980.58,591.89,927.44,394.22,0.6810,931.13,389.47,0.7270,923.75,389.47,0.7313,938.51,390.53,0.8302,919.53,391.58,0.7502,952.75,409.52,0.7710,908.45,411.10,0.8341,963.30,434.30,0.7913,903.18,435.88,0.7698,972.27,457.51,0.7760,906.87,451.71,0.8071,943.26,474.38,0.6316,922.16,474.38,0.6481,944.84,519.21,0.6962,919.00,515.52,0.7260,944.31,565.62,0.7770,932.71,543.47,0.7857
10,bottom,1,983.26,578.54,1103.89,848.32,1041.60,596.85,0.7849,1041.60,594.21,0.5233,1041.60,592.90,0.5326,1034.36,600.14,0.7411,1050.82,598.17,0.7059,1019.87,627.80,0.7286,1067.29,621.88,0.7405,990.89,651.52,0.8325,1096.27,650.20,0.8329,1015.91,656.13,0.5977,1085.07,634.39,0.5573,1030.40,696.96,0.6737,1054.77,695.64,0.6838,1044.89,746.36,0.7486,1064.65,756.90,0.7403,1042.26,800.37,0.7699,1059.38,811.56,0.7944
