frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,0,823.08,365.24,920.68,575.49,873.42,384.13,0.8278,877.02,380.53,0.8117,869.32,379.51,0.8063,882.15,383.10,0.8205,862.64,381.56,0.8434,891.90,402.09,0.7323,848.78,397.47,0.7756,914.49,420.57,0.8543,831.33,420.06,0.7943,896.01,439.56,0.7494,830.82,431.87,0.7384,879.58,459.58,0.6476,860.08,458.56,0.6538,875.48,504.76,0.7472,859.56,499.62,0.6485,877.53,551.98,0.7881,865.21,523.75,0.7229
0,bottom,1,924.34,579.33,1026.97,832.25,991.71,601.43,0.7059,988.01,598.35,0.4890,995.41,599.58,0.5317,978.13,602.67,0.7741,999.12,604.52,0.7333,959.60,626.75,0.7333,1007.76,630.46,0.7450,930.58,624.28,0.8255,1020.73,641.57,0.7529,954.66,618.72,0.6617,1011.47,627.37,0.5571,966.39,700.85,0.6269,992.33,702.08,0.6573,968.25,734.19,0.6602,1000.35,755.19,0.7321,970.72,780.51,0.7265,988.62,808.29,0.7780
1,top,0,823.04,365.14,920.77,575.54,872.93,383.53,0.8205,877.04,379.93,0.8075,868.83,379.42,0.7992,881.67,382.50,0.8159,862.66,381.48,0.8357,891.94,402.02,0.7299,848.79,396.89,0.7734,914.54,420.00,0.8502,831.33,420.00,0.7937,896.05,439.52,0.7462,830.81,431.81,0.7332,879.61,459.04,0.6441,860.09,458.52,0.6503,875.50,504.75,0.7476,859.58,499.62,0.6472,877.56,552.01,0.7862,865.23,523.25,0.7186
1,bottom,1,923.00,578.38,1026.27,832.67,990.78,600.60,0.7270,987.05,597.50,0.5021,993.88,599.36,0.5401,977.74,601.22,0.7791,998.23,604.33,0.7263,959.12,624.82,0.7274,1006.92,629.78,0.7208,928.69,621.71,0.8058,1019.96,637.23,0.7305,952.91,616.75,0.6486,1010.02,626.06,0.5243,965.94,698.69,0.6178,991.40,700.56,0.6519,967.81,733.46,0.6620,999.47,753.33,0.7322,970.29,780.02,0.7269,989.54,806.72,0.7838
2,top,0,822.96,365.14,920.21,575.57,872.61,383.54,0.8257,876.72,379.94,0.8127,869.02,379.43,0.8057,881.35,382.51,0.8201,862.34,380.97,0.8401,891.62,402.03,0.7365,848.47,397.41,0.7797,914.22,420.01,0.8555,831.51,420.01,0.7965,896.24,439.53,0.7501,831.00,432.85,0.7393,879.29,459.57,0.6513,859.77,459.06,0.6570,875.18,504.78,0.7533,859.25,500.67,0.6540,877.75,552.04,0.7903,864.91,523.27,0.7234
2,bottom,1,923.56,578.39,1023.32,832.73,989.59,598.14,0.7530,986.48,595.65,0.5137,992.69,596.90,0.5513,977.17,599.38,0.7825,997.66,601.86,0.7269,958.54,619.25,0.7202,1005.73,627.32,0.7238,928.73,621.73,0.7884,1018.77,634.15,0.7668,954.81,619.25,0.6070,1008.21,622.35,0.5659,964.75,695.63,0.6092,990.21,697.49,0.6443,966.61,733.50,0.6746,998.90,751.51,0.7243,970.96,778.83,0.7194,989.59,804.91,0.7805
3,top,1,823.40,365.25,919.48,575.43,872.98,383.62,0.8179,876.57,380.03,0.8092,868.87,379.00,0.8023,881.19,382.08,0.8170,862.20,381.06,0.8331,891.45,402.09,0.7362,848.35,396.96,0.7785,914.03,420.05,0.8549,831.42,420.57,0.7995,896.07,439.55,0.7490,830.90,434.42,0.7440,879.14,459.57,0.6530,860.15,459.57,0.6576,875.03,504.72,0.7589,859.12,501.13,0.6517,877.60,551.93,0.7881,864.77,523.19,0.7226
3,bottom,0,925.49,577.88,1023.73,831.96,988.88,598.23,0.7082,986.39,595.12,0.4921,992.60,596.37,0.5266,976.47,598.85,0.7833,995.70,601.95,0.7245,959.10,619.32,0.7112,1001.90,629.24,0.7388,930.57,624.28,0.7894,1018.03,632.96,0.7324,955.38,618.08,0.5494,1015.55,619.32,0.6798,964.06,695.00,0.6185,988.88,698.10,0.6519,965.92,732.83,0.6558,998.18,751.44,0.7245,970.27,778.74,0.7209,988.88,804.79,0.7862
4,top,1,824.32,365.29,918.81,575.46,872.59,383.66,0.8071,876.18,380.07,0.7981,869.00,379.04,0.7897,881.31,382.12,0.8068,862.33,381.10,0.8267,891.58,402.13,0.7357,847.96,398.03,0.7753,913.13,420.09,0.8450,831.54,421.12,0.7964,896.19,440.10,0.7430,831.03,436.51,0.7534,879.26,460.63,0.6601,859.76,460.11,0.6649,875.16,504.75,0.7574,859.25,501.68,0.6572,877.21,551.45,0.7921,865.41,523.74,0.7292
4,bottom,0,919.06,576.79,1024.07,831.79,989.62,597.84,0.6756,987.13,594.72,0.4557,992.73,595.97,0.5346,975.92,597.84,0.7517,995.85,600.95,0.7080,959.11,616.51,0.7325,1000.83,627.10,0.7376,931.10,623.36,0.6325,1018.26,630.83,0.8375,928.61,626.47,0.5352,1017.01,610.29,0.8045,963.47,694.33,0.6148,988.37,696.82,0.6431,965.34,734.18,0.6720,998.34,750.98,0.7277,970.32,779.00,0.7056,989.00,804.52,0.7777
