frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,931.65,374.57,1004.58,591.42,970.23,394.58,0.8410,974.47,390.34,0.8330,967.06,390.34,0.8841,982.94,391.40,0.8440,963.88,392.46,0.7506,995.12,412.05,0.8198,954.35,411.52,0.8059,996.70,438.52,0.7463,943.76,433.23,0.7770,997.23,459.70,0.7304,939.00,451.76,0.7870,982.94,476.11,0.6485,963.88,476.11,0.6484,979.76,522.17,0.7185,966.00,521.11,0.6765,973.94,568.23,0.8146,987.70,543.88,0.6882
0,bottom,0,739.80,588.47,858.92,856.31,803.94,606.65,0.7545,804.59,604.68,0.5157,806.55,604.03,0.5080,793.47,609.26,0.7708,813.09,609.26,0.7730,778.43,633.46,0.7421,821.59,630.19,0.7990,745.09,656.34,0.8404,848.40,665.50,0.7954,772.55,674.65,0.6439,854.29,658.30,0.7351,773.86,705.39,0.6972,794.13,705.39,0.6956,797.40,750.50,0.6310,801.32,765.54,0.6894,796.74,800.86,0.7207,783.67,821.13,0.7637
1,top,1,931.26,374.55,1004.47,591.36,969.98,394.55,0.8248,974.22,390.32,0.8181,966.81,390.32,0.8663,982.69,391.38,0.8312,963.63,391.91,0.7473,994.86,412.02,0.8252,954.63,411.49,0.8093,996.45,437.96,0.7560,943.52,433.73,0.7827,996.98,459.66,0.7433,938.75,451.72,0.7915,982.69,476.07,0.6524,964.16,476.07,0.6526,979.51,522.13,0.7238,966.28,521.07,0.6820,974.22,568.18,0.8145,987.98,544.36,0.6894
1,bottom,0,740.17,588.89,858.88,856.01,804.09,607.02,0.7582,804.74,605.06,0.5125,806.70,604.41,0.5088,793.65,609.63,0.7645,812.57,609.63,0.7701,778.00,633.75,0.7426,821.04,630.49,0.7997,745.40,656.58,0.8351,848.43,665.71,0.7861,772.13,675.49,0.6526,853.65,660.49,0.7384,774.09,705.49,0.6953,794.31,706.14,0.6931,797.57,750.49,0.6314,800.83,766.14,0.6913,796.91,800.70,0.7263,783.22,821.57,0.7618
2,top,1,931.49,374.54,1004.50,591.32,969.58,394.02,0.8552,973.82,389.78,0.8421,966.41,389.78,0.8970,982.81,390.84,0.8450,963.23,391.90,0.7533,994.46,412.01,0.8260,954.23,411.48,0.8129,996.57,437.95,0.7606,943.65,433.71,0.7836,997.10,459.64,0.7479,938.88,451.71,0.7893,982.81,476.05,0.6521,963.76,476.05,0.6519,979.64,522.10,0.7235,966.41,521.04,0.6839,974.34,568.14,0.8154,988.10,543.79,0.6937
2,bottom,0,740.27,589.40,859.05,855.04,804.20,607.43,0.7673,804.85,605.49,0.5168,806.15,604.84,0.5066,793.82,610.03,0.7694,812.63,610.03,0.7703,778.26,634.02,0.7448,821.71,631.43,0.7950,745.18,656.72,0.8394,848.30,666.45,0.7958,772.42,676.18,0.6483,854.14,660.61,0.7457,773.72,706.66,0.6962,793.82,706.66,0.6933,797.07,750.76,0.6293,801.61,766.32,0.6956,796.42,801.35,0.7135,783.45,821.45,0.7698
3,top,1,931.47,374.63,1004.42,591.22,969.53,394.09,0.8563,973.76,389.86,0.8440,966.36,389.86,0.8983,982.75,390.92,0.8414,963.19,391.44,0.7445,994.91,411.54,0.8305,954.20,411.54,0.8177,996.50,437.98,0.7660,943.62,433.22,0.7911,997.03,459.66,0.7512,938.33,451.73,0.7951,982.75,476.05,0.6582,963.72,476.58,0.6574,979.58,522.06,0.7262,966.36,521.53,0.6877,974.29,567.53,0.8135,988.04,544.27,0.6889
3,bottom,0,740.43,589.64,858.98,855.83,804.25,607.70,0.7698,804.90,605.10,0.5217,806.20,604.45,0.5143,793.85,610.30,0.7717,812.70,609.65,0.7715,778.91,634.35,0.7455,821.80,631.75,0.7942,745.11,657.09,0.8394,848.44,666.84,0.7917,772.41,675.94,0.6569,853.64,660.99,0.7297,774.36,706.48,0.6979,794.50,707.13,0.6952,797.75,750.03,0.6250,801.00,766.92,0.6915,796.45,800.72,0.7255,782.81,822.16,0.7671
4,top,1,931.40,374.50,1004.33,591.23,969.45,393.97,0.8517,973.69,389.74,0.8385,966.28,389.74,0.8931,982.68,391.33,0.8356,963.10,391.86,0.7432,994.85,411.96,0.8298,954.11,411.43,0.8179,996.44,438.42,0.7605,943.53,433.66,0.7906,996.97,459.58,0.7444,938.23,451.65,0.7947,982.68,476.52,0.6597,964.16,476.52,0.6582,979.51,522.02,0.7275,966.81,521.49,0.6894,974.21,567.53,0.8138,987.97,544.25,0.6887
4,bottom,0,740.70,589.91,858.81,856.91,804.97,608.03,0.7558,804.97,605.42,0.5218,806.93,604.77,0.5125,793.89,609.98,0.7632,812.80,609.98,0.7604,778.90,634.76,0.7412,821.92,632.15,0.7929,745.65,657.57,0.8314,848.65,667.35,0.7892,772.38,677.13,0.6526,853.86,661.48,0.7437,774.33,706.46,0.6951,793.89,707.11,0.6936,797.80,750.79,0.6190,801.06,767.09,0.6883,795.85,800.33,0.7172,782.16,821.84,0.7602
5,top,1,931.30,374.21,1004.28,591.23,969.38,393.71,0.8370,973.62,389.47,0.8265,966.20,389.47,0.8782,982.63,391.06,0.8271,963.02,392.12,0.7448,994.81,412.25,0.8285,954.02,411.72,0.8174,996.40,438.21,0.7598,943.42,433.97,0.7910,996.93,459.41,0.7479,938.12,451.46,0.7941,982.63,476.36,0.6569,964.08,476.36,0.6548,979.98,521.93,0.7283,966.73,521.93,0.6929,974.15,567.49,0.8104,987.92,544.18,0.6905
5,bottom,0,740.84,589.92,858.80,857.25,805.04,608.06,0.7513,805.04,606.10,0.5231,807.00,605.45,0.5151,793.95,610.67,0.7635,812.87,610.02,0.7637,778.94,634.82,0.7413,822.01,632.21,0.7947,745.65,657.66,0.8319,848.77,667.45,0.7849,772.41,677.24,0.6540,853.99,661.58,0.7421,773.71,706.61,0.6933,793.95,707.27,0.6923,797.86,750.99,0.6204,801.13,767.31,0.6928,795.90,800.60,0.7105,782.20,822.79,0.7671
6,top,1,931.19,374.67,1004.19,591.26,968.75,394.12,0.8424,972.98,389.89,0.8333,966.10,389.89,0.8783,982.50,391.48,0.8288,962.93,391.48,0.7284,994.66,412.10,0.8324,953.94,411.57,0.8184,996.24,438.01,0.7666,943.37,433.78,0.7935,996.77,458.64,0.7555,938.08,451.76,0.7921,983.02,476.62,0.6644,963.99,476.62,0.6617,979.85,521.56,0.7313,966.63,521.03,0.6936,974.56,567.04,0.8112,987.78,544.30,0.6863
6,bottom,0,740.73,590.04,858.97,857.60,805.08,608.20,0.7555,805.08,606.24,0.5287,807.04,605.59,0.5181,794.62,610.81,0.7645,812.91,610.16,0.7573,778.95,634.98,0.7417,822.06,632.37,0.7966,745.63,657.85,0.8298,848.84,667.64,0.7863,772.41,677.44,0.6538,854.07,661.77,0.7402,774.37,706.84,0.6980,793.97,707.49,0.6977,798.54,751.26,0.6168,801.16,767.59,0.6908,795.93,800.90,0.7083,782.21,823.11,0.7623
7,top,1,931.22,374.84,1004.13,591.23,968.73,394.28,0.8447,972.96,390.06,0.8363,965.56,390.06,0.8778,982.47,391.64,0.8283,962.92,392.17,0.7250,994.62,412.24,0.8323,953.94,411.72,0.8172,996.21,438.13,0.7669,943.38,433.90,0.7924,996.73,458.73,0.7581,938.09,451.87,0.7875,983.00,476.70,0.6644,963.98,476.70,0.6612,979.83,521.60,0.7312,967.15,521.07,0.6904,974.55,567.04,0.8115,987.75,544.32,0.6908
7,bottom,0,740.72,590.14,859.19,857.72,805.18,608.30,0.7572,805.18,606.34,0.5295,807.14,605.69,0.5167,794.73,610.92,0.7664,813.02,610.26,0.7599,779.05,635.09,0.7422,822.17,632.47,0.7987,745.73,657.95,0.8337,848.95,667.75,0.7897,772.52,676.90,0.6599,854.18,661.87,0.7346,774.48,706.95,0.6969,794.08,708.25,0.6959,798.65,750.71,0.6166,801.26,768.35,0.6835,796.03,801.02,0.7095,782.32,823.23,0.7578
8,top,1,931.07,374.78,1004.05,591.23,968.62,394.22,0.8373,972.84,390.00,0.8318,965.97,390.00,0.8734,982.36,391.05,0.8289,962.80,392.11,0.7309,995.04,412.19,0.8294,954.35,412.19,0.8137,996.10,438.09,0.7630,943.25,433.86,0.7925,996.63,458.70,0.7487,937.44,452.35,0.7807,983.41,476.66,0.6637,964.39,476.66,0.6611,980.24,521.58,0.7326,967.03,521.05,0.6959,974.43,567.03,0.8127,988.17,544.84,0.6957
8,bottom,0,740.67,590.29,859.15,857.70,805.13,608.43,0.7577,805.13,606.48,0.5349,807.09,605.82,0.5195,794.69,611.05,0.7631,812.97,610.39,0.7568,779.02,635.20,0.7405,822.76,633.24,0.7983,745.72,658.05,0.8287,848.88,667.85,0.7889,772.49,677.64,0.6572,853.45,661.97,0.7237,774.45,707.02,0.6956,794.69,708.32,0.6940,799.26,751.41,0.6153,801.22,768.39,0.6839,795.99,801.03,0.7058,781.63,823.23,0.7578
9,top,1,931.07,374.77,1004.06,591.20,968.62,394.21,0.8361,972.85,389.98,0.8313,965.98,389.98,0.8720,982.36,391.04,0.8280,962.81,392.10,0.7300,995.04,412.18,0.8284,953.83,412.18,0.8126,996.10,438.07,0.7631,943.26,433.84,0.7930,996.63,458.68,0.7492,937.45,451.81,0.7814,983.42,476.64,0.6624,963.87,476.64,0.6598,980.25,521.55,0.7302,967.04,521.03,0.6953,974.44,567.00,0.8107,988.17,544.28,0.6959
9,bottom,0,740.65,590.27,859.36,858.07,805.24,608.44,0.7465,805.24,606.48,0.5350,807.20,605.83,0.5211,794.78,611.06,0.7611,813.08,611.06,0.7565,779.08,635.25,0.7390,822.89,633.29,0.7996,745.74,658.13,0.8319,849.04,668.59,0.7893,772.55,677.75,0.6607,853.62,662.06,0.7230,774.51,707.82,0.6931,794.78,709.13,0.6906,798.70,750.97,0.6140,801.31,769.28,0.6814,796.08,800.66,0.6984,781.70,822.89,0.7581
10,top,1,931.06,374.83,1004.07,591.19,968.62,394.27,0.8392,972.85,390.04,0.8325,965.45,390.04,0.8744,982.36,391.10,0.8314,962.81,392.16,0.7291,995.04,412.23,0.8315,953.83,412.23,0.8155,996.09,438.64,0.7596,943.27,433.89,0.7947,996.09,458.71,0.7455,937.46,451.85,0.7859,983.41,476.67,0.6682,964.40,476.67,0.6659,980.24,521.57,0.7340,967.04,521.04,0.6977,974.43,567.00,0.8144,988.17,544.29,0.7007
10,bottom,0,740.46,590.25,858.74,856.55,805.45,608.32,0.7468,806.10,606.37,0.5380,807.40,605.72,0.5139,795.05,610.92,0.7546,813.25,610.92,0.7512,779.44,635.63,0.7367,823.00,633.68,0.7935,745.64,657.73,0.8247,849.66,668.14,0.7879,772.29,677.24,0.6559,853.56,662.28,0.7083,774.24,707.80,0.6914,794.40,708.45,0.6890,798.95,751.36,0.6098,800.90,769.56,0.6883,796.35,800.77,0.7187,782.04,823.52,0.7572
