frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,892.96,356.77,982.02,577.30,940.72,374.97,0.8898,943.95,371.20,0.8552,936.41,371.20,0.8806,948.26,374.97,0.8713,928.88,374.43,0.8328,956.33,399.20,0.7926,917.57,393.81,0.7919,968.18,425.58,0.7743,901.96,417.50,0.8183,973.02,453.04,0.7737,920.80,440.12,0.6983,938.57,463.27,0.6905,918.65,461.65,0.6689,940.72,506.88,0.7433,922.95,509.03,0.7644,916.49,537.03,0.8048,925.11,558.57,0.7983
0,bottom,0,1059.88,590.02,1151.24,861.02,1106.88,609.08,0.6952,1106.88,605.77,0.5783,1106.22,606.43,0.5359,1102.25,611.73,0.6804,1115.49,612.39,0.7041,1094.31,639.51,0.7456,1129.38,637.53,0.7340,1070.50,665.98,0.6778,1145.92,658.04,0.7806,1065.86,653.41,0.7625,1129.38,638.85,0.5799,1105.56,718.25,0.6499,1126.07,716.92,0.6320,1094.98,776.47,0.7388,1114.82,764.56,0.7031,1121.44,830.72,0.7433,1114.82,811.53,0.6530
1,top,1,893.12,355.76,984.33,577.22,940.89,374.57,0.9073,944.67,370.79,0.8682,936.56,370.79,0.8842,948.46,374.57,0.8553,928.99,374.57,0.8431,956.03,398.90,0.7975,917.64,394.04,0.7957,969.00,424.31,0.7690,901.96,417.29,0.8270,976.03,452.97,0.7483,920.34,441.08,0.7410,939.26,463.78,0.6985,919.80,462.70,0.6885,940.89,507.58,0.7442,923.04,509.74,0.7678,916.56,536.78,0.8156,924.67,557.86,0.8039
1,bottom,0,1060.26,590.01,1151.11,861.13,1107.01,609.07,0.7066,1107.01,605.10,0.5850,1105.69,605.76,0.5420,1101.72,611.72,0.6850,1115.62,612.38,0.7090,1094.44,640.18,0.7516,1128.86,637.54,0.7301,1070.61,667.32,0.6916,1146.06,658.05,0.7852,1065.97,654.75,0.7671,1129.52,639.52,0.5866,1105.03,718.29,0.6533,1125.55,716.96,0.6353,1095.10,776.54,0.7376,1114.29,764.62,0.6913,1121.57,830.81,0.7343,1114.96,810.96,0.6502
2,top,1,895.80,354.92,986.68,577.42,941.24,373.83,0.9269,945.04,370.02,0.8899,936.90,370.02,0.8554,948.85,373.83,0.8392,928.75,373.83,0.8618,956.45,398.27,0.7950,917.88,393.92,0.8124,970.03,422.17,0.7808,903.22,420.00,0.8222,978.18,447.16,0.7116,917.88,441.18,0.7726,939.07,464.00,0.7066,920.06,462.37,0.7066,941.24,507.45,0.7743,923.32,509.63,0.7767,916.25,536.24,0.8389,924.95,557.97,0.8121
2,bottom,0,1060.07,590.88,1151.03,860.95,1106.87,609.87,0.7073,1106.87,605.91,0.5867,1105.55,606.57,0.5440,1102.25,612.51,0.6832,1115.44,613.17,0.7068,1093.68,640.86,0.7558,1128.63,638.22,0.7225,1071.26,667.89,0.6891,1145.77,658.66,0.7797,1065.99,656.68,0.7546,1129.29,640.86,0.5726,1105.55,717.34,0.6407,1125.33,716.03,0.6273,1093.68,776.69,0.7350,1114.12,764.16,0.6900,1120.72,830.75,0.7317,1114.12,810.97,0.6503
3,top,1,900.35,354.63,983.46,577.04,941.91,374.07,0.9277,945.16,370.27,0.8807,937.02,369.72,0.8496,949.51,373.52,0.8162,929.42,372.98,0.8552,956.57,397.42,0.7740,917.47,393.61,0.8100,969.60,417.51,0.7561,907.15,421.85,0.7967,978.29,434.34,0.7381,918.01,440.31,0.7564,940.28,462.58,0.7024,920.19,461.49,0.6888,941.36,508.19,0.7710,923.44,509.27,0.7645,915.84,536.42,0.8263,925.07,558.14,0.8148
3,bottom,0,1060.01,590.84,1150.92,861.01,1106.78,611.15,0.6897,1107.44,606.53,0.5850,1106.12,607.19,0.5467,1102.16,613.13,0.6757,1115.36,613.79,0.7023,1093.59,641.49,0.7487,1129.21,638.86,0.7352,1071.82,669.20,0.6789,1145.04,660.62,0.7886,1065.22,659.30,0.7477,1128.55,644.13,0.5607,1104.80,719.33,0.6494,1125.25,717.35,0.6320,1093.59,777.38,0.7382,1114.04,764.84,0.6829,1120.63,832.12,0.7341,1114.70,811.02,0.6545
4,top,1,901.08,354.34,992.57,576.95,941.94,373.80,0.8899,945.20,369.99,0.8981,937.59,369.99,0.8135,949.00,373.25,0.7949,929.44,372.71,0.9139,957.15,396.62,0.7895,918.02,393.36,0.8238,970.74,416.73,0.7199,907.70,423.25,0.8132,982.15,427.06,0.7232,921.83,443.36,0.7448,940.31,461.84,0.6997,921.28,460.75,0.6861,941.39,508.04,0.7805,922.91,509.67,0.7706,916.39,535.75,0.8194,925.63,558.58,0.8217
4,bottom,0,1060.51,593.05,1150.54,861.46,1108.14,611.92,0.7071,1109.46,607.99,0.5827,1107.49,608.64,0.5554,1102.25,615.20,0.6855,1115.35,615.20,0.7119,1093.73,644.03,0.7623,1129.11,640.10,0.7310,1073.41,674.83,0.7107,1144.19,663.03,0.7948,1065.55,665.00,0.7562,1128.46,647.96,0.5605,1104.21,720.70,0.6592,1125.84,718.74,0.6423,1093.07,779.68,0.7339,1112.73,764.61,0.6582,1121.25,832.76,0.7287,1114.04,810.48,0.6465
