frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,1019.02,386.06,1089.29,572.91,1056.89,404.22,0.7801,1060.54,400.11,0.7564,1052.79,401.02,0.7857,1066.93,401.02,0.8250,1048.68,402.85,0.7820,1080.16,412.43,0.8068,1039.10,419.27,0.7041,1083.35,442.08,0.6763,1021.31,438.43,0.7571,1083.81,471.73,0.6584,1035.91,459.41,0.6344,1065.10,460.78,0.5692,1045.94,462.15,0.5364,1066.47,491.80,0.5057,1049.14,501.38,0.6423,1055.52,525.11,0.6507,1048.68,551.11,0.7496
0,bottom,0,881.71,581.84,975.99,857.21,926.83,605.91,0.6540,922.80,600.53,0.4607,931.54,600.53,0.4829,914.73,606.58,0.7905,937.59,606.58,0.7926,899.27,637.50,0.8367,952.38,638.85,0.8183,892.55,679.19,0.8114,961.12,681.88,0.8201,888.51,715.49,0.7631,969.19,720.87,0.7839,916.08,721.54,0.7067,943.64,720.87,0.7227,917.42,777.34,0.8479,944.31,773.98,0.7997,922.80,835.83,0.8552,942.97,830.45,0.8330
1,top,1,1019.73,384.30,1088.75,572.78,1057.00,400.31,0.7833,1060.22,396.17,0.7549,1052.86,397.09,0.7850,1067.13,397.55,0.8343,1048.72,400.31,0.7971,1080.01,410.44,0.8132,1039.06,417.34,0.7139,1083.69,440.81,0.6843,1022.03,437.59,0.7673,1084.15,470.72,0.6678,1036.76,460.13,0.6607,1065.28,461.97,0.5872,1046.88,462.89,0.5593,1065.74,492.80,0.5415,1049.64,502.47,0.6540,1054.70,526.39,0.7293,1048.72,551.70,0.7530
1,bottom,0,881.43,581.32,976.18,857.28,927.46,605.44,0.6508,923.42,600.05,0.4687,932.18,600.05,0.4792,916.01,606.11,0.7966,938.24,606.11,0.7901,900.51,637.10,0.8282,953.06,639.13,0.8215,892.43,678.88,0.8105,961.15,682.25,0.8189,889.06,715.26,0.7758,969.23,720.65,0.7806,916.68,721.32,0.7063,944.30,720.65,0.7188,917.35,776.57,0.8462,944.98,774.55,0.8137,922.74,835.18,0.8471,942.28,830.47,0.8309
2,top,1,1019.58,380.66,1089.24,572.91,1057.23,396.52,0.7416,1060.98,392.77,0.7285,1053.00,393.71,0.7460,1067.55,394.64,0.8159,1049.25,396.99,0.8029,1080.23,408.26,0.8142,1039.39,414.36,0.7150,1083.51,439.70,0.6989,1022.03,437.36,0.7657,1083.51,469.27,0.6998,1037.98,458.95,0.6540,1065.68,460.82,0.5829,1047.37,461.29,0.5548,1064.27,495.09,0.6112,1050.19,501.19,0.6720,1052.53,528.41,0.7478,1048.31,550.47,0.7578
2,bottom,0,881.59,580.85,976.72,856.76,928.48,604.29,0.6488,925.11,598.91,0.4718,933.20,598.91,0.4960,917.03,604.97,0.8005,939.26,604.97,0.7934,901.54,636.63,0.8265,954.08,638.65,0.8204,893.45,678.39,0.8063,962.16,681.76,0.8112,888.74,714.77,0.7793,970.24,720.16,0.7810,917.70,720.83,0.7107,944.65,720.16,0.7214,917.70,776.74,0.8519,945.32,774.72,0.8212,922.42,834.00,0.8462,941.95,831.30,0.8351
3,top,1,1020.38,377.27,1089.03,572.78,1057.09,392.93,0.8009,1060.91,389.58,0.7802,1053.27,390.06,0.8276,1068.07,391.02,0.8536,1048.98,393.40,0.8189,1080.48,406.77,0.8227,1039.43,412.02,0.7324,1083.34,437.32,0.7157,1023.20,435.89,0.7642,1083.82,466.91,0.7010,1037.52,459.27,0.6661,1066.16,460.71,0.5982,1048.02,461.18,0.5710,1064.25,497.94,0.6567,1049.93,503.19,0.7070,1051.84,528.49,0.7706,1048.50,550.92,0.7719
3,bottom,0,881.98,580.92,978.14,857.27,930.06,603.72,0.6462,926.01,599.00,0.4757,934.78,599.00,0.5052,917.92,604.40,0.8135,940.18,604.40,0.8086,902.40,636.11,0.8235,955.02,638.81,0.8236,894.30,677.94,0.8135,963.80,681.99,0.8092,889.58,714.37,0.7831,970.54,719.09,0.7799,917.92,719.77,0.7172,945.58,719.77,0.7231,917.24,775.77,0.8403,945.58,774.42,0.8207,921.97,833.11,0.8441,942.21,831.76,0.8322
4,top,1,1021.24,374.82,1088.61,572.83,1058.31,389.71,0.7886,1061.69,385.84,0.7787,1054.44,386.81,0.8137,1068.46,388.26,0.8624,1049.61,390.19,0.8348,1080.55,405.18,0.8264,1039.45,410.01,0.7531,1082.96,436.12,0.7405,1025.92,434.67,0.7315,1082.96,466.09,0.7271,1038.97,459.81,0.6801,1067.98,460.77,0.5958,1049.12,461.26,0.5758,1065.08,498.48,0.6467,1050.57,502.35,0.7266,1051.54,529.42,0.7781,1048.64,551.18,0.7787
4,bottom,0,881.78,580.74,978.39,851.93,930.08,603.12,0.6540,926.11,597.83,0.4787,934.06,597.83,0.4793,918.83,604.45,0.8022,941.34,604.45,0.7968,904.26,634.90,0.8132,956.57,638.21,0.8196,894.33,677.94,0.8002,965.17,681.25,0.7965,889.70,713.03,0.7747,971.13,718.33,0.7740,918.17,718.99,0.7098,945.31,718.99,0.7158,916.84,773.94,0.8438,945.31,773.94,0.8251,920.81,830.88,0.8415,942.00,830.88,0.8286
5,top,1,1021.99,371.24,1088.92,573.17,1057.92,386.91,0.8368,1061.86,382.97,0.8230,1053.98,383.46,0.8769,1068.77,384.94,0.8954,1050.03,386.91,0.8438,1080.60,403.18,0.8399,1039.68,407.62,0.7587,1082.57,434.24,0.7454,1026.37,432.76,0.7292,1083.06,463.82,0.7357,1038.69,457.90,0.6631,1067.78,461.36,0.6148,1049.54,461.85,0.5943,1064.33,499.32,0.6628,1050.53,503.75,0.7509,1051.02,529.88,0.7785,1048.55,550.59,0.7949
5,bottom,0,881.57,580.69,978.90,851.15,930.90,603.01,0.6517,926.28,597.73,0.4813,934.86,597.73,0.4699,920.33,604.33,0.8023,942.12,604.33,0.7908,905.81,634.70,0.8112,957.97,638.00,0.8236,895.24,676.96,0.7991,966.55,680.92,0.7854,889.30,712.62,0.7770,971.84,717.24,0.7648,917.69,719.22,0.7072,945.42,719.22,0.7164,915.71,772.04,0.8359,945.42,773.37,0.8217,919.67,828.83,0.8413,942.12,830.15,0.8282
6,top,1,1022.59,367.07,1088.31,572.63,1059.47,383.53,0.8475,1063.48,380.02,0.8387,1055.45,380.52,0.8899,1069.50,382.53,0.9190,1050.94,384.53,0.8799,1080.54,401.60,0.8521,1040.40,405.11,0.7782,1082.55,432.21,0.7440,1026.85,430.20,0.7668,1082.55,462.32,0.7436,1038.39,456.30,0.6911,1068.50,460.31,0.6298,1050.43,460.82,0.6083,1064.99,499.46,0.6613,1050.43,503.47,0.7835,1051.44,530.57,0.7821,1048.43,551.15,0.7993
6,bottom,0,881.33,580.46,979.52,851.14,931.75,602.79,0.6589,927.78,598.17,0.4819,935.71,598.17,0.4583,921.17,604.11,0.7948,943.64,604.11,0.7870,906.63,634.51,0.8100,958.84,637.82,0.8260,896.06,676.15,0.7950,968.09,680.77,0.7836,890.11,712.49,0.7766,973.38,717.12,0.7592,917.87,717.78,0.7051,945.62,718.44,0.7157,914.56,770.65,0.8269,945.62,773.29,0.8190,919.19,826.16,0.8502,942.32,829.47,0.8193
7,top,1,1022.39,366.54,1088.26,572.05,1060.84,381.99,0.8227,1064.36,378.48,0.8376,1056.83,378.98,0.8748,1070.38,380.99,0.8955,1051.31,382.49,0.8773,1080.91,399.55,0.8611,1040.77,403.07,0.7822,1081.92,430.16,0.7401,1026.73,429.16,0.7866,1082.42,461.27,0.7295,1039.77,455.75,0.7277,1069.37,458.26,0.6267,1051.31,458.76,0.6062,1065.36,498.90,0.6281,1050.31,502.91,0.7816,1051.81,530.01,0.7828,1048.30,550.58,0.7947
7,bottom,0,881.06,580.30,981.71,850.97,932.71,602.64,0.6555,928.74,597.35,0.4789,937.33,597.35,0.4727,922.14,603.30,0.7918,943.94,603.96,0.7922,906.94,633.70,0.8117,959.80,637.00,0.8286,897.03,674.67,0.8029,968.39,679.95,0.7853,890.42,711.01,0.7767,974.34,716.30,0.7662,918.17,717.62,0.7073,945.92,717.62,0.7199,913.55,768.50,0.8148,945.92,772.46,0.8227,919.49,823.34,0.8472,941.96,829.29,0.8217
8,top,1,1022.20,364.53,1088.03,571.78,1061.69,380.12,0.8114,1065.24,376.07,0.8371,1057.14,376.57,0.8613,1071.31,378.60,0.8793,1052.08,380.12,0.8744,1080.42,397.83,0.8663,1040.95,401.37,0.7834,1081.93,428.18,0.7460,1026.78,428.18,0.7956,1082.44,459.55,0.7151,1039.94,453.99,0.7375,1069.28,457.02,0.6240,1052.08,457.53,0.6031,1065.24,498.52,0.6463,1050.56,502.56,0.7816,1052.08,530.39,0.7808,1048.03,550.12,0.7913
8,bottom,0,881.16,580.11,982.86,850.01,932.67,602.39,0.6536,928.72,597.12,0.4724,937.28,597.12,0.4651,922.79,603.05,0.7828,944.53,603.05,0.7880,908.29,632.70,0.8054,960.35,636.65,0.8283,897.75,674.21,0.7999,968.91,678.82,0.7814,890.50,709.79,0.7792,975.50,715.72,0.7642,918.18,717.04,0.7044,945.85,717.70,0.7150,913.56,767.78,0.8135,945.85,772.39,0.8264,918.83,823.13,0.8453,941.90,829.72,0.8306
9,top,1,1022.22,363.01,1088.23,571.00,1061.83,378.14,0.8148,1065.38,374.58,0.8364,1057.26,375.09,0.8473,1070.97,377.12,0.8849,1052.18,378.14,0.8692,1080.62,396.42,0.8735,1041.01,399.97,0.7920,1081.63,427.40,0.7633,1027.30,427.90,0.7919,1082.65,458.88,0.7128,1040.50,451.26,0.7042,1069.44,457.86,0.6440,1052.18,457.86,0.6301,1064.37,497.98,0.6788,1050.66,501.53,0.7910,1051.67,530.48,0.7972,1048.12,548.25,0.8040
9,bottom,0,881.16,579.45,984.02,849.87,933.25,601.77,0.6542,929.29,596.49,0.4633,937.87,597.15,0.4686,923.35,602.43,0.7809,945.13,603.09,0.7902,908.16,632.14,0.8042,960.98,636.10,0.8283,897.60,673.73,0.7977,969.56,679.01,0.7836,890.34,710.04,0.7804,976.16,715.32,0.7636,918.06,715.98,0.7040,946.45,717.30,0.7122,912.78,766.82,0.8134,945.79,772.10,0.8217,918.06,822.28,0.8389,942.49,830.20,0.8318
10,top,1,1022.33,361.14,1088.09,569.61,1061.82,376.81,0.8106,1065.39,373.25,0.8264,1057.75,373.25,0.8418,1070.98,375.29,0.8705,1052.66,376.31,0.8708,1080.15,394.63,0.8657,1040.95,398.19,0.7875,1081.67,425.68,0.7671,1027.72,426.69,0.7949,1082.69,457.74,0.7227,1040.95,450.62,0.6865,1069.46,454.18,0.6359,1052.66,454.18,0.6239,1064.88,496.42,0.6615,1051.64,498.97,0.7879,1052.15,530.02,0.7757,1048.59,547.32,0.7981
10,bottom,0,880.96,578.93,984.14,850.46,933.88,601.34,0.6479,929.90,596.70,0.4670,938.52,596.70,0.4749,923.27,602.00,0.7804,945.15,602.66,0.7952,908.69,631.83,0.8007,960.40,635.15,0.8281,897.42,672.93,0.8007,969.68,678.24,0.7908,890.13,709.39,0.7840,976.30,714.03,0.7747,917.97,716.02,0.7070,945.81,716.68,0.7156,912.67,767.06,0.8183,945.81,771.70,0.8220,917.31,822.08,0.8333,942.50,830.04,0.8265
11,top,1,1022.34,360.48,1088.30,570.11,1061.97,375.74,0.8027,1065.56,371.64,0.8235,1057.88,372.15,0.8369,1071.19,374.20,0.8739,1052.76,375.22,0.8654,1080.40,393.14,0.8621,1041.50,396.72,0.7879,1081.42,423.84,0.7635,1028.71,425.38,0.7719,1082.96,455.57,0.7207,1042.01,447.90,0.6487,1069.65,451.99,0.6297,1052.25,451.99,0.6171,1065.04,495.49,0.6605,1052.25,498.05,0.7829,1051.23,529.78,0.7916,1050.20,545.64,0.7660
11,bottom,0,880.90,578.89,984.51,850.42,933.36,601.30,0.6536,929.39,595.99,0.4801,938.01,595.99,0.4777,923.42,601.96,0.7828,945.30,601.96,0.7953,908.17,631.13,0.8034,961.21,634.44,0.8306,897.57,672.89,0.8117,969.83,676.87,0.7965,889.61,708.69,0.7893,975.79,713.33,0.7779,918.12,715.32,0.7115,945.96,716.64,0.7185,913.48,767.02,0.8198,945.30,771.67,0.8254,916.13,822.05,0.8348,942.65,830.00,0.8338
12,top,1,1022.79,359.79,1088.76,568.70,1061.39,373.97,0.8031,1064.96,370.40,0.8284,1057.31,370.40,0.8554,1070.57,372.95,0.8782,1051.70,373.97,0.8684,1079.75,392.33,0.8659,1040.98,395.90,0.8097,1081.28,423.44,0.7856,1028.74,425.99,0.7986,1083.83,454.55,0.7431,1044.55,447.92,0.6753,1069.55,451.49,0.6396,1052.21,452.00,0.6287,1064.45,495.36,0.6766,1052.72,496.89,0.8004,1049.66,530.55,0.7800,1051.70,545.34,0.7782
12,bottom,0,880.51,578.75,983.72,850.43,932.78,601.17,0.6476,928.80,595.87,0.4754,938.08,595.87,0.4774,922.83,601.84,0.7803,944.05,601.84,0.7887,908.24,631.02,0.8025,959.97,634.34,0.8280,896.96,672.14,0.8038,969.26,676.79,0.8025,889.66,708.62,0.7841,975.23,711.94,0.7790,917.52,715.26,0.7115,945.38,715.92,0.7176,913.54,767.66,0.8243,944.72,771.64,0.8258,916.19,822.05,0.8320,942.73,829.34,0.8370
13,top,1,1025.21,357.52,1090.83,568.95,1061.11,372.90,0.8020,1064.73,369.29,0.8073,1056.99,369.80,0.8349,1070.92,371.87,0.8603,1051.82,372.90,0.8245,1079.70,392.00,0.8539,1040.98,395.10,0.8134,1080.73,422.97,0.7842,1030.14,425.04,0.7951,1083.83,452.91,0.7492,1047.69,447.23,0.6571,1069.89,452.39,0.6369,1052.34,452.91,0.6276,1064.73,495.24,0.6665,1052.86,496.79,0.7978,1050.27,530.34,0.7724,1053.37,546.34,0.7850
13,bottom,0,879.39,578.62,981.81,848.52,931.92,600.89,0.6564,927.96,595.62,0.4610,936.53,596.28,0.4583,922.03,601.55,0.7817,943.78,601.55,0.7865,906.88,630.54,0.7983,959.59,633.84,0.8237,896.33,672.71,0.7987,968.16,676.67,0.7917,888.43,708.95,0.7875,974.75,710.93,0.7646,916.76,714.89,0.7032,944.44,716.20,0.7127,914.12,768.26,0.8278,944.44,771.55,0.8150,916.10,820.97,0.8217,942.46,828.88,0.8331
14,top,1,1025.66,356.58,1091.20,568.98,1061.03,373.07,0.8163,1064.66,368.93,0.8324,1056.36,369.44,0.8614,1070.36,371.00,0.8547,1051.17,372.04,0.8324,1079.18,391.74,0.8518,1040.28,394.33,0.8216,1080.73,422.34,0.7909,1031.47,424.93,0.8062,1084.36,451.89,0.7357,1050.66,445.15,0.6239,1069.84,452.41,0.6378,1051.69,452.93,0.6280,1065.17,495.97,0.6564,1053.25,497.01,0.8000,1050.14,530.20,0.7548,1053.25,545.75,0.7837
