frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,890.76,377.70,983.02,586.25,929.25,398.99,0.7384,933.33,394.91,0.7550,925.69,394.40,0.7523,939.44,395.93,0.8216,919.58,395.42,0.8302,951.66,414.26,0.7776,908.38,410.19,0.8187,963.37,443.28,0.7406,895.65,434.63,0.7883,974.06,470.27,0.7383,897.69,453.98,0.7685,943.51,470.27,0.5585,921.11,470.27,0.5743,944.02,517.62,0.6625,923.14,511.51,0.6070,944.02,563.95,0.7444,932.82,541.55,0.7846
0,bottom,0,1004.88,568.91,1094.82,838.96,1052.49,590.54,0.7569,1051.17,585.26,0.5600,1054.46,585.26,0.5413,1041.28,591.20,0.8074,1061.06,592.51,0.7843,1024.80,620.86,0.8048,1076.22,626.80,0.8097,1012.93,661.08,0.8081,1084.13,668.99,0.8147,1011.61,696.02,0.7899,1088.09,703.93,0.7731,1036.66,705.91,0.7105,1060.40,707.23,0.6795,1042.60,751.40,0.7539,1056.44,759.98,0.7924,1045.23,802.83,0.7096,1045.23,818.65,0.7608
1,top,1,890.85,377.41,982.19,585.83,928.89,395.62,0.7758,932.96,392.06,0.8016,924.82,391.55,0.7954,939.06,393.59,0.8207,919.22,393.59,0.8373,950.77,411.91,0.7684,908.02,409.36,0.8129,962.98,440.91,0.7370,895.81,434.30,0.7848,973.67,468.90,0.7347,898.36,453.63,0.7756,943.13,470.43,0.5593,920.24,469.92,0.5748,943.64,517.24,0.6684,922.27,511.64,0.6077,943.64,564.56,0.7518,932.96,541.66,0.7727
1,bottom,0,1003.43,568.16,1094.63,838.92,1051.68,590.51,0.7648,1051.02,585.22,0.5570,1053.66,585.22,0.5398,1040.44,591.17,0.7968,1060.93,591.83,0.7746,1024.58,620.25,0.8073,1075.48,626.20,0.7997,1012.02,661.24,0.8130,1084.73,667.85,0.8085,1010.69,695.61,0.7933,1088.03,700.24,0.7610,1035.81,706.19,0.7092,1060.27,707.51,0.6834,1043.08,752.46,0.7494,1056.31,760.39,0.7964,1046.39,804.68,0.6881,1045.07,817.90,0.7544
2,top,1,891.08,377.16,981.68,586.93,928.19,396.00,0.7484,932.28,392.42,0.7625,924.60,391.91,0.7706,938.94,392.93,0.8071,918.97,393.44,0.8268,951.23,410.86,0.7665,908.21,408.30,0.8110,963.01,439.54,0.7390,895.41,432.88,0.7914,973.25,466.68,0.7363,898.99,453.36,0.7594,942.53,470.78,0.5729,919.48,470.78,0.5864,943.04,517.89,0.6812,921.53,511.24,0.6124,943.55,564.50,0.7625,932.79,541.97,0.7754
2,bottom,0,1002.79,567.38,1094.81,838.80,1051.45,589.78,0.7511,1050.12,584.48,0.5459,1053.44,584.48,0.5361,1040.18,590.44,0.7917,1060.06,591.11,0.7806,1024.28,620.26,0.8060,1075.30,624.90,0.7965,1011.03,661.35,0.8099,1084.58,665.32,0.8070,1010.36,695.80,0.7905,1087.89,695.80,0.7681,1036.21,705.74,0.7078,1060.72,706.40,0.6795,1042.83,752.13,0.7545,1056.75,759.41,0.7933,1046.15,804.47,0.6866,1044.82,818.39,0.7586
3,top,1,890.78,376.23,982.01,584.26,928.77,395.94,0.7087,932.33,392.38,0.7215,924.20,391.87,0.7204,938.93,392.38,0.7981,919.12,392.89,0.8116,951.12,410.66,0.7658,907.95,408.13,0.8104,962.80,438.09,0.7352,895.76,432.00,0.7864,972.96,465.01,0.7370,898.81,451.80,0.7545,941.98,472.63,0.5852,919.12,472.63,0.5960,943.00,518.85,0.6868,920.65,511.23,0.6252,943.50,565.07,0.7688,932.33,541.70,0.7865
3,bottom,0,1002.85,567.46,1095.30,838.54,1051.06,589.17,0.7470,1049.07,583.88,0.5417,1053.05,583.88,0.5305,1039.81,589.83,0.7874,1059.66,590.49,0.7784,1023.93,620.28,0.8050,1074.89,624.25,0.7943,1010.03,660.65,0.8185,1085.47,665.28,0.8111,1010.69,695.06,0.7920,1088.12,692.41,0.7619,1036.50,704.99,0.7144,1060.99,706.31,0.6866,1042.46,751.98,0.7568,1056.35,759.92,0.7960,1045.77,803.60,0.6862,1045.10,818.82,0.7576
4,top,1,891.02,376.76,981.75,583.48,928.31,396.34,0.7297,931.84,392.31,0.7362,924.27,391.80,0.7488,938.41,392.31,0.8124,918.72,392.81,0.8227,951.53,410.47,0.7650,908.12,407.95,0.8145,963.14,438.23,0.7370,896.01,431.67,0.7923,973.23,465.49,0.7249,899.54,450.85,0.7563,941.43,472.05,0.5797,918.72,471.54,0.5926,942.95,518.48,0.6801,919.73,509.90,0.6412,943.96,564.91,0.7658,932.35,541.69,0.7868
4,bottom,0,1003.14,566.50,1095.04,838.56,1050.42,588.95,0.7475,1048.43,582.97,0.5494,1051.75,582.97,0.5275,1039.13,589.61,0.7889,1059.05,589.61,0.7789,1023.85,620.17,0.7995,1074.33,623.49,0.7925,1009.24,660.02,0.8215,1086.29,664.00,0.8009,1011.23,693.23,0.7916,1087.62,689.24,0.7655,1035.81,703.86,0.7142,1060.38,704.52,0.6933,1042.45,751.68,0.7583,1056.40,758.99,0.7965,1045.11,803.49,0.6973,1045.11,818.10,0.7510
5,top,1,891.22,376.84,982.20,584.87,927.57,396.04,0.7569,931.63,391.97,0.7709,924.01,391.97,0.7846,938.23,391.97,0.8274,918.93,392.48,0.8193,951.44,410.26,0.7695,908.27,408.23,0.8155,963.63,437.17,0.7447,896.08,431.59,0.8076,973.28,463.58,0.7514,899.12,449.87,0.7909,941.28,471.71,0.5805,918.42,471.20,0.5867,943.31,517.93,0.6808,919.44,509.80,0.6455,943.82,564.65,0.7697,932.64,541.80,0.7943
5,bottom,0,1003.35,566.94,1094.57,838.14,1049.62,588.66,0.7443,1047.64,583.36,0.5485,1050.95,583.36,0.5245,1039.03,589.32,0.7928,1058.89,589.32,0.7797,1023.80,619.78,0.7921,1074.12,622.42,0.7771,1008.57,660.16,0.8130,1086.70,663.48,0.7769,1012.55,692.61,0.7772,1086.70,684.00,0.7012,1035.72,703.86,0.7142,1060.22,703.86,0.6887,1041.68,752.20,0.7604,1056.91,758.82,0.7936,1044.33,803.84,0.7038,1045.65,817.08,0.7416
6,top,1,891.44,375.47,981.10,588.15,927.96,396.14,0.7075,931.60,391.98,0.7365,923.81,391.98,0.7428,938.35,391.46,0.7888,918.10,392.50,0.7939,951.33,409.64,0.7603,907.71,408.08,0.8109,962.75,435.60,0.7567,896.81,431.44,0.7901,972.62,461.56,0.7645,899.92,449.10,0.7883,940.42,471.95,0.5885,919.14,471.43,0.6028,943.02,518.16,0.6729,918.62,510.37,0.6823,944.06,563.85,0.7651,932.64,541.52,0.7852
6,bottom,0,1001.33,567.17,1094.59,837.87,1048.62,588.19,0.7346,1046.64,582.90,0.5424,1050.61,583.56,0.5282,1038.05,589.51,0.7901,1057.21,589.51,0.7702,1022.85,619.91,0.7870,1073.08,621.89,0.7719,1006.99,659.56,0.8163,1086.95,662.21,0.7492,1014.26,689.96,0.7707,1086.29,680.05,0.6470,1035.41,702.52,0.7153,1059.86,702.52,0.6865,1041.35,751.43,0.7670,1057.21,757.37,0.8060,1044.00,804.30,0.7212,1045.98,816.85,0.7430
7,top,1,891.82,374.97,980.82,588.54,927.45,396.25,0.7164,931.63,392.07,0.7405,923.80,392.07,0.7478,938.40,391.55,0.7892,918.07,392.60,0.7843,951.44,409.28,0.7639,907.64,408.24,0.8106,962.91,435.87,0.7554,897.21,431.18,0.7850,972.82,460.90,0.7644,900.34,449.43,0.7913,940.49,471.85,0.5926,919.11,471.85,0.6071,943.10,517.73,0.6814,918.07,510.95,0.6871,943.62,564.14,0.7633,932.67,541.72,0.7847
7,bottom,0,999.78,567.57,1094.63,838.14,1048.53,588.57,0.7216,1046.55,583.29,0.5253,1050.51,583.29,0.5296,1037.30,589.90,0.7666,1057.12,589.90,0.7635,1022.11,620.94,0.7817,1072.97,621.60,0.7671,1005.59,659.92,0.8246,1087.50,661.90,0.7581,1015.50,688.32,0.7944,1085.52,675.77,0.6622,1034.66,702.19,0.7091,1059.76,702.85,0.6792,1041.26,751.74,0.7730,1057.78,757.02,0.8027,1043.24,803.92,0.7397,1047.21,815.81,0.7501
8,top,1,892.06,374.31,980.56,588.20,926.91,395.62,0.7109,931.09,390.92,0.7278,922.73,390.92,0.7424,938.40,389.88,0.7791,918.03,391.44,0.7647,951.45,409.20,0.7610,907.59,408.15,0.8057,962.94,434.78,0.7536,897.67,431.13,0.7816,972.34,460.37,0.7546,900.28,448.88,0.7862,940.49,472.38,0.5854,918.56,472.38,0.6001,943.10,517.81,0.6892,918.03,512.06,0.6888,943.62,563.76,0.7614,932.65,541.83,0.7805
8,bottom,0,998.78,568.28,1094.65,838.00,1047.38,589.22,0.7314,1046.06,583.96,0.5473,1049.35,583.96,0.5426,1037.50,590.54,0.7590,1055.94,589.88,0.7511,1021.70,620.83,0.7849,1072.40,621.49,0.7759,1004.58,659.68,0.8341,1086.89,661.66,0.7649,1015.77,686.68,0.7940,1084.91,674.17,0.6598,1033.55,701.17,0.7093,1059.23,701.17,0.6800,1041.45,751.87,0.7749,1059.23,757.14,0.8068,1042.77,803.89,0.7290,1048.69,815.74,0.7607
9,top,1,892.24,374.22,980.61,588.04,926.51,395.52,0.7281,930.16,391.34,0.7420,922.33,391.34,0.7646,937.99,389.78,0.7984,917.63,391.87,0.7572,952.08,408.57,0.7658,907.71,408.05,0.8081,963.05,434.67,0.7557,897.79,431.02,0.7834,972.44,459.73,0.7533,900.40,448.77,0.7912,940.60,472.26,0.5881,918.68,472.26,0.6017,942.69,518.20,0.6851,918.15,511.93,0.6893,943.73,564.13,0.7677,932.25,542.21,0.7890
9,bottom,0,997.87,568.64,1094.39,837.32,1046.79,588.85,0.7273,1044.82,584.26,0.5510,1048.10,584.26,0.5367,1036.95,590.82,0.7626,1055.31,590.16,0.7381,1021.21,620.99,0.7866,1072.37,620.99,0.7844,1002.84,659.03,0.8416,1087.46,660.35,0.8002,1015.96,683.96,0.7830,1083.52,672.15,0.6484,1032.36,699.70,0.7099,1058.59,699.70,0.6798,1040.88,750.87,0.7739,1059.91,756.77,0.8021,1042.85,805.31,0.7351,1050.72,814.49,0.7673
10,top,1,892.25,373.89,980.41,588.50,926.37,395.79,0.7391,930.57,391.60,0.7547,922.71,391.60,0.7769,937.90,390.03,0.8085,917.99,391.60,0.7654,951.52,408.37,0.7697,908.04,408.37,0.8142,962.53,434.04,0.7641,898.08,430.90,0.7862,971.96,459.19,0.7649,900.70,448.71,0.8015,940.52,472.81,0.5926,919.04,472.81,0.6077,943.14,518.40,0.6930,917.99,512.11,0.6947,943.67,563.98,0.7718,932.66,541.98,0.7912
10,bottom,0,997.32,568.95,1095.46,837.96,1046.39,589.83,0.7371,1045.08,585.23,0.5511,1047.05,585.23,0.5329,1037.19,591.80,0.7643,1054.93,591.14,0.7355,1020.78,621.36,0.7805,1072.66,621.36,0.7933,1001.73,658.79,0.8511,1089.08,660.11,0.8222,1016.18,681.78,0.7862,1081.86,669.96,0.6372,1031.94,700.17,0.7110,1059.53,699.51,0.6814,1041.14,750.74,0.7850,1061.50,755.99,0.7991,1043.11,806.56,0.7688,1051.64,812.48,0.7745
