frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,710.44,313.29,834.13,507.58,776.55,328.85,0.7976,781.30,326.48,0.7384,775.61,325.06,0.7582,789.84,332.17,0.8158,773.23,331.70,0.6454,801.69,354.46,0.8151,767.07,353.04,0.7957,814.03,381.50,0.8078,753.79,376.76,0.7412,801.69,386.72,0.6069,735.76,394.31,0.7594,791.73,411.39,0.7314,774.18,408.54,0.7289,783.19,455.02,0.7213,756.16,439.85,0.7071,816.87,484.91,0.7287,765.17,467.83,0.7247
0,bottom,0,805.57,635.41,981.73,878.52,887.72,657.85,0.9500,887.72,654.88,0.5386,884.75,654.88,0.6586,878.22,662.00,0.7668,897.81,661.41,0.7589,865.16,697.61,0.8782,916.80,689.90,0.8416,858.63,736.19,0.8378,935.79,725.51,0.8225,843.79,770.03,0.8811,943.51,751.63,0.7863,883.56,760.53,0.7222,914.43,759.94,0.7558,845.58,796.14,0.8821,944.70,802.67,0.8502,827.18,854.31,0.9129,966.06,853.12,0.9375
1,top,1,736.91,307.05,835.00,507.53,777.15,322.61,0.8042,781.55,319.67,0.7689,774.70,319.19,0.8208,790.85,325.06,0.7904,772.25,325.55,0.6683,801.62,347.57,0.7541,767.85,350.02,0.8175,817.77,372.54,0.7845,761.48,377.92,0.7748,804.07,383.80,0.6189,750.22,403.37,0.7073,795.75,406.31,0.6839,777.64,404.35,0.6568,789.87,449.38,0.7203,762.95,436.17,0.6619,820.71,485.12,0.6860,765.89,466.52,0.7873
1,bottom,0,802.11,641.71,982.06,880.31,883.88,664.36,0.8904,880.95,661.43,0.4752,880.95,660.85,0.6270,875.09,669.05,0.7270,894.42,667.88,0.7148,863.96,705.36,0.8656,915.51,695.41,0.8232,856.35,744.02,0.8073,938.36,728.21,0.8275,838.78,776.24,0.8687,948.90,752.81,0.7901,882.12,766.87,0.7208,913.76,766.28,0.7511,842.29,797.92,0.8827,945.97,804.94,0.8590,824.13,854.73,0.9184,967.06,854.15,0.9045
2,top,1,744.51,303.63,837.43,508.75,778.45,319.55,0.8270,782.96,316.05,0.7576,775.45,316.05,0.8416,791.97,320.55,0.8515,772.44,321.56,0.7005,802.99,341.59,0.7379,768.94,345.59,0.8216,822.52,364.12,0.7634,767.93,376.14,0.7466,808.00,384.15,0.6536,762.93,407.69,0.6195,799.98,400.68,0.6666,782.46,400.18,0.6083,796.48,444.25,0.6945,767.93,430.23,0.6234,823.02,483.81,0.7073,766.43,466.28,0.7737
2,bottom,0,801.84,645.42,981.67,881.41,878.88,668.58,0.9234,874.19,666.83,0.5338,877.12,666.24,0.6530,870.10,673.85,0.7350,890.00,671.51,0.7206,860.14,710.15,0.8570,911.66,697.27,0.8061,850.19,747.03,0.7709,936.83,725.95,0.8004,832.63,779.81,0.8824,953.22,751.71,0.7764,877.71,771.03,0.7154,910.49,769.86,0.7403,837.90,800.88,0.8893,945.61,804.98,0.8624,824.44,856.49,0.9196,967.86,854.74,0.9098
3,top,1,746.73,302.25,838.65,507.94,778.63,318.22,0.8239,783.65,314.70,0.7544,775.62,314.20,0.8442,792.19,319.22,0.8382,772.10,319.22,0.7127,803.74,338.81,0.7022,769.09,344.83,0.8004,825.33,359.90,0.7621,772.60,375.47,0.7093,813.78,384.51,0.7144,773.61,405.60,0.6346,804.74,398.07,0.6336,785.66,398.07,0.5879,802.23,439.24,0.6573,769.59,427.69,0.6523,826.34,482.93,0.7260,771.10,466.36,0.7482
3,bottom,0,799.55,646.12,981.88,884.41,872.91,669.12,0.9765,869.94,667.33,0.6497,872.91,667.33,0.6929,864.01,674.46,0.8129,883.00,673.27,0.7556,852.73,710.66,0.8730,903.77,697.01,0.8443,841.45,746.87,0.8088,931.67,723.72,0.8221,825.43,778.32,0.8720,954.22,749.24,0.8762,872.31,770.61,0.7354,903.77,768.83,0.7366,831.95,806.81,0.8988,941.76,804.44,0.8726,824.83,862.60,0.9380,966.68,853.70,0.9179
4,top,1,755.04,303.18,842.92,506.43,780.62,318.96,0.8595,785.08,315.48,0.7871,777.15,315.48,0.8406,793.02,319.95,0.8429,772.68,319.95,0.8082,805.43,337.81,0.7316,769.70,345.26,0.8485,827.26,359.65,0.8179,775.16,375.53,0.7421,820.32,386.94,0.7538,779.13,405.30,0.6950,808.90,397.86,0.6766,788.56,398.35,0.6607,808.41,438.05,0.6944,773.67,430.61,0.6699,831.23,482.71,0.7832,778.63,467.82,0.7793
4,bottom,0,797.68,643.51,981.50,887.23,864.46,667.84,0.9767,863.26,665.44,0.6563,865.66,666.04,0.6356,856.08,672.03,0.8546,875.83,671.43,0.7499,844.12,707.93,0.8817,894.98,694.76,0.8663,831.55,743.83,0.8220,922.50,719.30,0.7938,816.59,776.14,0.8211,950.03,743.83,0.8570,865.66,769.56,0.7574,895.58,768.36,0.7561,824.97,810.85,0.8954,932.08,805.46,0.8555,821.98,865.90,0.9530,963.79,853.93,0.9104
