frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,934.67,372.51,1007.89,589.95,969.69,391.51,0.8320,973.94,387.27,0.8587,967.03,387.80,0.8605,982.96,388.33,0.7983,963.85,389.92,0.7634,996.23,410.09,0.8017,955.35,409.56,0.7967,999.42,436.64,0.7439,944.21,431.33,0.7713,1000.48,458.40,0.7274,939.96,449.91,0.7782,984.02,473.80,0.6390,964.91,473.80,0.6448,980.84,518.39,0.7021,968.10,519.98,0.6868,975.00,565.11,0.7965,986.15,541.75,0.6960
0,bottom,0,734.98,576.18,858.74,846.04,801.47,594.50,0.7127,801.47,591.86,0.4988,803.45,591.20,0.5019,789.61,597.13,0.7526,809.38,596.47,0.7824,775.12,622.17,0.7207,819.26,618.88,0.7739,741.52,645.89,0.8163,844.30,653.14,0.7851,770.51,662.36,0.5935,852.20,644.57,0.7473,775.12,697.94,0.6819,796.20,697.28,0.6861,793.57,748.01,0.6985,804.11,755.91,0.7330,793.57,798.74,0.6802,788.96,813.89,0.7516
1,top,1,934.64,372.46,1007.65,590.02,969.55,391.47,0.8338,973.80,387.22,0.8615,966.37,387.75,0.8624,982.83,388.28,0.7986,963.71,389.88,0.7648,995.58,410.06,0.7988,955.21,409.53,0.7960,999.30,436.62,0.7398,944.06,431.31,0.7684,1000.36,458.40,0.7244,939.81,449.90,0.7780,983.89,473.27,0.6328,964.77,473.27,0.6377,981.24,518.42,0.6985,967.96,519.48,0.6799,974.86,564.63,0.7909,986.02,541.26,0.6916
1,bottom,0,735.48,577.07,859.14,830.87,801.65,594.92,0.6926,802.27,591.20,0.4854,803.51,591.20,0.4791,789.26,596.78,0.7300,809.09,595.54,0.7536,775.01,621.56,0.7116,819.00,619.08,0.7633,742.17,646.35,0.8200,844.40,653.78,0.7861,770.67,661.84,0.5854,853.08,645.11,0.7589,775.63,699.02,0.6736,796.07,697.78,0.6732,793.60,748.59,0.7172,804.13,755.40,0.7294,794.22,800.01,0.6816,789.88,813.65,0.7747
2,top,1,934.54,373.00,1007.26,590.14,969.31,391.45,0.7846,973.55,387.21,0.8189,966.13,387.21,0.8270,982.03,388.27,0.7660,963.48,390.39,0.7486,995.81,409.47,0.8103,955.00,409.47,0.7984,999.00,435.98,0.7407,944.39,430.68,0.7722,1000.06,458.24,0.7318,940.15,449.23,0.7817,984.15,472.55,0.6444,965.07,473.08,0.6487,981.50,517.62,0.7032,967.72,518.68,0.6875,975.14,564.27,0.7907,986.27,540.94,0.6933
2,bottom,0,736.55,577.15,859.45,830.75,801.71,594.99,0.6928,802.33,591.89,0.4775,804.19,591.27,0.4873,789.33,597.46,0.7253,809.14,596.22,0.7489,775.09,622.23,0.7126,818.43,619.75,0.7608,742.28,646.99,0.8108,845.05,654.42,0.7763,770.14,663.09,0.5953,853.10,646.37,0.7451,775.09,699.62,0.6753,796.14,698.38,0.6732,793.66,749.15,0.7109,804.19,755.96,0.7292,794.90,800.53,0.6850,789.95,812.92,0.7683
3,top,1,934.54,372.79,1007.23,590.28,969.29,391.27,0.8155,973.00,387.55,0.8456,966.10,387.55,0.8524,982.03,388.61,0.7788,963.45,390.21,0.7585,995.84,409.32,0.8091,954.95,409.32,0.8013,999.02,436.40,0.7436,944.33,431.09,0.7715,1000.08,458.17,0.7306,940.08,449.68,0.7807,984.15,473.04,0.6443,965.04,473.04,0.6483,981.50,518.17,0.7094,967.69,519.24,0.6916,975.13,563.84,0.7908,986.28,541.01,0.6926
3,bottom,0,736.16,577.91,860.12,833.39,801.88,595.87,0.6789,802.51,592.75,0.4772,804.38,592.13,0.4888,789.41,597.74,0.7340,809.37,597.12,0.7571,775.06,622.69,0.7167,818.10,620.82,0.7615,742.00,647.64,0.8186,844.30,654.50,0.7744,770.07,663.24,0.5851,853.03,647.02,0.7603,775.06,699.41,0.6794,796.27,698.17,0.6782,793.77,748.69,0.7068,804.38,756.17,0.7235,794.40,800.46,0.6816,790.03,814.18,0.7730
4,top,1,934.52,373.01,1007.22,590.29,969.28,391.47,0.7957,973.52,387.23,0.8282,966.09,387.76,0.8398,982.01,388.29,0.7712,963.44,390.41,0.7604,995.80,409.51,0.8076,954.95,409.51,0.8016,998.98,436.03,0.7397,944.35,430.73,0.7728,1000.04,457.78,0.7291,940.10,449.29,0.7837,984.13,472.63,0.6450,965.03,473.16,0.6482,980.95,517.72,0.7120,967.69,519.31,0.6972,975.11,563.87,0.7909,986.25,541.06,0.6971
4,bottom,0,735.99,578.01,859.82,842.46,800.49,595.96,0.7292,801.78,593.38,0.5076,802.43,592.09,0.4979,789.51,597.90,0.7497,808.88,597.90,0.7652,775.31,623.72,0.7280,818.57,621.14,0.7684,741.74,648.26,0.8221,844.39,655.36,0.7822,770.79,664.40,0.6003,852.79,648.26,0.7639,775.31,699.91,0.6861,795.97,698.62,0.6902,793.39,748.33,0.7085,804.36,757.37,0.7349,793.39,799.98,0.6796,790.16,814.83,0.7675
