frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,839.04,347.03,922.86,569.26,874.98,371.34,0.8142,878.78,368.08,0.8322,871.18,367.54,0.7931,884.21,369.71,0.8463,865.22,368.63,0.8387,895.60,388.16,0.7884,854.91,387.07,0.8737,916.76,408.77,0.8537,850.02,418.54,0.8266,910.25,439.16,0.7837,844.60,448.92,0.7729,884.75,453.26,0.7361,866.84,452.72,0.7408,879.87,497.21,0.8146,868.47,498.84,0.7869,883.66,544.96,0.8126,880.95,540.07,0.7939
0,bottom,0,925.32,571.02,1035.82,833.89,986.99,594.64,0.7271,985.71,590.79,0.5389,989.56,590.79,0.5327,976.08,596.56,0.7810,994.05,597.21,0.7623,959.39,626.08,0.7727,1010.09,625.44,0.7940,942.71,656.25,0.7495,1029.99,649.19,0.8387,932.44,674.22,0.7028,1014.59,640.85,0.6040,969.02,698.60,0.7088,994.69,699.25,0.7093,969.66,746.09,0.7200,995.97,757.65,0.8123,970.95,782.67,0.7310,986.35,812.20,0.8198
1,top,1,837.80,346.78,922.49,569.87,874.70,371.73,0.8189,879.06,368.46,0.8336,870.89,367.92,0.7835,884.50,370.10,0.8444,865.44,369.01,0.8423,895.40,388.61,0.7863,855.09,387.52,0.8743,916.64,408.77,0.8511,849.64,419.11,0.8337,910.65,439.27,0.7995,844.20,449.07,0.7936,884.50,453.97,0.7508,866.53,453.43,0.7541,880.14,498.09,0.8181,868.71,499.72,0.7941,882.87,546.02,0.8115,881.78,540.03,0.7913
1,bottom,0,925.83,572.96,1036.49,833.97,988.81,596.41,0.7155,987.53,591.95,0.5413,991.99,591.95,0.5217,977.34,598.32,0.7805,995.82,598.96,0.7602,960.13,627.00,0.7700,1010.47,627.64,0.7878,942.93,655.67,0.7387,1030.23,649.30,0.8480,932.73,673.52,0.7202,1014.30,635.92,0.6089,969.69,700.92,0.7076,995.18,701.56,0.7103,970.33,745.53,0.6999,996.45,758.91,0.8008,970.96,782.48,0.7337,986.26,813.07,0.8117
2,top,1,837.13,348.62,922.03,570.85,875.24,373.47,0.8195,879.04,369.68,0.8258,871.44,369.13,0.7664,884.46,371.30,0.8333,865.47,369.68,0.8288,895.31,389.75,0.7797,855.17,387.58,0.8633,917.01,408.74,0.8474,849.20,419.59,0.8230,911.05,439.66,0.8051,843.77,449.97,0.7963,884.46,454.31,0.7460,866.56,454.31,0.7516,879.58,498.26,0.8147,868.73,499.34,0.7874,882.29,546.54,0.7885,881.75,540.03,0.7771
2,bottom,0,926.13,575.62,1036.43,834.52,990.13,598.25,0.7171,988.23,593.83,0.5447,993.29,594.46,0.5183,978.12,599.52,0.7984,997.08,600.78,0.7599,961.05,628.59,0.7770,1010.99,629.22,0.7895,942.72,655.77,0.7448,1029.95,649.45,0.8564,933.24,673.47,0.7029,1012.88,634.28,0.6205,970.53,701.28,0.6926,995.82,702.54,0.7067,971.17,744.26,0.6943,997.71,759.43,0.7937,972.43,781.55,0.7527,986.34,813.16,0.8108
3,top,1,836.59,351.02,921.79,571.52,874.88,374.60,0.7863,878.65,371.37,0.7976,871.11,370.29,0.7443,884.03,372.98,0.8100,865.19,370.83,0.8027,894.80,390.75,0.7695,854.96,388.60,0.8536,916.87,410.13,0.8499,849.04,419.82,0.8073,910.95,440.81,0.8080,843.12,449.97,0.7851,884.03,454.27,0.7257,866.27,454.27,0.7349,879.73,498.96,0.8006,868.42,500.03,0.7823,880.80,547.41,0.7610,882.42,539.87,0.7701
3,bottom,0,926.12,576.30,1036.29,834.75,991.93,599.52,0.7156,990.04,595.10,0.5437,995.72,595.73,0.5229,978.68,600.78,0.7885,997.61,602.04,0.7573,961.64,629.18,0.7745,1011.49,631.07,0.7853,942.71,655.68,0.7430,1030.42,650.00,0.8577,933.88,670.82,0.6950,1014.65,635.48,0.6324,971.11,703.00,0.6886,996.98,704.26,0.7071,972.37,744.65,0.6917,998.87,759.79,0.7976,972.37,781.88,0.7657,986.25,813.42,0.8046
4,top,1,835.86,355.91,921.69,571.73,875.09,376.36,0.7887,879.30,373.20,0.8054,871.40,372.14,0.7401,884.04,374.25,0.7941,865.60,372.14,0.7816,894.58,391.64,0.7513,854.54,389.00,0.8382,916.71,411.13,0.8493,848.22,420.09,0.8000,910.92,441.69,0.7949,842.42,450.12,0.7690,884.04,454.87,0.7207,866.13,454.34,0.7283,879.30,499.13,0.8030,868.24,500.18,0.7876,881.41,547.60,0.7684,882.46,539.70,0.7737
4,bottom,0,925.97,577.58,1036.47,835.02,992.53,600.71,0.7278,990.65,596.31,0.5545,996.31,596.94,0.5305,978.71,601.34,0.7947,998.19,603.23,0.7617,961.74,630.25,0.7788,1012.02,632.14,0.7838,942.25,656.02,0.7444,1030.24,650.99,0.8522,934.71,669.22,0.6832,1014.53,637.17,0.6430,971.79,703.79,0.6850,997.56,705.04,0.7045,973.05,745.90,0.6951,1000.08,759.72,0.7924,972.42,782.35,0.7547,986.25,813.77,0.8048
