frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,0,1022.27,359.22,1109.23,566.51,1060.19,375.82,0.7734,1063.22,371.77,0.7965,1055.63,372.28,0.7811,1070.31,372.78,0.8314,1051.08,375.31,0.8275,1079.93,386.45,0.7426,1044.50,395.05,0.7471,1101.69,401.12,0.7330,1028.81,422.38,0.8175,1088.02,401.12,0.4560,1047.54,406.18,0.6643,1075.88,450.21,0.6298,1057.66,451.23,0.6161,1080.43,490.70,0.6959,1059.68,496.27,0.7434,1061.20,519.04,0.7815,1053.61,544.85,0.8012
0,bottom,1,888.70,564.43,989.52,837.31,929.78,584.95,0.7144,927.78,580.95,0.4561,931.12,580.95,0.5111,921.12,586.95,0.6765,941.11,585.61,0.7429,908.46,616.26,0.7530,957.76,612.26,0.7198,893.81,623.59,0.7103,983.08,624.26,0.7473,914.46,613.60,0.5409,982.41,634.25,0.6068,921.79,690.88,0.6604,947.77,690.88,0.6571,909.80,748.84,0.7665,947.11,746.84,0.7512,910.46,804.14,0.8291,941.78,801.47,0.7924
1,top,0,1023.30,359.09,1109.14,566.49,1060.65,376.21,0.7573,1063.68,371.65,0.7807,1056.09,372.66,0.7667,1070.77,372.66,0.8259,1051.03,375.70,0.8250,1080.39,385.83,0.7554,1044.95,394.44,0.7480,1101.66,400.51,0.7231,1029.25,422.29,0.8133,1094.06,403.55,0.4831,1047.48,405.58,0.6748,1075.84,450.13,0.6281,1058.11,451.15,0.6141,1080.39,490.64,0.6969,1060.14,496.21,0.7402,1061.66,519.00,0.7914,1053.56,544.82,0.8033
1,bottom,1,888.68,564.22,991.00,837.22,931.17,584.75,0.7330,929.17,580.75,0.4706,932.50,581.42,0.5230,922.51,586.75,0.6751,941.84,585.42,0.7519,909.18,614.75,0.7381,957.83,612.08,0.7291,895.18,617.41,0.7016,982.49,624.08,0.7687,909.84,608.75,0.4869,983.83,637.41,0.6464,923.17,690.06,0.6684,948.50,690.06,0.6644,910.51,749.38,0.7621,947.17,746.71,0.7588,910.51,804.70,0.8312,941.84,802.03,0.7939
2,top,1,1023.83,359.16,1109.00,566.68,1060.34,376.28,0.7753,1063.88,371.72,0.7953,1056.28,372.74,0.7878,1070.98,372.74,0.8322,1051.72,375.78,0.8304,1081.11,386.42,0.7631,1045.14,396.04,0.7517,1101.88,402.63,0.7252,1029.94,423.40,0.8083,1096.31,405.67,0.5267,1048.68,406.68,0.6698,1076.55,450.76,0.6370,1057.80,452.28,0.6184,1080.09,491.29,0.6825,1059.83,496.36,0.7475,1061.35,519.16,0.7934,1053.75,543.99,0.7947
2,bottom,0,889.75,563.45,990.57,837.69,932.13,584.74,0.7019,930.12,580.05,0.4721,932.80,580.72,0.5072,923.42,586.75,0.6704,942.17,584.74,0.7467,911.37,614.20,0.7322,958.91,612.19,0.7339,897.98,614.87,0.7304,983.01,624.91,0.7974,898.65,602.15,0.6407,982.34,641.65,0.6807,924.09,691.20,0.6719,949.53,690.53,0.6665,911.37,749.45,0.7631,947.53,746.10,0.7572,911.37,805.02,0.8335,942.17,801.00,0.7974
3,top,1,1023.13,360.78,1108.88,566.55,1060.48,377.25,0.7789,1063.49,373.24,0.7966,1056.46,374.24,0.7931,1070.53,374.74,0.8255,1051.94,377.25,0.8206,1082.08,388.81,0.7699,1044.40,398.35,0.7497,1102.17,406.39,0.7565,1030.34,424.98,0.7766,1095.64,411.92,0.5735,1048.42,409.91,0.6417,1076.55,452.11,0.6290,1057.46,453.11,0.6118,1078.56,492.80,0.6838,1059.47,496.32,0.7443,1060.98,518.92,0.7910,1053.44,543.04,0.7812
3,bottom,0,889.35,562.43,988.88,835.55,933.12,584.30,0.6957,931.12,579.64,0.4803,933.78,579.64,0.4951,925.11,585.64,0.6729,943.12,584.97,0.7486,911.78,613.64,0.7250,960.45,612.98,0.7379,898.44,612.98,0.7539,982.46,627.65,0.7966,897.11,598.97,0.6956,979.12,648.32,0.6742,924.45,690.32,0.6698,950.45,689.66,0.6611,911.78,749.67,0.7724,947.12,745.67,0.7597,911.78,805.01,0.8304,941.78,801.01,0.7973
4,top,1,1025.50,363.75,1108.14,566.39,1060.88,379.49,0.7980,1064.35,375.53,0.8147,1056.93,376.02,0.8214,1071.27,377.01,0.8424,1052.47,379.49,0.8307,1084.13,392.84,0.7837,1045.05,401.25,0.7593,1101.94,412.14,0.7934,1031.69,428.46,0.7592,1095.51,419.56,0.5627,1046.04,414.61,0.6277,1076.71,455.67,0.6265,1057.91,455.67,0.6108,1075.72,495.74,0.6960,1058.41,497.72,0.7409,1059.40,520.48,0.7647,1053.46,541.75,0.7463
4,bottom,0,889.18,562.21,987.04,838.55,934.07,583.67,0.7023,932.72,578.95,0.4836,934.74,579.62,0.4866,925.29,585.02,0.6716,944.18,584.34,0.7428,913.15,613.35,0.7039,961.73,613.35,0.7459,898.98,614.03,0.7247,981.29,633.59,0.7929,897.63,600.53,0.6656,975.89,654.51,0.7109,925.29,690.94,0.6688,951.61,690.26,0.6580,912.48,750.31,0.7645,946.88,745.58,0.7516,912.48,806.98,0.8164,941.49,800.91,0.7967
5,top,1,1029.29,366.49,1108.28,564.26,1060.58,382.33,0.7698,1063.96,378.95,0.7989,1056.72,379.43,0.8234,1071.20,380.40,0.8415,1052.85,382.81,0.8151,1085.69,397.30,0.7835,1044.16,405.02,0.7639,1101.14,418.54,0.7769,1034.02,431.58,0.7079,1098.24,427.72,0.5931,1043.68,420.96,0.5558,1077.48,457.17,0.6078,1057.20,456.69,0.5952,1073.61,498.69,0.6652,1057.20,500.14,0.7336,1056.72,522.35,0.6984,1054.78,543.60,0.7250
5,bottom,0,889.26,561.76,986.24,839.20,934.36,583.97,0.7130,933.01,578.55,0.4877,934.36,579.91,0.4957,926.23,586.00,0.6746,944.52,585.33,0.7482,915.40,614.45,0.6905,962.13,614.45,0.7705,898.46,616.48,0.7356,979.07,639.51,0.7759,896.43,602.94,0.6895,972.97,661.87,0.7062,926.91,692.35,0.6562,951.97,691.67,0.6665,913.36,749.92,0.7745,946.55,745.86,0.7575,913.36,808.85,0.8158,941.81,800.05,0.8026
6,top,1,1028.34,367.46,1105.77,561.54,1061.37,384.90,0.7974,1064.69,380.63,0.8098,1057.10,381.58,0.8042,1070.85,383.00,0.8170,1052.37,385.84,0.8373,1086.48,401.48,0.8061,1043.84,409.06,0.7821,1099.28,423.28,0.7609,1034.83,433.70,0.6816,1098.80,436.07,0.6841,1040.05,425.17,0.4876,1077.01,464.03,0.6351,1058.53,463.55,0.6393,1071.32,503.36,0.6808,1058.53,503.36,0.7786,1057.10,522.78,0.7068,1054.26,541.74,0.7396
6,bottom,0,889.53,563.53,984.53,837.09,934.36,584.77,0.7024,932.36,579.43,0.4959,934.36,580.76,0.4853,927.01,586.10,0.6780,945.05,586.10,0.7444,916.33,614.82,0.6884,963.08,616.83,0.7832,896.96,619.50,0.7059,977.77,648.22,0.7646,900.30,607.48,0.5197,969.09,671.59,0.6836,927.68,693.63,0.6537,952.39,692.97,0.6803,913.66,750.40,0.7826,946.38,745.06,0.7680,913.66,811.85,0.8146,941.71,799.83,0.8153
7,top,1,1025.56,369.29,1105.89,561.78,1060.09,387.05,0.7881,1063.38,382.82,0.7938,1055.86,383.76,0.7974,1069.96,384.70,0.7954,1051.16,387.99,0.8053,1086.40,403.97,0.7677,1043.17,410.55,0.7629,1098.62,428.88,0.7698,1035.18,437.81,0.6591,1098.62,446.27,0.7102,1035.18,427.00,0.5828,1078.88,463.18,0.6042,1059.15,463.18,0.5914,1074.66,502.66,0.6506,1058.21,505.48,0.7504,1058.21,523.34,0.7188,1052.57,541.66,0.7319
7,bottom,0,890.08,563.89,982.66,837.83,935.70,585.82,0.7389,934.36,581.14,0.4994,935.70,581.81,0.4937,927.00,587.83,0.6646,945.06,587.83,0.7574,917.64,615.92,0.7002,962.45,617.92,0.8032,896.24,623.94,0.6991,976.49,652.03,0.7886,911.62,615.25,0.4699,967.13,678.79,0.6644,928.34,694.17,0.6631,953.76,694.17,0.6863,914.30,752.35,0.7840,945.73,745.67,0.7670,914.30,813.88,0.8066,941.72,799.84,0.8074
