frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,0,787.79,363.19,871.23,563.95,826.08,382.21,0.8677,830.00,378.29,0.8914,822.15,378.78,0.8436,835.88,378.78,0.8236,816.27,380.25,0.8714,844.21,390.54,0.7610,808.43,399.36,0.7670,864.31,403.28,0.7171,794.22,426.81,0.8385,862.84,410.14,0.6504,814.80,413.58,0.7130,835.88,451.81,0.6295,817.74,453.28,0.6129,837.84,492.00,0.7096,823.13,496.41,0.7506,822.15,520.92,0.7765,821.66,543.46,0.7759
0,bottom,1,960.46,571.24,1037.89,831.31,977.59,597.15,0.8101,975.05,593.34,0.7300,976.95,593.34,0.6491,977.59,599.05,0.7648,994.73,596.51,0.7821,977.59,632.07,0.8187,1014.41,618.73,0.8221,973.78,673.97,0.7866,1032.82,654.29,0.8063,968.06,700.64,0.7522,1021.40,679.69,0.7114,996.63,705.72,0.6744,1014.41,703.18,0.6823,999.17,758.42,0.7505,993.46,746.99,0.6739,1020.76,815.56,0.7754,994.73,795.24,0.7899
1,top,0,786.91,360.63,871.10,565.22,826.51,381.01,0.8458,829.51,377.01,0.8555,822.01,377.51,0.8232,836.00,378.01,0.8258,816.52,379.51,0.8720,843.49,389.50,0.7656,808.53,397.99,0.7712,864.47,402.99,0.7001,793.54,425.96,0.8321,861.97,409.48,0.5784,814.02,412.48,0.7110,836.00,451.44,0.6367,817.52,452.93,0.6186,838.00,490.89,0.7082,823.01,495.89,0.7514,822.51,521.36,0.7760,821.51,544.34,0.7828
1,bottom,1,960.99,570.95,1037.86,831.38,975.90,597.53,0.8092,973.99,593.08,0.7347,975.90,593.08,0.6459,975.90,598.80,0.7620,993.07,596.26,0.7894,976.54,632.50,0.8172,1013.41,619.14,0.8194,972.09,673.82,0.7943,1032.49,654.11,0.8085,967.63,702.44,0.7580,1020.41,677.64,0.7083,996.88,705.61,0.6741,1014.68,703.07,0.6822,999.43,758.39,0.7468,993.07,746.31,0.6668,1020.41,815.61,0.7750,994.97,795.26,0.7849
2,top,1,787.49,359.75,870.86,565.46,826.16,379.74,0.8458,829.68,375.72,0.8564,821.64,376.22,0.8308,835.71,376.73,0.8243,816.62,378.23,0.8740,843.24,388.78,0.7695,808.59,397.32,0.7698,864.33,402.84,0.6995,793.52,424.44,0.8357,861.32,409.37,0.5940,814.11,411.38,0.7099,836.21,451.56,0.6414,818.13,453.06,0.6244,838.22,490.73,0.7087,823.15,495.75,0.7560,822.15,521.36,0.7808,821.64,543.96,0.7907
2,bottom,0,961.48,571.25,1037.32,832.45,974.53,597.90,0.8086,972.62,593.44,0.7281,974.53,594.07,0.6238,973.90,599.18,0.7639,991.75,596.63,0.7883,974.53,632.34,0.8194,1013.43,618.31,0.8091,970.71,673.79,0.7914,1031.93,652.74,0.8034,966.88,703.76,0.7394,1019.81,675.70,0.6932,996.85,705.67,0.6739,1014.71,703.12,0.6751,1000.04,757.96,0.7429,994.30,747.76,0.6673,1021.09,815.36,0.7746,995.58,794.95,0.7847
3,top,1,786.98,361.68,870.43,566.14,826.21,379.05,0.8199,829.71,375.55,0.8382,821.72,375.55,0.8074,836.20,376.05,0.8028,816.73,377.55,0.8461,843.18,388.53,0.7593,808.74,396.52,0.7623,863.65,403.01,0.6564,792.77,424.47,0.8280,861.65,408.00,0.5274,813.23,410.49,0.6936,836.20,452.42,0.6389,817.73,453.92,0.6245,837.69,491.86,0.6863,823.22,496.35,0.7513,821.72,520.81,0.7606,821.22,544.77,0.7778
3,bottom,0,960.85,571.40,1036.82,832.66,973.32,598.70,0.8212,971.40,594.24,0.7428,973.32,594.24,0.6333,973.32,599.34,0.7776,990.54,597.43,0.7854,973.32,633.15,0.8175,1012.23,618.48,0.8032,969.49,673.33,0.7701,1031.36,651.01,0.7920,966.94,703.95,0.7243,1017.97,673.97,0.6883,997.56,704.58,0.6699,1015.41,702.03,0.6799,1000.11,758.16,0.7407,994.37,747.32,0.6612,1021.16,815.57,0.7779,995.00,795.16,0.7934
4,top,1,787.13,360.47,870.13,566.50,826.12,378.48,0.8413,829.64,374.46,0.8530,821.59,374.46,0.8176,835.67,375.46,0.8142,816.56,376.47,0.8638,843.22,388.04,0.7643,809.01,395.58,0.7698,863.84,402.62,0.6351,793.42,423.25,0.8359,861.83,406.65,0.5346,813.04,410.17,0.6995,836.18,451.41,0.6358,818.07,452.92,0.6204,837.68,491.15,0.6925,823.10,496.18,0.7519,821.59,520.83,0.7639,821.59,544.47,0.7837
4,bottom,0,960.09,571.48,1036.26,833.12,971.99,598.18,0.8236,970.07,594.35,0.7464,971.99,594.35,0.6348,971.99,599.46,0.7858,989.23,597.54,0.7929,971.99,632.68,0.8134,1010.95,617.99,0.7980,967.51,673.56,0.7527,1030.11,649.92,0.7829,966.88,704.86,0.7045,1016.06,672.28,0.6565,997.54,704.22,0.6710,1015.42,701.03,0.6741,1000.09,757.88,0.7392,994.34,747.02,0.6481,1021.17,815.37,0.7720,994.98,794.93,0.7978
5,top,1,787.31,360.06,870.14,566.88,826.20,377.63,0.8242,829.23,374.10,0.8373,821.66,374.10,0.8063,835.29,374.60,0.7933,816.10,375.61,0.8428,842.86,387.23,0.7520,809.03,394.80,0.7599,863.57,401.36,0.6340,793.38,422.57,0.8310,862.05,406.41,0.5502,813.07,408.43,0.7100,835.79,451.35,0.6366,818.12,452.87,0.6230,837.81,491.24,0.6926,823.17,495.79,0.7528,821.66,521.03,0.7637,821.15,544.77,0.7832
5,bottom,0,958.14,571.72,1036.02,833.98,970.83,598.49,0.8237,968.91,594.01,0.7508,970.83,594.65,0.6231,970.83,599.77,0.7800,988.12,597.21,0.7820,970.19,633.06,0.8138,1010.53,617.70,0.7912,965.71,672.76,0.7430,1029.73,647.15,0.7867,965.71,702.21,0.7063,1015.65,668.92,0.6586,997.08,704.13,0.6839,1015.65,700.93,0.6797,1000.92,757.92,0.7322,993.24,745.75,0.6327,1020.77,815.54,0.7727,995.16,795.06,0.8033
6,top,1,787.21,360.19,870.21,566.90,825.69,377.76,0.8416,828.71,373.72,0.8648,821.14,373.72,0.8272,835.27,374.73,0.8183,816.10,375.74,0.8627,842.34,386.84,0.7587,809.03,394.41,0.7632,863.03,400.47,0.6185,793.89,422.17,0.8312,862.02,404.50,0.5150,813.07,407.03,0.7194,835.78,451.44,0.6417,818.12,453.46,0.6289,837.80,490.80,0.6946,822.66,495.85,0.7540,821.65,520.57,0.7721,821.14,544.29,0.7876
