frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,827.38,382.31,921.50,575.35,876.32,399.66,0.8319,880.56,395.89,0.8044,872.55,395.41,0.8095,884.80,396.83,0.8183,865.48,395.89,0.8218,894.23,413.32,0.6995,850.87,407.20,0.7612,916.38,427.93,0.8294,833.43,429.35,0.8056,901.30,449.61,0.7540,832.49,446.78,0.7791,880.09,464.22,0.6136,860.77,463.75,0.6344,874.44,506.16,0.7317,861.24,504.75,0.6757,875.38,552.35,0.7553,868.31,523.60,0.6684
0,bottom,0,933.80,584.23,1025.22,837.50,995.59,606.99,0.7769,993.11,603.90,0.5807,998.68,604.51,0.5833,983.22,608.22,0.7746,1002.39,610.70,0.7598,963.43,631.72,0.7495,1012.90,637.29,0.8010,942.41,646.56,0.7440,1019.70,653.98,0.7254,944.27,653.98,0.5730,1006.10,640.38,0.4749,969.00,705.30,0.6669,995.59,706.54,0.6824,969.00,741.78,0.6855,1003.01,763.42,0.7664,971.47,784.45,0.7844,989.40,815.98,0.7870
1,top,0,826.93,382.13,921.51,575.28,876.58,399.48,0.8152,880.35,395.71,0.7909,872.34,395.24,0.7916,884.60,397.12,0.8067,865.26,395.71,0.8107,894.50,413.16,0.7005,851.12,407.03,0.7633,916.67,427.78,0.8278,833.20,429.66,0.8085,901.10,449.94,0.7482,832.73,447.11,0.7769,880.35,464.09,0.6129,861.02,463.62,0.6363,874.22,506.06,0.7255,861.49,504.64,0.6731,875.17,552.27,0.7569,868.09,523.98,0.6703
1,bottom,1,934.23,583.80,1026.81,838.03,995.42,606.64,0.7328,992.31,603.54,0.5476,998.52,604.78,0.5490,982.38,607.88,0.7738,1001.62,610.36,0.7610,964.38,629.61,0.7571,1010.93,637.05,0.8068,939.55,635.81,0.8230,1020.86,651.33,0.7827,945.14,650.09,0.6866,1007.83,637.67,0.5370,968.10,704.71,0.6711,994.17,706.57,0.6923,968.10,739.47,0.6842,1002.86,761.19,0.7657,971.21,784.16,0.7806,989.83,815.81,0.8002
2,top,1,826.50,382.88,920.92,575.16,876.05,399.69,0.8284,880.28,395.93,0.8052,872.30,395.46,0.8066,884.97,397.34,0.8172,865.73,395.93,0.8037,893.89,413.30,0.7019,851.17,406.73,0.7642,916.43,427.86,0.8273,833.81,429.26,0.8002,900.93,449.92,0.7597,832.87,447.10,0.7719,880.28,464.00,0.6178,861.03,463.53,0.6354,874.65,506.72,0.7248,861.03,503.90,0.6719,875.12,552.73,0.7564,868.07,523.15,0.6822
2,bottom,0,928.64,583.72,1025.51,837.23,994.41,606.50,0.7648,991.93,603.41,0.5403,996.88,604.64,0.5803,982.03,607.74,0.7695,1001.21,610.21,0.7616,962.22,628.78,0.7530,1010.50,636.21,0.7948,934.37,631.88,0.8213,1020.40,648.59,0.7417,949.84,639.92,0.6211,1008.64,634.35,0.5280,967.79,703.05,0.6495,993.79,704.29,0.6717,967.79,738.95,0.6902,1001.83,760.61,0.7738,971.51,783.51,0.7816,990.07,813.83,0.8047
3,top,1,826.49,382.62,921.17,575.18,876.18,399.45,0.8245,879.94,395.69,0.8019,872.42,395.22,0.8035,884.64,397.10,0.8116,865.37,395.69,0.8060,894.05,413.09,0.7022,851.26,406.98,0.7641,916.14,428.13,0.8340,833.87,429.54,0.8077,901.10,449.76,0.7648,832.93,447.41,0.7791,880.41,464.33,0.6126,861.14,463.86,0.6309,874.77,506.64,0.7218,861.14,503.82,0.6754,875.24,552.71,0.7594,868.19,523.09,0.6852
3,bottom,0,923.35,582.61,1026.40,835.68,994.03,606.58,0.7495,990.94,602.88,0.5062,997.12,604.11,0.5946,979.82,607.20,0.7639,1000.21,609.05,0.7637,961.28,630.06,0.7674,1008.86,635.00,0.7917,930.39,628.21,0.8443,1019.98,645.51,0.7503,956.96,626.97,0.6442,1009.48,631.91,0.5535,966.85,702.35,0.6672,992.79,704.20,0.6949,967.46,738.18,0.6996,1001.44,759.19,0.7613,971.17,783.90,0.7644,989.71,812.32,0.8103
4,top,1,826.97,382.29,921.58,575.42,876.16,399.17,0.8242,879.93,395.39,0.8054,872.39,394.92,0.8062,884.65,396.81,0.8071,864.84,395.39,0.8213,894.08,413.31,0.7036,850.70,407.65,0.7701,916.24,427.93,0.8394,833.72,430.29,0.8110,901.62,450.09,0.7582,833.72,449.62,0.7861,880.40,465.18,0.6122,861.07,464.71,0.6280,874.27,506.20,0.7281,861.54,504.78,0.6753,875.22,552.41,0.7601,868.62,524.12,0.6730
4,bottom,0,923.37,582.12,1024.67,835.12,992.55,606.09,0.7517,988.85,603.00,0.5015,995.64,604.24,0.5871,978.96,606.71,0.7882,999.35,609.18,0.7670,960.43,629.56,0.7638,1008.61,635.12,0.7766,929.55,627.09,0.8237,1017.88,641.91,0.6986,957.34,623.38,0.6464,1006.14,629.56,0.5113,965.99,702.45,0.6696,991.93,703.68,0.6937,967.23,738.89,0.6980,1000.58,757.42,0.7610,970.93,784.60,0.7616,990.08,810.54,0.8140
