frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,0,1020.80,364.68,1102.68,570.48,1056.72,382.17,0.7591,1060.23,378.15,0.7918,1052.70,379.15,0.7739,1066.76,378.65,0.8196,1047.67,381.67,0.8129,1075.31,391.71,0.7262,1040.64,400.26,0.7561,1095.91,401.26,0.6916,1026.07,428.39,0.7989,1092.89,405.78,0.5181,1044.15,414.83,0.6414,1069.78,452.01,0.6296,1051.19,453.51,0.6052,1074.80,493.71,0.7207,1056.21,500.24,0.7350,1057.22,521.84,0.7951,1049.68,548.47,0.7867
0,bottom,1,887.05,566.64,990.88,838.74,924.35,586.44,0.6973,921.03,583.78,0.4510,926.34,583.78,0.4751,914.38,589.10,0.6564,936.31,588.43,0.7312,901.76,619.65,0.8125,952.91,615.00,0.7265,894.45,649.55,0.7415,983.47,632.28,0.8093,909.07,662.83,0.6143,965.54,648.88,0.6798,917.04,690.74,0.6375,945.61,690.74,0.6362,905.08,750.52,0.7751,945.61,747.87,0.7684,905.08,803.00,0.8277,941.62,803.67,0.8010
1,top,1,1021.04,364.76,1102.00,570.46,1057.50,382.24,0.7580,1060.51,377.72,0.7891,1052.98,378.72,0.7671,1067.04,378.22,0.8064,1047.96,381.73,0.8176,1075.58,391.78,0.7232,1040.42,399.81,0.7574,1095.67,401.82,0.6853,1026.36,428.44,0.7909,1091.65,406.34,0.5058,1044.44,415.38,0.6324,1070.05,452.55,0.6303,1051.47,454.05,0.6051,1075.08,494.23,0.7216,1056.49,500.26,0.7336,1057.50,521.85,0.7931,1049.97,548.97,0.7850
1,bottom,0,885.55,566.45,991.66,838.76,924.64,586.26,0.7126,921.32,583.61,0.4564,926.63,583.61,0.4786,914.67,589.59,0.6680,936.61,588.26,0.7418,901.37,619.51,0.8096,953.23,614.85,0.7203,894.72,647.43,0.7282,984.47,630.81,0.8069,910.01,660.06,0.6044,965.86,648.76,0.6941,916.66,691.30,0.6434,945.25,690.64,0.6403,905.36,750.47,0.7775,945.91,747.81,0.7662,904.70,803.66,0.8237,941.26,803.66,0.8033
2,top,1,1021.17,364.70,1101.88,570.49,1058.01,382.19,0.7617,1061.02,377.67,0.7857,1053.49,378.67,0.7596,1067.55,378.67,0.8037,1047.96,381.69,0.8212,1076.09,391.73,0.7296,1040.93,399.77,0.7632,1095.69,402.28,0.6801,1026.86,428.41,0.7909,1091.17,406.81,0.5107,1044.44,415.35,0.6355,1070.07,452.52,0.6293,1051.98,454.03,0.6041,1075.09,494.22,0.7222,1056.50,500.75,0.7344,1057.51,521.85,0.7937,1049.47,548.98,0.7886
2,bottom,0,885.32,566.47,991.87,838.57,924.65,586.26,0.7080,921.32,584.27,0.4595,926.64,583.61,0.4789,914.68,589.58,0.6834,936.60,588.92,0.7535,902.06,619.48,0.8046,953.21,614.83,0.7209,894.75,644.06,0.7422,984.43,630.11,0.8146,912.02,655.35,0.5975,965.83,648.04,0.6966,916.67,691.89,0.6435,945.24,691.22,0.6382,905.38,750.35,0.7760,945.90,748.36,0.7584,904.05,803.49,0.8252,941.92,803.49,0.8043
3,top,1,1021.32,364.41,1102.06,570.36,1058.17,382.41,0.7640,1061.19,377.89,0.7795,1053.64,378.89,0.7563,1067.72,378.39,0.8016,1048.11,381.91,0.8175,1076.27,390.96,0.7437,1041.07,400.01,0.7683,1095.88,402.53,0.6711,1026.49,428.17,0.7910,1092.36,408.06,0.5349,1044.09,416.10,0.6296,1070.74,452.81,0.6277,1052.64,454.31,0.6018,1075.27,494.04,0.7201,1056.16,500.57,0.7308,1057.67,522.19,0.7905,1049.62,548.84,0.7903
3,bottom,0,885.34,566.25,992.05,838.35,924.75,586.71,0.7103,921.42,584.05,0.4568,927.40,583.39,0.4902,915.45,589.36,0.6747,937.37,588.70,0.7545,902.16,619.26,0.7986,953.31,615.27,0.7296,894.19,639.85,0.7249,984.53,630.55,0.8090,912.12,652.47,0.5777,968.59,647.16,0.6892,916.77,691.00,0.6477,945.34,691.00,0.6375,904.82,750.79,0.7766,945.34,748.14,0.7603,904.15,803.27,0.8271,941.35,803.27,0.8020
4,top,1,1021.40,364.08,1102.34,570.54,1058.34,381.62,0.7590,1061.36,377.59,0.7783,1053.80,378.60,0.7509,1067.92,378.09,0.7997,1048.26,381.12,0.8103,1076.49,391.20,0.7522,1041.20,399.77,0.7669,1095.64,402.29,0.7291,1027.09,427.99,0.7824,1093.12,408.84,0.6108,1045.23,415.39,0.6210,1070.94,452.69,0.6246,1052.80,454.20,0.5985,1075.48,494.53,0.7163,1056.32,501.08,0.7326,1057.84,521.74,0.7970,1049.77,548.46,0.7919
4,bottom,0,884.95,566.28,991.32,838.71,925.49,587.43,0.7317,922.83,584.10,0.4669,927.49,584.10,0.5159,916.18,589.42,0.6849,936.80,588.76,0.7647,902.88,618.69,0.8025,953.43,614.70,0.7443,892.90,635.32,0.7379,984.02,631.33,0.8068,912.19,633.99,0.5130,974.71,645.29,0.6805,916.85,691.85,0.6638,945.45,691.85,0.6534,904.87,750.38,0.7756,945.45,748.39,0.7604,904.21,803.59,0.8272,941.46,803.59,0.7999
5,top,1,1021.70,363.93,1102.41,570.53,1059.03,381.48,0.7408,1062.06,376.94,0.7565,1054.49,377.95,0.7342,1068.61,377.95,0.7898,1048.94,380.98,0.8014,1076.68,391.57,0.7539,1041.88,399.64,0.7705,1095.85,402.67,0.7139,1027.25,427.89,0.7846,1093.33,409.73,0.6076,1045.91,415.78,0.6100,1071.64,453.11,0.6244,1052.98,454.62,0.5996,1075.17,494.97,0.7187,1056.51,501.03,0.7317,1058.02,521.71,0.7959,1049.95,548.44,0.7912
5,bottom,0,884.26,566.18,991.22,839.21,925.74,587.37,0.7502,923.74,584.04,0.4707,927.08,584.04,0.5372,916.41,589.37,0.6868,937.07,588.04,0.7593,903.75,618.70,0.8015,953.07,615.37,0.7440,891.75,628.70,0.7277,983.74,630.70,0.7970,909.08,621.37,0.5083,983.07,642.03,0.6848,917.74,692.03,0.6682,945.07,691.36,0.6613,904.41,750.69,0.7801,945.07,748.69,0.7663,904.41,804.01,0.8326,941.07,802.68,0.8102
6,top,1,1021.77,364.40,1102.31,570.42,1059.02,381.90,0.7406,1062.04,377.37,0.7520,1054.49,378.38,0.7314,1068.57,378.38,0.7893,1048.96,381.40,0.8020,1077.13,391.46,0.7592,1041.92,400.01,0.7668,1095.74,403.53,0.7035,1027.83,428.18,0.7825,1093.22,411.07,0.6021,1045.44,416.10,0.6077,1071.59,453.32,0.6246,1053.49,454.83,0.5987,1075.62,494.57,0.7143,1056.50,501.61,0.7284,1058.01,521.73,0.7918,1049.96,548.39,0.7871
6,bottom,0,884.22,566.29,993.11,839.33,926.00,587.49,0.7397,922.67,584.15,0.4652,928.00,584.82,0.5414,916.00,589.49,0.6891,936.67,588.82,0.7712,904.00,618.82,0.7793,953.33,615.48,0.7519,890.00,624.15,0.7647,983.33,630.82,0.7862,910.00,614.82,0.5336,985.99,642.81,0.6954,917.33,692.81,0.6799,945.33,692.81,0.6729,905.34,751.47,0.7802,945.33,748.80,0.7680,904.00,804.13,0.8347,941.33,802.80,0.8127
7,top,1,1021.86,364.83,1102.32,570.29,1059.58,381.78,0.7462,1063.09,377.27,0.7566,1055.56,378.27,0.7327,1069.11,378.27,0.7954,1049.55,381.28,0.8055,1077.63,391.82,0.7635,1042.52,399.84,0.7673,1095.69,405.36,0.6801,1027.98,428.43,0.7887,1091.68,413.89,0.5525,1046.03,415.89,0.6327,1072.12,453.51,0.6290,1053.56,454.52,0.6045,1075.63,494.64,0.7170,1056.57,501.17,0.7324,1057.57,521.73,0.7875,1050.05,548.82,0.7865
7,bottom,0,883.19,566.05,994.38,839.11,925.45,587.25,0.7180,922.12,583.92,0.4712,927.45,583.92,0.5237,916.78,589.25,0.6769,936.78,588.58,0.7685,904.78,617.25,0.7609,953.45,615.25,0.7510,890.78,619.92,0.8115,984.12,631.25,0.7896,894.78,604.58,0.6698,986.78,643.92,0.6885,918.12,692.58,0.6780,945.45,692.58,0.6674,905.45,751.91,0.7800,945.45,748.58,0.7647,904.12,805.25,0.8460,941.45,803.25,0.8059
8,top,1,1021.97,365.68,1101.91,567.90,1058.98,382.86,0.7583,1062.44,378.91,0.7504,1055.03,379.40,0.7427,1068.85,379.40,0.7828,1049.60,382.37,0.8070,1078.73,393.23,0.7812,1042.19,401.62,0.7605,1095.51,408.04,0.7107,1028.37,429.76,0.7945,1092.06,416.43,0.6090,1047.13,417.42,0.6539,1071.82,454.45,0.6271,1052.56,455.44,0.6045,1074.78,496.41,0.7019,1056.51,500.86,0.7345,1057.00,522.58,0.7818,1049.60,547.76,0.7725
8,bottom,0,881.01,566.04,993.11,839.75,925.70,587.29,0.7049,923.69,582.61,0.4677,927.03,583.28,0.5062,916.34,589.29,0.6609,936.39,587.96,0.7517,904.98,618.03,0.7501,953.76,615.35,0.7429,889.61,619.36,0.8359,984.50,633.40,0.7948,889.61,603.33,0.7985,986.51,648.77,0.6505,919.01,692.87,0.6721,946.41,692.20,0.6679,905.65,751.68,0.7796,945.74,747.00,0.7585,904.31,806.47,0.8423,941.07,803.13,0.8095
9,top,1,1022.62,366.73,1101.99,568.37,1058.86,384.84,0.7716,1061.81,380.90,0.7721,1054.43,381.40,0.7727,1068.71,381.89,0.8135,1049.51,384.84,0.8138,1079.54,396.17,0.8007,1042.62,404.04,0.7665,1094.80,412.41,0.7797,1029.32,431.12,0.7645,1093.32,421.76,0.7291,1046.55,421.27,0.6090,1071.66,457.70,0.6414,1052.46,458.69,0.6207,1072.64,498.56,0.7123,1054.92,502.50,0.7479,1055.41,524.16,0.7839,1048.52,546.80,0.7883
9,bottom,0,878.48,566.24,992.42,839.77,924.76,586.81,0.6678,922.09,582.80,0.4641,926.77,582.80,0.4855,916.08,589.48,0.6620,936.11,587.48,0.7394,904.73,617.53,0.7376,954.81,616.19,0.7341,887.37,618.86,0.8367,983.53,636.23,0.7983,886.70,602.17,0.7998,985.53,654.26,0.6730,919.42,694.32,0.6651,946.80,693.66,0.6688,906.06,752.42,0.7837,945.46,748.42,0.7521,904.73,807.18,0.8434,941.46,803.17,0.8129
10,top,1,1023.08,370.56,1102.16,569.30,1058.74,388.41,0.7443,1062.13,384.05,0.7492,1054.37,385.02,0.7645,1068.93,385.02,0.7989,1049.52,387.93,0.7917,1081.06,400.06,0.7889,1042.24,407.82,0.7486,1094.64,418.98,0.7733,1029.63,435.48,0.7320,1095.13,432.08,0.6637,1044.67,425.29,0.6264,1072.32,461.19,0.6181,1052.92,461.68,0.5963,1071.35,500.01,0.6766,1053.40,503.41,0.7183,1054.86,524.75,0.7738,1048.55,545.62,0.7351
10,bottom,0,876.70,567.15,991.04,839.85,924.55,587.66,0.6782,921.89,583.00,0.4843,925.88,583.66,0.5017,917.23,589.66,0.6798,935.87,588.32,0.7344,903.91,618.28,0.7395,955.18,617.62,0.7354,886.60,620.28,0.8165,983.14,640.92,0.7925,884.60,604.30,0.7789,984.47,660.89,0.7026,919.89,695.51,0.6610,947.85,694.85,0.6810,906.58,753.44,0.7828,946.52,747.44,0.7316,904.58,809.36,0.8527,941.86,801.37,0.8060
11,top,1,1023.95,374.06,1101.72,568.58,1058.08,390.11,0.7740,1061.41,385.84,0.7618,1053.81,386.79,0.7864,1068.06,387.26,0.7881,1049.06,390.58,0.8005,1082.31,404.83,0.7878,1040.04,411.96,0.7591,1093.70,425.73,0.7554,1029.59,439.50,0.7183,1094.65,442.35,0.6896,1041.46,431.43,0.6244,1073.28,464.67,0.5841,1053.81,464.20,0.5719,1069.96,502.19,0.6610,1052.39,505.51,0.7076,1053.34,525.93,0.7418,1046.21,544.93,0.7427
11,bottom,0,874.34,568.44,990.32,840.57,923.69,588.24,0.6917,921.03,584.25,0.4805,925.02,584.92,0.5053,915.72,590.89,0.7073,935.65,589.57,0.7608,903.76,619.46,0.7563,954.92,618.13,0.7644,883.83,626.11,0.7972,982.15,647.37,0.7912,881.17,612.15,0.7209,982.15,669.96,0.6689,921.03,697.19,0.6619,948.94,695.87,0.6763,906.42,755.66,0.7894,949.60,745.03,0.7299,905.09,813.46,0.8367,944.29,798.84,0.7901
12,top,1,1024.17,376.16,1102.65,565.32,1058.33,391.77,0.7306,1060.64,388.08,0.7422,1053.71,389.00,0.7390,1066.64,389.92,0.7646,1048.17,393.16,0.7744,1082.34,407.47,0.7705,1038.93,414.86,0.7364,1092.96,431.49,0.7316,1029.23,440.72,0.7060,1095.27,450.42,0.7241,1040.32,435.64,0.5682,1074.03,464.27,0.5728,1054.17,464.27,0.5562,1071.72,501.22,0.6431,1051.86,508.15,0.6591,1053.71,525.70,0.7288,1043.55,543.71,0.7332
12,bottom,0,872.09,569.60,988.33,841.90,924.23,590.08,0.7307,921.57,585.42,0.4846,924.23,586.09,0.5183,915.58,592.74,0.7199,934.86,591.41,0.7616,902.95,621.99,0.7605,955.47,619.99,0.7854,881.68,632.62,0.7924,980.07,652.57,0.7906,879.02,621.32,0.7347,980.73,672.51,0.6682,922.23,697.77,0.6723,950.82,696.44,0.6753,906.28,756.94,0.7873,953.48,741.65,0.7371,904.95,814.78,0.8454,948.16,794.17,0.7748
13,top,1,1024.53,378.26,1102.82,564.33,1055.05,394.53,0.7434,1058.23,390.44,0.7353,1050.50,391.80,0.7763,1065.04,391.80,0.7871,1046.41,394.98,0.7757,1081.39,409.52,0.7588,1038.24,416.33,0.7491,1093.20,436.32,0.7554,1029.15,438.14,0.6554,1096.38,460.40,0.7107,1036.87,439.95,0.4840,1075.03,467.21,0.5877,1055.95,466.76,0.5718,1073.67,507.64,0.6111,1053.23,511.27,0.6810,1055.50,525.36,0.6919,1041.87,543.53,0.7373
13,bottom,0,868.82,572.11,988.01,841.67,924.46,592.38,0.7631,923.15,588.43,0.5046,923.81,588.43,0.5225,915.25,595.01,0.7283,934.99,593.69,0.7574,902.09,625.28,0.7766,955.40,623.31,0.8183,881.03,642.39,0.7882,978.43,657.53,0.8061,877.08,631.86,0.7416,979.75,678.59,0.7117,923.15,700.31,0.6773,952.10,697.67,0.6854,906.04,758.22,0.7937,957.37,737.82,0.7387,904.72,816.13,0.8539,954.74,791.12,0.7571
14,top,1,1025.07,379.62,1103.94,564.65,1054.57,396.24,0.7570,1057.73,391.73,0.7354,1050.05,393.08,0.8027,1064.05,394.44,0.8130,1045.08,397.15,0.7884,1081.67,412.51,0.7548,1036.50,418.83,0.7587,1093.87,440.06,0.7672,1029.27,444.13,0.6275,1097.93,465.81,0.7292,1035.59,445.03,0.5664,1076.70,470.78,0.6092,1055.47,470.78,0.5912,1081.67,512.34,0.6080,1052.31,514.60,0.6940,1059.99,525.44,0.7043,1039.66,546.67,0.7603
14,bottom,0,868.69,576.47,986.59,841.89,924.40,595.78,0.7731,923.75,591.90,0.5204,925.05,591.90,0.5233,915.98,599.02,0.7245,935.42,597.73,0.7488,902.37,629.48,0.7914,956.80,627.54,0.8171,880.34,652.16,0.7581,978.18,663.18,0.8258,876.45,646.33,0.6025,979.48,684.56,0.7609,925.05,702.05,0.6653,954.21,699.46,0.7002,905.61,759.08,0.8027,960.69,737.69,0.7411,904.96,816.75,0.8530,962.63,792.13,0.7823
15,top,1,1025.51,382.00,1104.26,564.03,1054.22,398.80,0.7442,1057.33,394.80,0.7554,1049.78,396.14,0.7792,1064.00,397.47,0.7980,1045.33,400.14,0.7696,1081.78,415.25,0.7168,1036.45,422.36,0.7472,1096.44,442.80,0.7420,1030.67,448.58,0.6264,1100.00,469.91,0.6822,1037.34,452.13,0.4834,1079.55,473.46,0.5803,1055.11,474.35,0.5672,1091.11,518.35,0.7157,1048.45,517.46,0.6946,1065.78,521.46,0.6819,1038.22,548.57,0.7413
15,bottom,0,869.85,578.95,987.05,841.38,926.53,598.69,0.8057,926.53,594.84,0.5233,925.89,594.84,0.5193,917.56,601.89,0.7066,936.14,600.61,0.7516,904.10,633.28,0.7869,957.92,630.08,0.8189,881.68,662.11,0.7132,978.43,667.88,0.8134,877.20,662.75,0.5256,979.71,692.23,0.7283,927.17,703.12,0.6680,957.28,700.56,0.6980,905.39,759.50,0.8120,963.05,739.64,0.7298,905.39,817.80,0.8609,972.66,790.89,0.7699
16,top,1,1024.58,385.82,1108.71,563.93,1055.34,402.26,0.7749,1058.82,397.91,0.7429,1050.99,399.22,0.7718,1064.90,400.09,0.7729,1045.77,403.57,0.7813,1082.30,418.35,0.7109,1037.08,426.18,0.7721,1099.69,443.13,0.7506,1031.86,446.18,0.6221,1102.73,469.22,0.7207,1031.86,456.18,0.6482,1080.99,472.27,0.5745,1054.47,473.57,0.5750,1097.52,519.23,0.7360,1044.47,519.66,0.6576,1076.21,527.06,0.6978,1038.38,547.93,0.7730
16,bottom,0,868.20,581.63,993.56,841.05,927.71,601.77,0.8173,928.35,597.97,0.5240,927.08,597.97,0.5067,919.48,605.57,0.6875,937.85,604.31,0.7293,906.18,635.98,0.7769,959.38,632.18,0.7965,887.81,670.18,0.6947,980.91,672.08,0.8200,874.51,687.28,0.5528,980.91,698.04,0.7220,928.98,705.01,0.6648,960.65,702.48,0.6976,905.55,759.48,0.8108,968.25,744.28,0.7434,905.55,819.01,0.8544,982.81,794.95,0.8087
17,top,1,1024.96,387.75,1113.74,565.53,1057.63,405.03,0.7494,1060.67,400.69,0.7241,1053.29,401.99,0.7551,1067.18,402.86,0.7829,1048.08,407.20,0.7801,1084.97,420.65,0.6871,1039.83,428.47,0.7632,1105.37,441.92,0.7639,1034.63,450.60,0.6176,1107.11,464.49,0.7296,1034.63,459.72,0.5655,1083.67,471.43,0.5914,1055.46,473.60,0.5940,1102.33,517.88,0.7499,1042.87,520.91,0.6593,1085.84,535.67,0.7453,1038.53,547.82,0.7832
17,bottom,0,866.67,582.59,1000.01,842.15,930.17,604.01,0.8375,930.80,600.21,0.5318,928.90,600.21,0.5319,921.30,607.81,0.6895,940.31,606.55,0.7448,908.62,638.86,0.7935,960.59,633.80,0.8038,892.78,675.62,0.7615,982.77,674.35,0.8286,881.37,695.26,0.7634,984.03,701.60,0.7263,932.70,707.30,0.6724,963.75,704.77,0.6972,906.72,760.53,0.8199,973.26,747.23,0.7363,905.46,820.10,0.8599,989.10,797.29,0.8249
18,top,1,1025.69,390.95,1119.85,568.62,1062.36,409.08,0.7227,1064.96,404.31,0.7141,1057.15,406.04,0.7289,1070.60,406.48,0.7526,1051.51,411.25,0.7596,1088.38,422.96,0.6741,1043.27,431.20,0.7492,1111.37,440.75,0.7421,1037.20,449.42,0.6390,1112.67,459.40,0.7381,1033.30,460.70,0.6721,1086.65,471.98,0.6041,1056.72,475.45,0.5812,1105.30,512.32,0.7089,1042.84,520.56,0.6461,1100.53,546.58,0.7609,1038.93,548.32,0.7729
18,bottom,0,878.45,584.93,1000.24,841.90,932.44,605.50,0.8473,933.07,603.00,0.5382,930.56,602.37,0.5572,924.29,609.90,0.6700,943.11,608.01,0.7417,912.37,640.64,0.8117,962.56,634.99,0.7982,899.19,679.53,0.7650,985.14,676.40,0.8302,887.90,705.88,0.7813,986.40,706.51,0.7210,936.21,707.77,0.6612,968.21,704.63,0.6911,909.86,760.47,0.8377,974.48,747.29,0.7551,906.72,820.07,0.8898,989.54,798.74,0.8552
