frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,1041.79,386.08,1147.46,576.93,1088.10,410.68,0.8270,1092.76,406.96,0.8146,1085.31,406.02,0.8481,1100.68,406.96,0.8893,1081.12,405.56,0.7421,1111.87,425.59,0.7122,1073.19,414.88,0.7454,1139.82,439.11,0.7823,1057.82,434.91,0.7597,1119.32,461.47,0.7598,1048.97,453.08,0.7644,1104.41,471.72,0.6142,1086.71,471.72,0.6256,1094.16,507.13,0.7037,1089.50,508.06,0.6909,1097.42,556.06,0.7542,1106.28,524.37,0.6825
0,bottom,0,903.33,572.83,1008.83,830.14,958.59,593.44,0.7191,961.10,589.67,0.5503,960.47,590.30,0.5773,945.40,594.07,0.7003,963.62,596.58,0.7682,927.18,616.05,0.7533,971.15,626.10,0.7238,908.34,629.24,0.7794,992.51,640.55,0.8018,919.64,619.19,0.5713,999.42,623.59,0.8029,925.30,693.95,0.6714,948.54,697.09,0.6763,933.46,736.03,0.6551,951.05,751.74,0.7482,936.60,779.38,0.6673,925.30,798.85,0.7696
1,top,0,1041.79,385.93,1146.93,577.00,1088.76,410.56,0.8109,1093.43,406.82,0.7960,1085.96,405.89,0.8236,1100.89,406.36,0.8614,1081.77,404.96,0.7451,1111.62,425.02,0.7096,1072.44,415.22,0.7479,1139.61,439.48,0.7801,1057.98,435.75,0.7576,1119.55,461.40,0.7612,1049.11,455.34,0.7785,1104.16,473.07,0.6053,1086.90,473.53,0.6200,1096.23,508.99,0.6857,1091.10,509.45,0.6863,1098.09,556.10,0.7569,1107.42,525.31,0.6911
1,bottom,1,890.68,572.04,1008.74,829.74,957.89,593.31,0.7043,959.14,588.90,0.5783,960.40,590.16,0.5528,945.30,593.93,0.7305,962.92,596.45,0.7768,927.06,616.58,0.7473,972.36,626.02,0.7191,898.12,633.57,0.7292,993.12,639.86,0.8085,902.52,629.80,0.5037,999.41,621.62,0.8241,927.06,693.34,0.6607,949.71,696.48,0.6779,935.24,735.49,0.6581,952.85,751.22,0.7385,937.75,778.27,0.6397,926.43,797.78,0.7536
2,top,1,1044.47,386.79,1147.33,576.84,1088.94,409.44,0.8059,1093.58,406.19,0.7874,1086.16,405.26,0.8176,1101.01,407.12,0.8454,1081.98,405.26,0.7438,1111.21,424.28,0.6982,1071.78,416.40,0.7593,1139.05,440.06,0.7816,1058.78,435.88,0.7540,1119.10,462.79,0.7456,1049.97,458.15,0.7829,1105.18,474.86,0.6159,1087.09,475.32,0.6295,1099.62,510.12,0.7108,1092.66,511.05,0.6778,1099.62,555.13,0.7613,1109.82,525.90,0.6895
2,bottom,0,885.66,571.76,1006.62,829.86,959.38,593.06,0.6571,958.75,588.64,0.5650,961.90,589.27,0.5606,946.14,593.69,0.7179,963.16,596.21,0.7579,927.24,616.37,0.7332,973.24,625.82,0.7299,903.29,632.12,0.6852,995.92,640.95,0.8320,894.47,638.43,0.6831,999.08,620.78,0.8083,929.13,693.88,0.6583,951.18,697.03,0.6845,936.06,733.58,0.6734,955.60,750.59,0.7525,938.58,779.58,0.6632,928.50,797.22,0.7451
3,top,1,1043.32,389.61,1142.91,576.04,1089.47,410.00,0.8571,1094.02,406.36,0.8514,1086.74,405.90,0.8211,1101.31,407.27,0.8311,1081.28,405.90,0.7426,1110.86,424.57,0.6848,1070.36,418.19,0.7450,1137.72,440.95,0.7604,1057.61,439.13,0.7608,1119.51,464.16,0.7627,1049.42,461.89,0.8010,1104.95,475.54,0.5966,1086.74,477.36,0.6198,1102.22,510.59,0.6806,1095.39,511.50,0.6484,1101.76,553.83,0.7292,1111.32,525.15,0.7266
3,bottom,0,884.14,571.57,1005.69,830.31,960.08,592.92,0.6983,959.45,588.50,0.5646,963.24,589.77,0.5774,946.18,594.19,0.7467,964.50,596.71,0.7703,927.23,616.93,0.7495,975.24,626.40,0.7509,904.49,635.88,0.7069,997.35,644.72,0.8645,893.75,647.88,0.7454,998.61,622.61,0.8259,931.02,693.36,0.6595,954.39,697.15,0.6785,936.71,733.16,0.6874,959.45,751.48,0.7508,937.97,780.53,0.6154,932.28,794.43,0.7444
4,top,1,1046.14,388.48,1139.61,577.90,1089.64,410.12,0.8859,1094.26,406.89,0.8693,1086.40,405.96,0.8443,1101.66,408.73,0.8623,1081.78,406.89,0.7730,1111.37,425.85,0.7019,1070.21,421.22,0.7565,1135.88,442.96,0.7244,1057.73,444.34,0.7398,1126.17,463.31,0.6282,1051.25,470.24,0.7463,1106.29,474.87,0.6207,1086.40,478.10,0.6323,1101.66,509.55,0.6990,1093.80,511.40,0.6532,1109.06,552.56,0.6684,1112.30,524.81,0.7144
4,bottom,0,887.14,571.61,1005.92,829.98,959.77,592.93,0.7170,959.77,588.52,0.5812,962.29,589.15,0.5713,947.16,594.82,0.7531,964.82,596.72,0.7676,928.23,618.16,0.7834,976.80,627.62,0.7807,908.05,641.50,0.7667,997.62,649.07,0.8519,894.80,661.69,0.7849,998.25,627.62,0.8073,932.02,695.12,0.6804,957.25,698.27,0.7095,937.69,732.96,0.6899,962.93,751.26,0.7712,937.69,779.64,0.6041,935.80,795.41,0.7555
