frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,926.34,356.04,1017.94,578.49,983.00,372.23,0.7895,987.35,368.42,0.8319,979.20,368.42,0.7912,993.32,372.77,0.8144,972.68,371.14,0.8672,1003.10,394.49,0.8414,958.56,390.15,0.7320,1010.16,424.91,0.7587,934.12,410.24,0.8484,1001.47,451.52,0.7672,948.79,436.31,0.7777,992.23,461.29,0.6592,968.34,460.75,0.6433,999.84,504.20,0.7140,969.42,505.83,0.7539,1001.47,534.07,0.8100,971.05,553.08,0.8300
0,bottom,0,780.64,583.23,883.23,854.69,832.60,602.98,0.7146,831.94,599.00,0.6269,832.60,599.66,0.5539,827.96,606.29,0.7651,844.53,606.29,0.7717,815.37,636.78,0.7575,859.11,635.45,0.7671,786.87,661.96,0.8348,876.34,657.32,0.8561,792.17,643.40,0.7840,857.78,637.44,0.6589,821.99,715.64,0.7250,846.52,714.32,0.6956,812.05,768.66,0.8176,841.21,758.72,0.7881,829.28,823.67,0.8532,844.53,810.42,0.7839
1,top,1,926.55,355.69,1018.20,578.23,982.16,371.88,0.7824,986.50,368.07,0.8331,978.90,368.07,0.7945,992.48,371.88,0.8182,972.38,370.79,0.8795,1002.26,394.70,0.8281,958.25,389.81,0.7344,1009.86,424.04,0.7654,933.80,410.45,0.8522,1001.72,450.66,0.7770,945.75,434.90,0.7846,991.39,459.89,0.6667,968.03,459.89,0.6545,1000.09,503.90,0.7147,969.12,505.53,0.7525,1001.72,534.33,0.8150,971.29,553.34,0.8269
1,bottom,0,780.94,583.02,882.75,854.68,832.51,602.78,0.7198,831.85,598.80,0.6293,833.18,599.47,0.5612,827.87,606.10,0.7639,844.45,606.76,0.7740,815.27,636.61,0.7570,858.38,635.28,0.7687,786.75,662.47,0.8346,875.62,657.17,0.8584,792.05,643.24,0.7776,857.71,637.93,0.6551,821.90,714.87,0.7222,847.10,713.54,0.6950,811.95,768.59,0.8187,841.13,758.64,0.7893,829.20,824.30,0.8548,844.45,810.38,0.7842
2,top,1,927.72,354.62,1018.60,577.51,981.87,370.83,0.7974,986.22,367.02,0.8494,978.60,367.02,0.8137,992.21,371.38,0.8303,972.07,370.29,0.8754,1002.00,393.69,0.8177,957.92,389.88,0.7361,1010.16,422.53,0.7642,934.53,411.65,0.8367,1001.46,447.56,0.7147,941.06,436.68,0.7643,991.66,460.62,0.6666,968.26,460.62,0.6523,999.83,504.15,0.7101,968.81,505.79,0.7513,1002.00,534.08,0.8125,971.53,553.13,0.8298
2,bottom,0,781.00,582.92,881.60,854.70,831.96,602.69,0.7258,831.30,599.38,0.6419,831.96,599.38,0.5657,828.64,606.01,0.7655,843.91,606.67,0.7645,815.37,636.53,0.7666,858.50,635.21,0.7710,786.84,663.07,0.8315,875.76,657.10,0.8525,790.82,644.50,0.7997,857.84,638.52,0.6495,822.01,714.83,0.7281,846.56,713.50,0.6998,812.06,767.91,0.8215,841.25,758.62,0.7914,828.64,823.65,0.8536,843.91,811.04,0.7858
3,top,1,927.44,354.45,1018.73,577.23,981.24,370.66,0.8051,986.14,366.85,0.8569,977.98,366.31,0.8210,991.58,370.66,0.8383,971.45,370.11,0.8717,1001.37,393.50,0.8080,958.40,390.78,0.7374,1010.61,421.24,0.7607,935.01,413.08,0.8165,1001.91,441.37,0.6999,937.19,440.82,0.7243,991.58,460.95,0.6562,968.19,460.40,0.6439,999.73,504.46,0.7057,968.73,505.55,0.7428,1001.91,534.92,0.8079,970.91,553.41,0.8232
3,bottom,0,781.45,582.90,880.79,854.70,831.78,602.67,0.7270,831.12,598.69,0.6390,831.78,599.35,0.5625,828.47,605.99,0.7690,843.73,606.65,0.7633,815.19,636.51,0.7642,858.33,635.19,0.7693,787.32,663.06,0.8233,874.92,657.08,0.8523,790.64,645.14,0.8060,857.66,638.50,0.6466,821.83,714.82,0.7260,846.38,713.49,0.6972,811.88,767.90,0.8184,841.07,759.28,0.7904,828.47,823.65,0.8536,843.73,811.04,0.7800
4,top,1,924.25,353.77,1019.00,577.01,981.44,370.01,0.8273,985.80,366.19,0.8755,977.62,366.19,0.8301,991.25,370.55,0.8667,971.63,369.46,0.8899,1001.61,393.44,0.8096,958.00,391.26,0.7535,1010.87,416.88,0.7331,935.11,414.15,0.8089,1005.42,430.50,0.6526,933.48,440.31,0.7280,991.80,461.57,0.6851,967.81,461.57,0.6767,1000.52,504.08,0.7046,969.45,505.72,0.7523,1001.61,534.60,0.8224,971.63,553.13,0.8179
4,bottom,0,781.73,582.86,880.67,854.51,833.19,603.29,0.7389,831.86,599.31,0.6278,833.19,599.97,0.5591,827.88,605.94,0.7828,844.46,606.61,0.7786,815.28,637.11,0.7722,858.39,635.12,0.7767,787.43,664.30,0.8292,874.97,658.33,0.8565,790.74,645.07,0.7847,857.06,638.44,0.6574,821.91,715.37,0.7297,846.45,714.04,0.7034,811.97,768.42,0.8213,841.15,759.14,0.7945,828.55,824.13,0.8541,843.80,810.87,0.7871
