frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,1022.02,366.95,1100.04,564.83,1054.75,387.15,0.7569,1058.13,382.80,0.7567,1050.88,383.76,0.7726,1064.41,382.31,0.8195,1046.05,385.21,0.8196,1074.56,391.98,0.7694,1037.84,404.05,0.7744,1094.36,407.44,0.7836,1027.70,432.56,0.7865,1092.43,416.61,0.7451,1042.67,422.89,0.6539,1065.38,453.81,0.6325,1047.99,455.26,0.6212,1067.31,491.01,0.6967,1052.82,496.81,0.7172,1053.30,518.06,0.7703,1051.37,544.15,0.7877
0,bottom,0,877.04,568.61,966.24,836.58,911.17,592.03,0.6393,907.24,587.45,0.4421,914.44,586.80,0.4609,903.32,594.00,0.7513,924.25,592.03,0.7871,890.23,624.74,0.8461,941.92,622.13,0.7847,883.04,668.58,0.7605,960.89,660.07,0.8324,887.62,702.60,0.7082,948.46,684.28,0.7514,907.24,706.52,0.6878,933.41,703.90,0.7038,909.21,760.17,0.8290,937.99,749.05,0.7600,917.06,818.39,0.8490,943.23,795.50,0.7839
1,top,1,1022.23,367.62,1100.51,565.02,1054.14,386.32,0.7815,1057.51,382.46,0.7792,1050.28,382.95,0.8085,1064.74,382.46,0.8382,1045.95,384.87,0.8220,1074.86,392.10,0.7719,1038.24,403.19,0.7836,1095.10,407.04,0.7953,1028.11,431.62,0.7766,1092.21,416.20,0.7360,1042.57,421.98,0.6462,1066.19,454.27,0.6466,1048.84,454.75,0.6299,1067.63,491.86,0.7030,1053.66,496.20,0.7257,1053.18,517.89,0.7643,1051.25,543.91,0.7745
1,bottom,0,877.15,568.20,966.80,836.64,910.18,592.32,0.6373,905.59,587.73,0.4567,914.11,587.08,0.4656,902.97,594.29,0.7525,923.94,592.32,0.7858,889.86,625.09,0.8501,941.63,621.81,0.7877,883.31,669.00,0.7633,961.29,659.82,0.8302,887.89,702.42,0.7186,948.84,684.73,0.7439,908.21,706.35,0.6899,934.42,703.73,0.7085,909.52,760.09,0.8302,939.01,748.95,0.7652,916.73,818.42,0.8512,942.94,796.14,0.7936
2,top,1,1021.89,366.22,1101.53,565.35,1054.42,385.09,0.7688,1057.82,381.20,0.7720,1050.53,381.68,0.7977,1064.63,381.20,0.8270,1046.15,384.12,0.8065,1074.84,391.41,0.7716,1038.37,402.10,0.7826,1095.25,405.99,0.7922,1027.68,431.27,0.7789,1092.34,415.71,0.7205,1042.75,420.58,0.6733,1066.57,453.15,0.6410,1048.58,454.12,0.6202,1069.00,490.10,0.6805,1053.93,496.42,0.7235,1053.45,518.78,0.7768,1051.50,544.06,0.7718
2,bottom,0,877.62,568.39,967.13,836.43,909.94,591.82,0.6423,904.70,587.24,0.4636,913.21,586.58,0.4757,902.09,593.78,0.7435,923.03,592.47,0.7830,889.65,625.85,0.8489,942.01,621.27,0.7842,883.76,669.04,0.7631,962.29,658.57,0.8246,889.00,703.06,0.7136,949.20,684.09,0.7459,909.29,705.03,0.6847,935.46,702.41,0.7048,909.94,760.00,0.8299,938.73,748.87,0.7666,916.48,818.24,0.8500,943.31,795.99,0.7980
3,top,1,1021.76,366.36,1101.88,565.35,1055.02,384.73,0.7287,1057.93,380.84,0.7334,1050.65,381.81,0.7537,1064.74,380.84,0.7999,1046.27,383.75,0.8059,1074.45,390.56,0.7627,1038.50,401.73,0.7737,1094.86,405.62,0.7734,1027.81,429.91,0.7818,1092.43,414.36,0.7034,1043.36,419.22,0.6685,1066.68,453.23,0.6374,1049.19,454.68,0.6183,1069.11,489.66,0.6770,1054.05,496.46,0.7268,1053.56,518.81,0.7779,1051.13,544.08,0.7798
3,bottom,0,878.57,568.19,968.01,836.33,908.89,592.28,0.6429,903.00,587.69,0.4815,912.16,587.04,0.4694,901.69,594.24,0.7412,922.64,592.28,0.7879,889.91,625.66,0.8475,941.62,620.43,0.7771,884.67,668.87,0.7588,963.23,657.74,0.8204,890.56,702.26,0.7173,950.13,682.62,0.7587,910.20,704.88,0.6794,936.39,702.26,0.7023,910.20,759.87,0.8219,939.66,747.43,0.7694,916.75,818.13,0.8425,942.93,795.87,0.7962
4,top,1,1021.69,366.27,1101.98,565.34,1055.03,383.19,0.7411,1058.43,379.30,0.7466,1050.66,380.27,0.7600,1064.75,379.78,0.8008,1046.28,382.21,0.8113,1074.47,389.50,0.7634,1038.51,401.17,0.7776,1094.89,404.57,0.7681,1027.82,429.84,0.7769,1092.94,412.83,0.6945,1042.88,418.18,0.6786,1067.67,453.66,0.6355,1050.17,455.12,0.6154,1069.13,490.11,0.6729,1054.55,496.43,0.7306,1053.09,518.78,0.7675,1051.63,544.06,0.7736
4,bottom,0,879.65,568.12,969.04,836.45,907.97,591.57,0.6462,902.07,586.98,0.4923,911.90,586.33,0.4583,901.41,594.19,0.7395,922.38,591.57,0.7811,890.28,625.64,0.8515,941.38,619.74,0.7670,885.04,668.22,0.7664,964.96,655.77,0.8238,892.90,700.32,0.7090,951.20,680.67,0.7586,910.59,704.91,0.6745,937.45,701.63,0.6969,910.59,759.94,0.8182,940.07,747.49,0.7638,917.14,818.90,0.8444,943.34,795.97,0.7986
5,top,1,1021.70,364.77,1101.28,565.50,1055.12,381.83,0.7420,1058.55,377.91,0.7513,1051.20,378.89,0.7554,1064.92,378.89,0.7850,1046.30,381.34,0.8044,1074.23,389.18,0.7475,1038.46,400.45,0.7721,1095.30,403.39,0.7517,1027.18,429.36,0.7836,1092.85,411.72,0.6513,1042.87,417.11,0.6637,1067.86,453.37,0.6351,1050.22,454.35,0.6137,1069.82,489.64,0.6841,1055.12,496.50,0.7295,1053.16,518.06,0.7665,1051.20,544.03,0.7773
