frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,934.65,372.07,1006.75,589.34,969.11,392.12,0.8332,973.35,387.88,0.8546,966.45,387.88,0.8696,982.90,387.88,0.7885,963.27,389.47,0.7562,995.63,408.57,0.8045,954.78,409.10,0.7972,997.75,435.62,0.7436,945.23,431.38,0.7789,997.75,456.84,0.6853,939.93,449.94,0.7768,985.02,471.69,0.6339,965.39,471.69,0.6363,981.84,517.31,0.7114,967.51,516.78,0.6805,975.47,562.93,0.7863,989.26,541.18,0.7092
0,bottom,0,743.40,594.64,858.29,862.50,804.77,612.82,0.7177,805.42,610.20,0.4969,806.73,609.55,0.4879,794.31,615.43,0.7416,813.27,614.78,0.7671,779.27,640.94,0.7257,824.39,637.67,0.7915,749.18,666.44,0.8132,847.28,674.29,0.7938,776.00,679.52,0.5993,853.82,667.75,0.7333,778.61,712.22,0.6881,800.85,711.57,0.6609,795.62,758.00,0.6831,807.39,772.39,0.7104,796.27,807.70,0.6678,792.35,831.90,0.7678
1,top,1,934.52,372.17,1006.75,589.26,969.05,392.73,0.8122,973.29,388.49,0.8359,966.40,388.49,0.8526,982.30,388.49,0.7815,963.22,390.08,0.7519,995.55,408.63,0.8062,954.74,409.16,0.7975,997.67,435.13,0.7461,945.20,430.89,0.7777,997.67,455.80,0.7018,939.90,449.97,0.7788,984.95,471.70,0.6354,965.87,471.70,0.6370,981.77,517.28,0.7117,967.46,516.75,0.6814,975.94,563.39,0.7891,989.19,541.13,0.7139
1,bottom,0,743.53,594.53,858.77,862.50,804.42,613.37,0.7299,805.08,610.75,0.4982,806.38,610.10,0.4871,793.95,615.99,0.7498,813.58,615.33,0.7724,779.56,640.85,0.7284,824.70,638.23,0.7944,749.47,667.02,0.8154,847.60,674.21,0.7999,776.29,680.10,0.6009,854.14,668.33,0.7417,778.91,712.81,0.6895,800.50,712.81,0.6628,795.26,757.96,0.6809,807.69,773.00,0.7150,795.92,807.68,0.6655,791.99,832.54,0.7662
2,top,1,934.54,371.71,1006.58,589.22,968.44,392.85,0.8363,973.22,388.07,0.8618,965.78,388.60,0.8690,982.24,388.07,0.7895,963.13,389.66,0.7397,996.05,408.78,0.8039,954.63,409.31,0.7990,997.64,435.86,0.7558,945.07,431.61,0.7740,997.64,456.04,0.7154,940.29,450.20,0.7752,984.90,471.97,0.6366,965.78,471.97,0.6381,981.71,517.10,0.7159,967.91,517.10,0.6789,975.87,562.77,0.7883,989.15,541.00,0.7095
2,bottom,0,743.45,594.59,858.77,861.79,805.03,613.37,0.7302,805.68,610.76,0.5010,806.33,610.11,0.4949,794.59,615.98,0.7451,813.51,615.33,0.7669,779.58,640.77,0.7288,824.60,638.16,0.7931,749.58,666.87,0.8115,847.43,674.69,0.7994,776.32,679.91,0.6001,853.95,668.82,0.7485,778.28,713.18,0.6908,800.46,713.18,0.6596,795.24,758.20,0.6835,806.98,773.20,0.7150,795.89,807.12,0.6740,791.33,833.22,0.7672
3,top,1,934.64,371.33,1006.33,589.04,968.36,393.01,0.8201,972.61,388.76,0.8462,965.70,388.76,0.8533,982.18,388.23,0.7779,963.05,389.29,0.7352,995.47,408.96,0.8047,954.54,408.96,0.8023,997.59,436.07,0.7624,944.97,430.75,0.7769,997.59,456.27,0.7200,940.19,449.89,0.7754,984.84,471.68,0.6359,965.70,472.21,0.6391,981.65,516.86,0.7152,967.83,516.86,0.6854,975.80,563.10,0.7929,989.09,541.31,0.7123
3,bottom,0,743.46,594.48,858.58,861.65,804.93,613.26,0.7349,805.59,610.65,0.5017,806.24,610.00,0.4970,794.50,615.87,0.7447,813.41,615.22,0.7635,779.49,641.31,0.7308,824.50,638.05,0.7947,749.49,666.75,0.8140,847.33,674.58,0.7973,776.89,679.80,0.6037,853.85,669.36,0.7492,778.19,713.06,0.6935,801.02,713.06,0.6624,795.15,758.72,0.6804,806.24,773.72,0.7133,795.80,806.99,0.6716,791.24,833.73,0.7726
4,top,1,934.48,371.87,1005.91,588.91,968.61,392.96,0.8265,972.85,388.72,0.8493,965.96,388.72,0.8622,982.38,388.19,0.7856,962.78,389.78,0.7419,995.63,408.86,0.8051,954.30,409.39,0.8029,997.22,435.88,0.7623,944.76,431.11,0.7747,997.22,456.02,0.7193,939.99,449.66,0.7803,984.50,471.91,0.6388,965.43,471.91,0.6415,981.32,516.95,0.7129,968.08,516.42,0.6710,975.49,563.05,0.7929,989.27,540.79,0.7083
4,bottom,0,743.63,594.40,858.74,862.69,804.46,613.26,0.7449,805.11,610.64,0.5088,805.77,609.99,0.4998,794.63,615.88,0.7413,813.63,615.23,0.7632,779.57,641.43,0.7340,824.76,638.81,0.7973,749.44,666.98,0.8137,847.69,674.84,0.8000,776.29,680.08,0.6040,853.58,668.94,0.7428,778.26,713.48,0.6881,801.18,713.48,0.6608,795.94,759.33,0.6675,806.42,773.74,0.7172,797.91,807.15,0.6607,790.70,834.00,0.7804
