Image,Average_Difference_Score
1 (1).png,0.40762102463354
1 (10).png,0.4378310760799285
1 (11).png,0.45839295273207525
1 (12).png,0.37187838249995364
1 (13).png,0.3733201697166573
1 (14).png,0.3737408840986928
1 (15).png,0.4022081074388575
1 (16).png,0.3750512831248771
1 (17).png,0.4409715128159953
1 (18).png,0.3889209243027578
1 (19).png,0.43756683077472
1 (2).png,0.6343636439429369
1 (3).png,0.43311159262253607
1 (4).png,0.4538604476951183
1 (5).png,0.4891725224918958
1 (6).png,0.42602422530429146
1 (7).png,0.46336831289415187
1 (8).png,0.43004503937583044
1 (9).png,0.403576992017672
