Image,Average_Difference_Score
1 (1).png,62.105713
1 (10).png,67.18823
1 (11).png,63.682243
1 (12).png,56.244682
1 (13).png,56.12479
1 (14).png,56.11363
1 (15).png,61.845688
1 (16).png,56.255295
1 (17).png,68.916466
1 (18).png,64.663666
1 (19).png,70.83583
1 (2).png,125.4257
1 (3).png,66.10789
1 (4).png,76.466484
1 (5).png,73.03879
1 (6).png,76.91101
1 (7).png,72.52722
1 (8).png,78.447945
1 (9).png,66.443794
